lang,commonName,simplifiedName,numFullNames,numLineNames
English (English),green,green,4916,2218
English (English),blue,blue,3797,4956
English (English),purple,purple,3741,1784
English (English),pink,pink,2303,1926
English (English),red,red,1665,2159
English (English),brown,brown,1530,8
English (English),orange,orange,1203,2254
English (English),yellow,yellow,1057,2012
English (English),magenta,magenta,985,1053
English (English),teal,teal,934,595
English (English),lime green,limegreen,754,823
English (English),grey,gray,728,2
English (English),violet,violet,676,294
English (English),light green,lightgreen,658,369
English (English),dark green,darkgreen,616,2
English (English),light blue,lightblue,607,1013
English (English),turquoise,turquoise,599,589
English (English),sky blue,skyblue,555,768
English (English),maroon,maroon,489,11
English (English),forest green,forestgreen,474,5
English (English),dark blue,darkblue,468,451
English (English),lavender,lavender,449,32
English (English),hot pink,hotpink,440,512
English (English),navy blue,navyblue,410,58
English (English),neon green,neongreen,404,310
English (English),dark purple,darkpurple,394,37
English (English),fuschia,fuchsia,390,507
English (English),tan,tan,383,12
English (English),royal blue,royalblue,380,466
English (English),lilac,lilac,351,19
English (English),indigo,indigo,346,126
English (English),black,black,323,1
English (English),aqua,aqua,320,417
English (English),light purple,lightpurple,318,107
English (English),beige,beige,317,5
English (English),bright green,brightgreen,307,167
English (English),lime,lime,305,253
English (English),navy,navy,299,34
English (English),olive,olive,299,2
English (English),yellow green,yellowgreen,294,330
English (English),peach,peach,283,11
English (English),mauve,mauve,282,16
English (English),cyan,cyan,274,428
English (English),mint,mint,244,176
English (English),mustard,mustard,222,108
English (English),mint green,mintgreen,215,230
English (English),salmon,salmon,208,13
English (English),gold,gold,204,237
English (English),olive green,olivegreen,204,3
English (English),dark pink,darkpink,202,163
English (English),periwinkle,periwinkle,195,28
English (English),burgundy,burgundy,190,4
English (English),light brown,lightbrown,186,1
English (English),blue green,bluegreen,179,96
English (English),baby blue,babyblue,178,176
English (English),rose,rose,166,85
English (English),grass green,grassgreen,161,46
English (English),light pink,lightpink,155,15
English (English),plum,plum,155,2
English (English),seafoam green,seafoamgreen,150,157
English (English),sea green,seagreen,143,109
English (English),burnt orange,burntorange,137,134
English (English),pale green,palegreen,137,33
English (English),dark red,darkred,137,14
English (English),bright purple,brightpurple,136,43
English (English),bright blue,brightblue,126,104
English (English),seafoam,seafoam,125,107
English (English),royal purple,royalpurple,116,19
English (English),pastel green,pastelgreen,108,18
English (English),aquamarine,aquamarine,104,103
English (English),brick red,brickred,104,15
English (English),dark brown,darkbrown,102,0
English (English),chartreuse,chartreuse,101,110
English (English),army green,armygreen,100,0
English (English),khaki,khaki,99,1
English (English),blue grey,bluegray,99,1
English (English),mustard yellow,mustardyellow,95,47
English (English),coral,coral,93,16
English (English),grey blue,grayblue,90,2
English (English),crimson,crimson,85,40
English (English),bright pink,brightpink,82,57
English (English),cream,cream,80,2
English (English),taupe,taupe,80,0
English (English),kelly green,kellygreen,77,18
English (English),hunter green,huntergreen,77,0
English (English),dark orange,darkorange,75,123
English (English),dark yellow,darkyellow,75,72
English (English),cerulean,cerulean,73,111
English (English),baby pink,babypink,71,0
English (English),moss green,mossgreen,69,4
English (English),cobalt,cobalt,66,58
English (English),lavendar,lavendar,66,5
English (English),dark teal,darkteal,66,2
English (English),neon purple,neonpurple,65,42
English (English),neon pink,neonpink,64,45
English (English),rust,rust,64,19
English (English),midnight blue,midnightblue,64,9
English (English),red orange,redorange,63,245
English (English),eggplant,eggplant,63,1
English (English),spring green,springgreen,62,47
English (English),sage,sage,62,0
English (English),blue purple,bluepurple,61,32
English (English),pale blue,paleblue,61,24
English (English),grey green,graygreen,61,0
English (English),leaf green,leafgreen,58,17
English (English),ochre,ochre,58,16
English (English),pale yellow,paleyellow,58,1
English (English),green yellow,greenyellow,57,69
English (English),ocean blue,oceanblue,57,68
English (English),wine,wine,57,0
English (English),pea green,peagreen,54,13
English (English),fushia,fushia,53,76
English (English),emerald,emerald,53,10
English (English),green blue,greenblue,52,43
English (English),burgandy,burgandy,51,4
English (English),sea blue,seablue,49,54
English (English),light yellow,lightyellow,48,14
English (English),purple pink,purplepink,47,42
English (English),light orange,lightorange,46,111
English (English),sienna,sienna,46,8
English (English),deep purple,deeppurple,46,3
English (English),electric blue,electricblue,45,64
English (English),cobalt blue,cobaltblue,45,48
English (English),dark grey,darkgray,45,0
English (English),orange red,orangered,44,62
English (English),orchid,orchid,44,15
English (English),red brown,redbrown,44,0
English (English),dusty rose,dustyrose,44,0
English (English),pink purple,pinkpurple,43,52
English (English),emerald green,emeraldgreen,43,3
English (English),goldenrod,goldenrod,42,98
English (English),sand,sand,42,2
English (English),dark magenta,darkmagenta,41,4
English (English),light grey,lightgray,41,0
English (English),scarlet,scarlet,40,51
English (English),white,white,40,2
English (English),moss,moss,40,0
English (English),bright red,brightred,39,23
English (English),brick,brick,39,2
English (English),pine green,pinegreen,39,0
English (English),Jade,jade,38,1
English (English),pale pink,palepink,38,0
English (English),yellow orange,yelloworange,37,193
English (English),neon blue,neonblue,37,83
English (English),puce,puce,37,5
English (English),purple blue,purpleblue,36,17
English (English),rose pink,rosepink,35,14
English (English),grape,grape,34,9
English (English),apple green,applegreen,33,17
English (English),puke green,pukegreen,33,16
English (English),powder blue,powderblue,33,15
English (English),burnt sienna,burntsienna,33,4
English (English),evergreen,evergreen,33,0
English (English),light red,lightred,32,20
English (English),yellow brown,yellowbrown,32,0
English (English),deep blue,deepblue,31,31
English (English),blue violet,blueviolet,31,11
English (English),slate blue,slateblue,31,2
English (English),medium blue,mediumblue,30,94
English (English),steel blue,steelblue,30,1
English (English),sage green,sagegreen,30,1
English (English),forrest green,forrestgreen,30,0
English (English),blush,blush,30,0
English (English),grass,grass,29,5
English (English),slate,slate,29,0
English (English),grey purple,graypurple,29,0
English (English),raspberry,raspberry,28,35
English (English),pastel blue,pastelblue,28,9
English (English),pastel purple,pastelpurple,28,0
English (English),robin's egg blue,robinseggblue,27,37
English (English),light teal,lightteal,27,17
English (English),reddish brown,reddishbrown,27,0
English (English),aqua blue,aquablue,26,38
English (English),blood red,bloodred,26,7
English (English),pale purple,palepurple,26,1
English (English),dusty pink,dustypink,26,0
English (English),pastel pink,pastelpink,26,0
English (English),tangerine,tangerine,25,56
English (English),pink red,pinkred,25,42
English (English),brown green,browngreen,25,0
English (English),lavander,lavander,25,0
English (English),red pink,redpink,24,70
English (English),Azure,azure,24,43
English (English),terracotta,terracotta,24,1
English (English),Mahogany,mahogany,24,0
English (English),silver,silver,24,0
English (English),y,y,24,0
English (English),ultramarine,ultramarine,23,20
English (English),red violet,redviolet,23,13
English (English),dull green,dullgreen,23,1
English (English),cornflower blue,cornflowerblue,22,58
English (English),bronze,bronze,21,2
English (English),grayish blue,grayishblue,21,1
English (English),slate grey,slategray,21,0
English (English),Forest,forest,21,0
English (English),neon yellow,neonyellow,20,76
English (English),golden yellow,goldenyellow,20,45
English (English),light violet,lightviolet,20,5
English (English),orange brown,orangebrown,20,2
English (English),flesh,flesh,20,0
English (English),Cornflower,cornflower,19,31
English (English),burnt umber,burntumber,19,2
English (English),green grey,greengray,19,0
English (English),purple-grey,purplegray,19,0
English (English),off white,offwhite,19,0
English (English),fusia,fusia,18,29
English (English),pinkish red,pinkishred,18,28
English (English),umber,umber,18,3
English (English),green brown,greenbrown,18,0
English (English),dull pink,dullpink,18,0
English (English),Marigold,marigold,17,31
English (English),pinkish purple,pinkishpurple,17,30
English (English),yellowish green,yellowishgreen,17,10
English (English),medium green,mediumgreen,17,4
English (English),pistachio,pistachio,17,4
English (English),teal green,tealgreen,17,4
English (English),dark violet,darkviolet,17,4
English (English),dark turquoise,darkturquoise,17,3
English (English),navy green,navygreen,17,0
English (English),aubergine,aubergine,17,0
English (English),Vermillion,vermillion,16,10
English (English),bubblegum pink,bubblegumpink,16,4
English (English),salmon pink,salmonpink,16,2
English (English),deep green,deepgreen,16,0
English (English),Chocolate,chocolate,16,0
English (English),dark tan,darktan,16,0
English (English),bright yellow,brightyellow,15,32
English (English),Pumpkin,pumpkin,15,30
English (English),deep pink,deeppink,15,26
English (English),cerise,cerise,15,17
English (English),turquiose,turquiose,15,15
English (English),Fluorescent green,fluorescentgreen,15,10
English (English),berry,berry,15,8
English (English),deep red,deepred,15,6
English (English),prussian blue,prussianblue,15,4
English (English),soft green,softgreen,15,4
English (English),dull blue,dullblue,15,3
English (English),Amethyst,amethyst,15,1
English (English),Dusky pink,duskypink,15,1
English (English),brown red,brownred,15,1
English (English),skin,skin,15,1
English (English),camo green,camogreen,15,0
English (English),grayish green,grayishgreen,15,0
English (English),grey brown,graybrown,15,0
English (English),Wine red,winered,15,0
English (English),Light turquoise,lightturquoise,14,21
English (English),electric green,electricgreen,14,19
English (English),reddish pink,reddishpink,14,17
English (English),cerulean blue,ceruleanblue,14,17
English (English),teal blue,tealblue,14,12
English (English),dirty yellow,dirtyyellow,14,10
English (English),Royal,royal,14,6
English (English),light aqua,lightaqua,14,6
English (English),red purple,redpurple,14,5
English (English),Jade green,jadegreen,14,4
English (English),reddish purple,reddishpurple,14,1
English (English),swamp green,swampgreen,14,1
English (English),nude,nude,14,0
English (English),pine,pine,14,0
English (English),yello,yello,13,30
English (English),greenish yellow,greenishyellow,13,24
English (English),cherry red,cherryred,13,13
English (English),vomit,vomit,13,2
English (English),Eggshell,eggshell,13,1
English (English),dirty green,dirtygreen,13,1
English (English),purple red,purplered,13,1
English (English),Burgendy,burgendy,13,0
English (English),greenish brown,greenishbrown,13,0
English (English),Oxblood,oxblood,13,0
English (English),lemon yellow,lemonyellow,12,35
English (English),Dandelion,dandelion,12,20
English (English),Denim,denim,12,15
English (English),aqua green,aquagreen,12,13
English (English),marine blue,marineblue,12,11
English (English),periwinkle blue,periwinkleblue,12,9
English (English),neon,neon,12,5
English (English),Copper,copper,12,4
English (English),faded green,fadedgreen,12,3
English (English),midnight,midnight,12,1
English (English),Puke,puke,12,1
English (English),fern,fern,12,1
English (English),tree green,treegreen,12,0
English (English),golden brown,goldenbrown,12,0
English (English),dark maroon,darkmaroon,12,0
English (English),caramel,caramel,12,0
"Korean (한국어, 조선어)",보라색,보라,579,103
"Korean (한국어, 조선어)",연두색,연두,493,132
"Korean (한국어, 조선어)",파랑,파랑,442,196
"Korean (한국어, 조선어)",초록색,초록,340,36
"Korean (한국어, 조선어)",자주색,자주,309,61
"Korean (한국어, 조선어)",하늘색,하늘,301,154
"Korean (한국어, 조선어)",연보라,연보라,295,9
