lang,lang_abv,commonName,simplifiedName,numFullNames,numLineNames
English (English),en,green,green,11711,2820
English (English),en,purple,purple,9655,2308
English (English),en,blue,blue,9380,6323
English (English),en,pink,pink,5809,2395
English (English),en,brown,brown,4520,10
English (English),en,red,red,3758,2822
English (English),en,orange,orange,3053,2933
English (English),en,magenta,magenta,2606,1428
English (English),en,teal,teal,2595,809
English (English),en,yellow,yellow,2577,2600
English (English),en,grey,gray,1992,3
English (English),en,lime green,limegreen,1975,1069
English (English),en,light green,lightgreen,1819,475
English (English),en,dark green,darkgreen,1757,3
English (English),en,turquoise,turquoise,1697,796
English (English),en,light blue,lightblue,1660,1325
English (English),en,violet,violet,1653,370
English (English),en,black,black,1561,1
English (English),en,sky blue,skyblue,1497,1012
English (English),en,dark blue,darkblue,1425,604
English (English),en,maroon,maroon,1376,11
English (English),en,lavender,lavender,1346,35
English (English),en,forest green,forestgreen,1304,5
English (English),en,navy blue,navyblue,1257,73
English (English),en,dark purple,darkpurple,1240,47
English (English),en,neon green,neongreen,1204,483
English (English),en,fuschia,fuchsia,1153,769
English (English),en,hot pink,hotpink,1148,707
English (English),en,tan,tan,1103,12
English (English),en,royal blue,royalblue,1050,601
English (English),en,light purple,lightpurple,937,131
English (English),en,lilac,lilac,912,20
English (English),en,beige,beige,870,5
English (English),en,cyan,cyan,852,619
English (English),en,navy,navy,841,37
English (English),en,indigo,indigo,817,163
English (English),en,mauve,mauve,815,21
English (English),en,lime,lime,757,346
English (English),en,aqua,aqua,745,509
English (English),en,peach,peach,731,11
English (English),en,olive,olive,728,2
English (English),en,yellow green,yellowgreen,722,405
English (English),en,bright green,brightgreen,692,213
English (English),en,mint green,mintgreen,681,299
English (English),en,olive green,olivegreen,656,4
English (English),en,mint,mint,635,221
English (English),en,salmon,salmon,616,18
English (English),en,periwinkle,periwinkle,614,41
English (English),en,gold,gold,608,279
English (English),en,dark pink,darkpink,598,214
English (English),en,burgundy,burgundy,581,4
English (English),en,mustard,mustard,580,133
English (English),en,light brown,lightbrown,550,1
English (English),en,baby blue,babyblue,478,208
English (English),en,light pink,lightpink,474,15
English (English),en,plum,plum,448,3
English (English),en,burnt orange,burntorange,428,157
English (English),en,blue green,bluegreen,421,114
English (English),en,seafoam green,seafoamgreen,412,209
English (English),en,dark brown,darkbrown,412,0
English (English),en,grass green,grassgreen,396,50
English (English),en,rose,rose,395,105
English (English),en,bright purple,brightpurple,377,55
English (English),en,army green,armygreen,371,0
English (English),en,chartreuse,chartreuse,368,166
English (English),en,dark red,darkred,364,19
English (English),en,sea green,seagreen,338,136
English (English),en,coral,coral,323,21
English (English),en,mustard yellow,mustardyellow,316,64
English (English),en,blue grey,bluegray,312,1
English (English),en,pale green,palegreen,310,38
English (English),en,bright blue,brightblue,307,120
English (English),en,royal purple,royalpurple,305,30
English (English),en,seafoam,seafoam,284,140
English (English),en,aquamarine,aquamarine,278,140
English (English),en,grey blue,grayblue,273,2
English (English),en,pastel green,pastelgreen,258,21
English (English),en,sage,sage,258,0
English (English),en,brick red,brickred,249,19
English (English),en,neon purple,neonpurple,247,58
English (English),en,dark teal,darkteal,247,3
English (English),en,khaki,khaki,232,1
English (English),en,bright pink,brightpink,225,80
English (English),en,kelly green,kellygreen,224,24
English (English),en,neon pink,neonpink,207,70
English (English),en,crimson,crimson,203,52
English (English),en,midnight blue,midnightblue,202,11
English (English),en,baby pink,babypink,200,0
English (English),en,cream,cream,196,2
English (English),en,taupe,taupe,193,0
English (English),en,eggplant,eggplant,191,1
English (English),en,hunter green,huntergreen,191,0
English (English),en,dark orange,darkorange,190,157
English (English),en,cerulean,cerulean,190,140
English (English),en,rust,rust,190,21
English (English),en,red orange,redorange,189,300
English (English),en,dark yellow,darkyellow,186,93
English (English),en,spring green,springgreen,182,54
English (English),en,moss green,mossgreen,180,4
English (English),en,dark grey,darkgray,178,0
English (English),en,sage green,sagegreen,173,1
English (English),en,grey green,graygreen,173,0
English (English),en,ocean blue,oceanblue,171,84
English (English),en,lavendar,lavendar,168,5
English (English),en,deep purple,deeppurple,165,5
English (English),en,blue purple,bluepurple,159,39
English (English),en,sand,sand,158,2
