lang,langAbv,num_bins_ring_0.2_h8,fraction_bins_ring_0.2_h8,num_bins_ring_0.1_h8,fraction_bins_ring_0.1_h8,num_bins_ring_0.05_h8,fraction_bins_ring_0.05_h8,num_bins_ring_0.025_h8,fraction_bins_ring_0.025_h8,num_bins_ring_0.2_0.05_h8,fraction_bins_ring_0.2_0.05_h8,num_bins_ring_0.1_0.025_h8,fraction_bins_ring_0.1_0.025_h8,num_bins_ring_0.067_0.017_h8,fraction_bins_ring_0.067_0.017_h8,num_bins_0.1,fraction_bins_0.1,num_bins_0.05,fraction_bins_0.05,num_bins_0.025,fraction_bins_0.025,num_bins_0.2_0.05,fraction_bins_0.2_0.05,num_bins_0.1_0.025,fraction_bins_0.1_0.025,num_bins_0.067_0.017,fraction_bins_0.067_0.017
"Bengali, Bangla (বাংলা)",bn,24,0.5581395348837209,17,0.09289617486338798,0,0,0,0,8,0.024844720496894408,0,0,0,0,22,0.15172413793103448,0,0,0,0,7,0.027237354085603113,0,0,0,0
Bulgarian (български език),bg,6,0.13953488372093023,5,0.0273224043715847,2,0.0021253985122210413,1,0.00017047391749062393,7,0.021739130434782608,4,0.002280501710376283,1,0.00019477989871445267,5,0.034482758620689655,2,0.00267379679144385,1,0.0002168256721595837,5,0.019455252918287938,1,0.0007220216606498195,1,0.0002469135802469136
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,43,1,182,0.994535519125683,827,0.8788522848034006,732,0.12478690760313672,315,0.9782608695652174,1480,0.8437856328392246,1639,0.31924425399298795,145,1,694,0.9278074866310161,1066,0.23113616652211622,249,0.9688715953307393,1121,0.8093862815884476,1066,0.2632098765432099
Danish (dansk),da,8,0.18604651162790697,8,0.04371584699453552,10,0.010626992561105207,5,0.0008523695874531196,13,0.040372670807453416,10,0.005701254275940707,11,0.0021425788858589795,11,0.07586206896551724,9,0.012032085561497326,5,0.0010841283607979184,9,0.03501945525291829,8,0.005776173285198556,7,0.0017283950617283952
"Dutch (Nederlands, Vlaams)",nl,43,1,164,0.8961748633879781,303,0.32199787460148777,90,0.015342652574156155,271,0.8416149068322981,304,0.1733181299885975,166,0.032333463186599146,137,0.9448275862068966,402,0.5374331550802139,94,0.020381613183000868,209,0.8132295719844358,200,0.1444043321299639,114,0.028148148148148148
English (English),en,43,1,183,1,941,1,5845,0.9964200477326969,322,1,1754,1,5117,0.9966887417218543,145,1,748,1,4604,0.9982653946227233,257,1,1384,0.9992779783393502,4021,0.9928395061728396
"Finnish (suomi, suomen kieli)",fi,41,0.9534883720930233,123,0.6721311475409836,87,0.0924548352816153,73,0.012444595976815548,189,0.5869565217391305,128,0.07297605473204105,116,0.02259446825087651,111,0.7655172413793103,112,0.1497326203208556,80,0.017346053772766695,143,0.556420233463035,86,0.06209386281588448,84,0.02074074074074074
"French (français, langue française)",fr,43,1,175,0.9562841530054644,692,0.7353878852284803,294,0.050119331742243436,301,0.9347826086956522,1043,0.5946408209806158,483,0.09407869107908064,140,0.9655172413793104,614,0.820855614973262,360,0.07805724197745013,239,0.9299610894941635,711,0.5133574007220216,340,0.08395061728395062
German (Deutsch),de,43,1,179,0.9781420765027322,762,0.8097768331562167,455,0.07756563245823389,308,0.9565217391304348,1348,0.7685290763968073,864,0.1682898324892871,143,0.9862068965517241,659,0.8810160427807486,594,0.1287944492627927,241,0.9377431906614786,984,0.7104693140794224,590,0.145679012345679
"Hindi (हिन्दी, हिंदी)",hi,43,1,121,0.6612021857923497,40,0.04250797024442083,2,0.00034094783498124785,196,0.6086956521739131,27,0.01539338654503991,4,0.0007791195948578107,115,0.7931034482758621,74,0.09893048128342247,4,0.0008673026886383347,139,0.5408560311284046,26,0.018772563176895306,3,0.0007407407407407407
Italian (italiano),it,40,0.9302325581395349,101,0.5519125683060109,108,0.11477151965993623,108,0.018411183088987385,125,0.38819875776397517,147,0.0838084378563284,168,0.03272302298402805,95,0.6551724137931034,122,0.16310160427807488,116,0.02515177797051171,89,0.3463035019455253,103,0.07436823104693141,120,0.02962962962962963
"Korean (한국어, 조선어)",ko,43,1,181,0.9890710382513661,897,0.953241232731137,2851,0.48602113876576886,314,0.9751552795031055,1620,0.9236031927023945,3954,0.7701597195169458,144,0.993103448275862,728,0.9732620320855615,3208,0.6955767562879445,251,0.9766536964980544,1251,0.9032490974729241,2805,0.6925925925925925
Malayalam (മലയാളം),ml,7,0.16279069767441862,3,0.01639344262295082,0,0,0,0,6,0.018633540372670808,0,0,0,0,5,0.034482758620689655,0,0,0,0,4,0.01556420233463035,0,0,0,0
Marathi (Marāṭhī) (मराठी),mr,18,0.4186046511627907,13,0.07103825136612021,0,0,0,0,8,0.024844720496894408,0,0,0,0,15,0.10344827586206896,1,0.001336898395721925,0,0,4,0.01556420233463035,0,0,0,0
Persian (Farsi) (فارسی),fa,42,0.9767441860465116,168,0.9180327868852459,608,0.6461211477151966,224,0.03818615751789976,294,0.9130434782608695,852,0.48574686431014824,451,0.08784573432021815,137,0.9448275862068966,568,0.7593582887700535,297,0.06439722463139635,231,0.8988326848249028,572,0.41299638989169674,321,0.07925925925925927
"Polish (język polski, polszczyzna)",pl,43,1,160,0.8743169398907104,275,0.2922422954303932,142,0.0242072962836686,261,0.8105590062111802,297,0.169327251995439,242,0.047136735488897546,135,0.9310344827586207,337,0.4505347593582888,150,0.03252385082393756,202,0.7859922178988327,202,0.14584837545126353,165,0.040740740740740744
Portuguese (português),pt,43,1,170,0.9289617486338798,441,0.46865037194473963,170,0.028980565973406067,289,0.8975155279503105,511,0.2913340935005701,288,0.05609661082976237,140,0.9655172413793104,498,0.6657754010695187,206,0.04466608846487424,226,0.8793774319066148,331,0.23898916967509026,198,0.04888888888888889
Romanian (limba română),ro,34,0.7906976744186046,55,0.3005464480874317,47,0.04994686503719448,43,0.007330378452096829,77,0.2391304347826087,74,0.04218928164196123,69,0.013439813011297234,60,0.41379310344827586,50,0.06684491978609626,45,0.009757155247181267,54,0.21011673151750973,49,0.03537906137184116,50,0.012345679012345678
Russian (Русский),ru,43,1,173,0.9453551912568307,514,0.5462274176408076,142,0.0242072962836686,289,0.8975155279503105,643,0.36659064994298746,256,0.049863654070899883,141,0.9724137931034482,532,0.7112299465240641,175,0.037944492627927144,223,0.867704280155642,427,0.3083032490974729,182,0.044938271604938275
Spanish (español),es,43,1,180,0.9836065573770492,777,0.8257173219978746,449,0.07654278895329014,313,0.9720496894409938,1343,0.765678449258837,918,0.17880794701986755,144,0.993103448275862,661,0.8836898395721925,611,0.13248048568950563,246,0.9571984435797666,999,0.7212996389891697,613,0.15135802469135803
Swedish (svenska),sv,42,0.9767441860465116,146,0.7978142076502732,181,0.19234856535600425,154,0.026252983293556086,236,0.7329192546583851,237,0.13511972633979474,241,0.04694195559018309,127,0.8758620689655172,193,0.2580213903743315,170,0.03686036426712923,175,0.6809338521400778,162,0.11696750902527075,173,0.04271604938271605
Tamil (தமிழ்),ta,13,0.3023255813953488,5,0.0273224043715847,0,0,0,0,3,0.009316770186335404,0,0,0,0,8,0.05517241379310345,0,0,0,0,1,0.0038910505836575876,0,0,0,0
Turkish (Türkçe),tr,34,0.7906976744186046,50,0.273224043715847,46,0.048884165781083955,43,0.007330378452096829,74,0.22981366459627328,74,0.04218928164196123,74,0.014413712504869497,56,0.38620689655172413,55,0.07352941176470588,55,0.011925411968777104,56,0.2178988326848249,55,0.039711191335740074,57,0.014074074074074074
Urdu (اردو),ur,9,0.20930232558139536,4,0.02185792349726776,0,0,0,0,2,0.006211180124223602,0,0,0,0,6,0.041379310344827586,0,0,0,0,3,0.011673151750972763,0,0,0,0
