participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
10718,,Cape Verdean Creol,amarelo,amarelo,Amarelo,rgb,237,255,0,1,0,line,white,en,1.1.2,
10718,,Cape Verdean Creol,corde-rosa,cor de-rosa,Cor-de-Rosa,rgb,255,0,143,1,1,line,white,en,1.1.2,
10718,,Cape Verdean Creol,vermelho,vermelho,Vermelho,rgb,255,0,31,1,2,line,white,en,1.1.2,
10718,,Cape Verdean Creol,verde,verde,Verde,rgb,0,255,122,1,3,line,white,en,1.1.2,
10718,,Cape Verdean Creol,azul,azul,Azul,rgb,0,158,255,1,4,line,white,en,1.1.2,
10718,,Cape Verdean Creol,laranja,laranja,Laranja,rgb,255,148,0,1,5,line,white,en,1.1.2,
10718,,Cape Verdean Creol,azul,azul,Azul,rgb,125,0,255,1,6,line,white,en,1.1.2,
10718,,Cape Verdean Creol,laranja,laranja,Laranja,rgb,255,187,0,1,7,line,white,en,1.1.2,
10718,,Cape Verdean Creol,lilas,lilás,Lilás,rgb,255,0,203,1,8,line,white,en,1.1.2,
10718,,Cape Verdean Creol,corde-rosa,cor de-rosa,Cor-de-Rosa,rgb,255,0,121,1,9,line,white,en,1.1.2,
10718,,Cape Verdean Creol,verde,verde,Verde,rgb,0,255,158,1,10,line,white,en,1.1.2,
10718,,Cape Verdean Creol,laranja,laranja,Laranja,rgb,255,104,0,1,11,line,white,en,1.1.2,
