participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
6577,,Filipino,berde,berde,berde,rgb,132,255,0,3,0,line,white,en,1.1.2,
6577,,Filipino,berde,berde,berde,rgb,166,255,0,3,1,line,white,en,1.1.2,
6577,,Filipino,asul,asul,asul,rgb,0,149,255,3,2,line,white,en,1.1.2,
6577,,Filipino,kulaylila,kulay lila,kulay-lila,rgb,162,0,255,3,3,line,white,en,1.1.2,
6577,,Filipino,dilaw,dilaw,dilaw,rgb,225,255,0,3,4,line,white,en,1.1.2,
6577,,Filipino,berde'tasul,berde't asul,berde't asul,rgb,0,255,186,3,5,line,white,en,1.1.2,
6577,,Filipino,asul,asul,asul,rgb,0,194,255,3,6,line,white,en,1.1.2,
6577,,Filipino,asul,asul,asul,rgb,0,166,255,3,7,line,white,en,1.1.2,
6577,,Filipino,dalandan,dalandan,dalandan,rgb,255,121,0,3,8,line,white,en,1.1.2,
6577,,Filipino,pula,pula,pula,rgb,255,36,0,3,9,line,white,en,1.1.2,
6577,,Filipino,asul,asul,asul,rgb,0,255,216,3,10,line,white,en,1.1.2,
6577,,Filipino,berde,berde,berde,rgb,0,255,96,3,11,line,white,en,1.1.2,
6577,,Filipino,asul,asul,asul,rgb,67,0,255,6,0,line,white,en,1.1.2,
6577,,Filipino,berde,berde,berde,rgb,0,255,141,6,2,line,white,en,1.1.2,
6577,,Filipino,pula,pula,pula,rgb,255,0,75,6,3,line,white,en,1.1.2,
6577,,Filipino,dilaw,dilaw,dilaw,rgb,255,226,0,6,4,line,white,en,1.1.2,
6577,,Filipino,asul,asul,asul,rgb,0,236,255,6,5,line,white,en,1.1.2,
6577,,Filipino,asul,asul,asul,rgb,0,51,255,6,6,line,white,en,1.1.2,
6577,,Filipino,dilaw,dilaw,dilaw,rgb,234,255,0,6,7,line,white,en,1.1.2,
6577,,Filipino,ube,ube,ube,rgb,255,0,213,6,8,line,white,en,1.1.2,
6577,,Filipino,pula,pula,pula,rgb,255,0,87,6,9,line,white,en,1.1.2,
6577,,Filipino,asul,asul,asul,rgb,0,255,239,6,10,line,white,en,1.1.2,
6577,,Filipino,kahel,kahel,kahel,rgb,255,205,0,6,11,line,white,en,1.1.2,
