participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
13346,,Ixil,kah,kah,Kah,rgb,255,0,67,1,0,line,white,en,,1.1.4,
13346,,Ixil,sa'hmorado,sa'h morado,Sa'h Morado,rgb,216,0,255,1,1,line,white,en,,1.1.4,
13346,,Ixil,chaa'x,chaa'x,chaa'x,rgb,0,255,38,1,2,line,white,en,,1.1.4,
13346,,Ixil,sa'ja;asul,sa'ja; asul,Sa'ja; Asul,rgb,0,255,232,1,3,line,white,en,,1.1.4,
13346,,Ixil,azul,azul,azul,rgb,0,100,255,1,4,line,white,en,,1.1.4,
13346,,Ixil,morado,morado,Morado,rgb,157,0,255,1,5,line,white,en,,1.1.4,
13346,,Ixil,morado,morado,Morado,rgb,233,0,255,1,6,line,white,en,,1.1.4,
13346,,Ixil,sa'jalasul,sa'jal asul,Sa'jal Asul,rgb,0,243,255,1,7,line,white,en,,1.1.4,
13346,,Ixil,asul,asul,Asul,rgb,34,0,255,1,8,line,white,en,,1.1.4,
13346,,Ixil,sa'jasul,sa'j asul,Sa'j asul,rgb,0,153,255,1,9,line,white,en,,1.1.4,
13346,,Ixil,melon,melon,Melon,rgb,255,190,0,1,10,line,white,en,,1.1.4,
13346,,Ixil,sa'jcha'x,sa'j cha'x,Sa'j Cha'x,rgb,200,255,0,1,11,line,white,en,,1.1.4,
13346,,Ixil,naranjo,naranjo,Naranjo,rgb,255,94,0,3,0,line,white,en,,1.1.4,
13346,,Ixil,asul,asul,asul,rgb,0,86,255,3,1,line,white,en,,1.1.4,
13346,,Ixil,kaa'j,kaa'j,Kaa'j,rgb,255,0,25,3,2,line,white,en,,1.1.4,
13346,,Ixil,sa'hchax,sa'h chax,sa'h chax,rgb,184,255,0,3,3,line,white,en,,1.1.4,
13346,,Ixil,sa'jkaaj,sa'j kaaj,sa'j kaaj,rgb,255,0,83,3,4,line,white,en,,1.1.4,
13346,,Ixil,saajalchax,saajal chax,saajal chax,rgb,0,255,161,3,5,line,white,en,,1.1.4,
13346,,Ixil,chax,chax,chax,rgb,0,255,102,3,6,line,white,en,,1.1.4,
13346,,Ixil,rosado,rosado,rosado,rgb,255,0,173,3,7,line,white,en,,1.1.4,
13346,,Ixil,azul,azul,azul,rgb,0,38,255,3,8,line,white,en,,1.1.4,
13346,,Ixil,sa'jasul,sa'j asul,sa'j asul,rgb,0,122,255,3,9,line,white,en,,1.1.4,
13346,,Ixil,sajalasul,sajal asul,sajal asul,rgb,0,160,255,3,10,line,white,en,,1.1.4,
13346,,Ixil,q'an,q'an,q'an,rgb,255,237,0,3,11,line,white,en,,1.1.4,
13346,,Ixil,sajkaj,saj kaj,saj kaj,rgb,255,71,0,6,0,line,white,en,,1.1.4,
13346,,Ixil,naranjo,naranjo,naranjo,rgb,255,154,0,6,1,line,white,en,,1.1.4,
13346,,Ixil,sajchax,saj chax,saj chax,rgb,0,255,149,6,2,line,white,en,,1.1.4,
13346,,Ixil,sajkaj,saj kaj,saj kaj,rgb,255,0,128,6,3,line,white,en,,1.1.4,
13346,,Ixil,morado,morado,morado,rgb,255,0,221,6,4,line,white,en,,1.1.4,
13346,,Ixil,sajasul,saj asul,saj asul,rgb,0,255,206,6,5,line,white,en,,1.1.4,
13346,,Ixil,rosado,rosado,rosado,rgb,255,0,179,6,6,line,white,en,,1.1.4,
13346,,Ixil,naranjo,naranjo,naranjo,rgb,255,141,0,6,7,line,white,en,,1.1.4,
13346,,Ixil,q'an,q'an,q'an,rgb,255,251,0,6,8,line,white,en,,1.1.4,
13346,,Ixil,sajasul,saj asul,saj asul,rgb,0,187,255,6,9,line,white,en,,1.1.4,
13346,,Ixil,saajalasul,saajal asul,saajal asul,rgb,0,227,255,6,10,line,white,en,,1.1.4,
13346,,Ixil,chax,chax,chax,rgb,70,255,0,6,11,line,white,en,,1.1.4,
