participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
50ea5a82-74da-4fb7-9918-d7389692f464,,Konkani,gulabi,gulabi,gulabi,rgb,213,43,194,1,0,full,white,en,en,2.1.2,
50ea5a82-74da-4fb7-9918-d7389692f464,,Konkani,abulevarnu,abulevarnu,Abulevarnu,rgb,229,161,189,1,1,full,white,en,en,2.1.2,
50ea5a82-74da-4fb7-9918-d7389692f464,,Konkani,pachuve,pachuve,Pachuve,rgb,37,147,108,1,3,full,white,en,en,2.1.2,
50ea5a82-74da-4fb7-9918-d7389692f464,,Konkani,narangi,narangi,narangi,rgb,255,112,61,1,8,full,white,en,en,2.1.2,
50ea5a82-74da-4fb7-9918-d7389692f464,,Konkani,halduvu,halduvu,Halduvu,rgb,236,242,74,1,9,full,white,en,en,2.1.2,
50ea5a82-74da-4fb7-9918-d7389692f464,,Konkani,nimbu,nimbu,Nimbu,rgb,69,215,102,1,10,full,white,en,en,2.1.2,
50ea5a82-74da-4fb7-9918-d7389692f464,,Konkani,pallo,pallo,Pallo,rgb,128,162,107,1,11,full,white,en,en,2.1.2,
a56c97fc-23d6-47b6-931d-576f195593cd,,Konkani,nelso,nelso,Nelso,rgb,39,124,230,1,0,full,white,en,en,2.1.2,
a56c97fc-23d6-47b6-931d-576f195593cd,,Konkani,pachwo,pachwo,Pachwo,rgb,137,250,150,1,1,full,white,en,en,2.1.2,
a56c97fc-23d6-47b6-931d-576f195593cd,,Konkani,violet,violet,Violet,rgb,141,85,240,1,2,full,white,en,en,2.1.2,
a56c97fc-23d6-47b6-931d-576f195593cd,,Konkani,gulabi,gulabi,Gulabi,rgb,222,12,154,1,3,full,white,en,en,2.1.2,
