participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
4939,,Saurashtri,lightblue,light blue,light blue,rgb,0,195,255,3,0,line,white,en,,1.1.2,
4939,,Saurashtri,olive,olive,olive,rgb,200,255,0,3,1,line,white,en,,1.1.2,
4939,,Saurashtri,pink,pink,pink,rgb,255,0,166,3,2,line,white,en,,1.1.2,
4939,,Saurashtri,green,green,green,rgb,0,255,82,3,3,line,white,en,,1.1.2,
4939,,Saurashtri,orange,orange,orange,rgb,255,99,0,3,4,line,white,en,,1.1.2,
4939,,Saurashtri,yellow,yellow,yellow,rgb,255,233,0,3,5,line,white,en,,1.1.2,
4939,,Saurashtri,darkyellow,dark yellow,dark yellow,rgb,255,190,0,3,6,line,white,en,,1.1.2,
4939,,Saurashtri,darkblue,dark blue,dark blue,rgb,0,13,255,3,7,line,white,en,,1.1.2,
4939,,Saurashtri,skyblue,sky blue,sky blue,rgb,0,217,255,3,8,line,white,en,,1.1.2,
4939,,Saurashtri,blue,blue,blue,rgb,0,126,255,3,9,line,white,en,,1.1.2,
4939,,Saurashtri,magenta,magenta,magenta,rgb,197,0,255,3,10,line,white,en,,1.1.2,
4939,,Saurashtri,cyan,cyan,cyan,rgb,0,255,209,3,11,line,white,en,,1.1.2,
4939,,Saurashtri,pastelgreen,pastel green,pastel green,rgb,0,255,127,6,0,line,white,en,,1.1.2,
4939,,Saurashtri,blue,blue,blue,rgb,0,106,255,6,1,line,white,en,,1.1.2,
4939,,Saurashtri,violet,violet,violet,rgb,126,0,255,6,2,line,white,en,,1.1.2,
4939,,Saurashtri,skyblue,sky blue,sky blue,rgb,0,238,255,6,3,line,white,en,,1.1.2,
4939,,Saurashtri,orange,orange,orange,rgb,255,48,0,6,4,line,white,en,,1.1.2,
4939,,Saurashtri,red,red,red,rgb,255,0,5,6,5,line,white,en,,1.1.2,
4939,,Saurashtri,pink,pink,pink,rgb,255,0,95,6,6,line,white,en,,1.1.2,
4939,,Saurashtri,lightblue,light blue,light blue,rgb,0,156,255,6,7,line,white,en,,1.1.2,
4939,,Saurashtri,orange,orange,orange,rgb,255,125,0,6,8,line,white,en,,1.1.2,
4939,,Saurashtri,skyblue,sky blue,sky blue,rgb,0,179,255,6,9,line,white,en,,1.1.2,
4939,,Saurashtri,green,green,green,rgb,0,255,43,6,10,line,white,en,,1.1.2,
4939,,Saurashtri,darkpink,dark pink,dark pink,rgb,255,0,67,6,11,line,white,en,,1.1.2,
