participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
5349,aa,Afar (Afaraf),teal,teal,teal,rgb,0,253,255,1,0,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),teal,teal,teal,rgb,0,255,209,1,1,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),magenta,magenta,magenta,rgb,255,0,231,1,2,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),mintgreen,mint green,mint green,rgb,0,255,148,1,3,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),magenta,magenta,magenta,rgb,255,0,144,1,4,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),red,red,red,rgb,255,0,36,1,5,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),darkorange,dark orange,dark orange,rgb,255,79,0,1,6,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),lightorange,light orange,light orange,rgb,255,164,0,1,7,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),purple,purple,purple,rgb,255,0,253,1,8,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),pink,pink,pink,rgb,255,0,87,1,9,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),orange,orange,orange,rgb,255,130,0,1,10,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),teal,teal,teal,rgb,0,255,247,1,11,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),pink,pink,pink,rgb,255,0,124,3,0,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),orange,orange,orange,rgb,255,197,0,3,1,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),shamrockgreen,shamrock green,shamrock green,rgb,0,255,56,3,2,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),darkblue,dark blue,dark blue,rgb,0,39,255,3,3,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),purple,purple,purple,rgb,152,0,255,3,4,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),pink,pink,pink,rgb,255,0,192,3,5,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),tropicalblue,tropical blue,tropical blue,rgb,0,204,255,3,6,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),limegreen,lime green,lime green,rgb,148,255,0,3,7,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),red,red,red,rgb,255,0,78,3,8,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),yellow,yellow,yellow,rgb,255,217,0,3,9,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),limegreen,lime green,lime green,rgb,118,255,0,3,10,line,white,en,,1.1.2,
5349,aa,Afar (Afaraf),midnightblue,midnight blue,midnight blue,rgb,0,124,255,3,11,line,white,en,,1.1.2,
0,aa,Afar (Afaraf),neongreen,neon green,neon green,rgb,0,255,1,1,0,line,white,en,,1.1.5,
0,aa,Afar (Afaraf),turqouise,turqouise,turqouise,rgb,0,255,248,1,1,line,white,en,,1.1.5,
0,aa,Afar (Afaraf),barbiepink,barbie pink,barbie pink,rgb,255,0,146,1,2,line,white,en,,1.1.5,
0,aa,Afar (Afaraf),rose,rose,rose,rgb,255,0,54,1,3,line,white,en,,1.1.5,
0,aa,Afar (Afaraf),mustard,mustard`,mustard`,rgb,226,255,0,1,4,line,white,en,,1.1.5,
0,aa,Afar (Afaraf),magenta,magenta,magenta,rgb,255,0,114,1,5,line,white,en,,1.1.5,
0,aa,Afar (Afaraf),violet,violet,violet,rgb,156,0,255,1,6,line,white,en,,1.1.5,
0,aa,Afar (Afaraf),gogledocsblue,gogle docs blue,gogle docs blue,rgb,0,128,255,1,7,line,white,en,,1.1.5,
0,aa,Afar (Afaraf),skyblue,sky blue,sky blue,rgb,0,173,255,1,8,line,white,en,,1.1.5,
0,aa,Afar (Afaraf),aqua,aqua,aqua,rgb,0,64,255,1,9,line,white,en,,1.1.5,
0,aa,Afar (Afaraf),fusia,fusia,fusia,rgb,231,0,255,1,10,line,white,en,,1.1.5,
0,aa,Afar (Afaraf),red,red,red,rgb,255,0,6,1,11,line,white,en,,1.1.5,
