participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
0,ak,Akan (Akan),skyblue,sky blue,sky blue,rgb,0,144,255,1,0,line,white,en,,1.1.5,
0,ak,Akan (Akan),violet,violet,violet,rgb,215,0,255,1,1,line,white,en,,1.1.5,
0,ak,Akan (Akan),magenta,magenta,magenta,rgb,255,0,230,1,2,line,white,en,,1.1.5,
0,ak,Akan (Akan),orange,orange,orange,rgb,255,178,0,1,3,line,white,en,,1.1.5,
0,ak,Akan (Akan),limegreen,lime  green,lime  green,rgb,204,255,0,1,4,line,white,en,,1.1.5,
0,ak,Akan (Akan),purple,purple,purple,rgb,160,0,255,1,6,line,white,en,,1.1.5,
0,ak,Akan (Akan),blue,blue,blue,rgb,0,103,255,1,7,line,white,en,,1.1.5,
0,ak,Akan (Akan),darkblue,dark blue,Dark blue,rgb,0,81,255,1,8,line,white,en,,1.1.5,
0,ak,Akan (Akan),yellow,yellow,yellow,rgb,255,195,0,1,9,line,white,en,,1.1.5,
0,ak,Akan (Akan),red,red,red,rgb,255,0,108,1,10,line,white,en,,1.1.5,
0,ak,Akan (Akan),turquiose,turquiose,turquiose,rgb,0,255,145,1,11,line,white,en,,1.1.5,
0,ak,Akan (Akan),red,red,red,rgb,255,0,44,3,0,line,white,en,,1.1.5,
0,ak,Akan (Akan),ceruleanblue,cerulean blue,cerulean blue,rgb,0,44,255,3,1,line,white,en,,1.1.5,
0,ak,Akan (Akan),yellow,yellow,yellow,rgb,255,243,0,3,2,line,white,en,,1.1.5,
0,ak,Akan (Akan),skyblue,sky blue,sky blue,rgb,0,255,252,3,3,line,white,en,,1.1.5,
0,ak,Akan (Akan),orange,orange,orange,rgb,255,145,0,3,4,line,white,en,,1.1.5,
0,ak,Akan (Akan),turquoise,turquoise,turquoise,rgb,0,255,195,3,5,line,white,en,,1.1.5,
0,ak,Akan (Akan),magenta,magenta,magenta,rgb,255,0,132,3,6,line,white,en,,1.1.5,
0,ak,Akan (Akan),limegreen,lime green,lime green,rgb,93,255,0,3,7,line,white,en,,1.1.5,
0,ak,Akan (Akan),rust,rust,rust,rgb,255,18,0,3,8,line,white,en,,1.1.5,
0,ak,Akan (Akan),darkblue,dark blue,dark blue,rgb,0,27,255,3,9,line,white,en,,1.1.5,
0,ak,Akan (Akan),violet,violet,violet,rgb,243,0,255,3,10,line,white,en,,1.1.5,
0,ak,Akan (Akan),blue,blue,blue,rgb,0,182,255,3,11,line,white,en,,1.1.5,
0,ak,Akan (Akan),yellow,yellow,yellow,rgb,252,255,0,6,0,line,white,en,,1.1.5,
0,ak,Akan (Akan),orange,orange,orange,rgb,255,90,0,6,1,line,white,en,,1.1.5,
0,ak,Akan (Akan),magenta,magenta,magenta,rgb,255,0,158,6,2,line,white,en,,1.1.5,
0,ak,Akan (Akan),lightblue,light blue,light blue,rgb,0,239,255,6,4,line,white,en,,1.1.5,
0,ak,Akan (Akan),red,red,red,rgb,255,0,76,6,5,line,white,en,,1.1.5,
0,ak,Akan (Akan),blue,blue,blue,rgb,0,171,255,6,6,line,white,en,,1.1.5,
0,ak,Akan (Akan),limegreen,lime green,lime green,rgb,185,255,0,6,7,line,white,en,,1.1.5,
0,ak,Akan (Akan),green,green,green,rgb,0,255,88,6,8,line,white,en,,1.1.5,
0,ak,Akan (Akan),brightgreen,bright green,bright green,rgb,0,255,64,6,9,line,white,en,,1.1.5,
0,ak,Akan (Akan),skyblue,sky blue,sky blue,rgb,0,223,255,6,10,line,white,en,,1.1.5,
0,ak,Akan (Akan),ceruleanblue,cerulean blue,cerulean blue,rgb,0,133,255,6,11,line,white,en,,1.1.5,
