participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
4481,ar,Arabic (العربية),وردي,وردي,وردي,rgb,255,0,205,1,0,line,white,en,,1.1,
4481,ar,Arabic (العربية),أزرق,أزرق,أزرق,rgb,0,115,255,1,1,line,white,en,,1.1,
4481,ar,Arabic (العربية),أحمر غامق,أحمر غامق,أحمر غامق,rgb,255,0,72,1,2,line,white,en,,1.1,
4481,ar,Arabic (العربية),أحمر,أحمر,أحمر,rgb,255,0,18,1,3,line,white,en,,1.1,
4481,ar,Arabic (العربية),كستنائي,كستنائي,كستنائي,rgb,0,244,255,1,4,line,white,en,,1.1,
4481,ar,Arabic (العربية),وردي غامق,وردي غامق,وردي غامق,rgb,255,0,111,1,5,line,white,en,,1.1,
4481,ar,Arabic (العربية),أزرق غامق,أزرق غامق,أزرق غامق,rgb,0,2,255,1,6,line,white,en,,1.1,
4481,ar,Arabic (العربية),أصفر,أصفر,أصفر,rgb,245,255,0,1,7,line,white,en,,1.1,
4481,ar,Arabic (العربية),وردي غامق,وردي غامق,وردي غامق,rgb,255,0,123,1,8,line,white,en,,1.1,
4481,ar,Arabic (العربية),أصفر غامق,أصفر غامق,أصفر غامق,rgb,255,201,0,1,9,line,white,en,,1.1,
4481,ar,Arabic (العربية),فستقي,فستقي,فستقي,rgb,0,255,217,1,10,line,white,en,,1.1,
4481,ar,Arabic (العربية),سماوي,سماوي,سماوي,rgb,0,188,255,1,11,line,white,en,,1.1,
4481,ar,Arabic (العربية),برتقالي غامق,برتقالي غامق,برتقالي غامق,rgb,255,113,0,3,0,line,white,en,,1.1,
4481,ar,Arabic (العربية),برتقالي,برتقالي,برتقالي,rgb,255,124,0,3,1,line,white,en,,1.1,
4481,ar,Arabic (العربية),فستقي,فستقي,فستقي,rgb,0,255,48,3,2,line,white,en,,1.1,
4481,ar,Arabic (العربية),أحمر,أحمر,أحمر,rgb,255,67,0,3,3,line,white,en,,1.1,
4481,ar,Arabic (العربية),أزرق,أزرق,أزرق,rgb,0,94,255,3,4,line,white,en,,1.1,
4481,ar,Arabic (العربية),بنفسجي,بنفسجي,بنفسجي,rgb,126,0,255,3,5,line,white,en,,1.1,
4481,ar,Arabic (العربية),وردي غامق,وردي غامق,وردي غامق,rgb,232,0,255,3,6,line,white,en,,1.1,
4481,ar,Arabic (العربية),وردي,وردي,وردي,rgb,255,0,219,3,7,line,white,en,,1.1,
4481,ar,Arabic (العربية),سماوي,سماوي,سماوي,rgb,0,225,255,3,8,line,white,en,,1.1,
4481,ar,Arabic (العربية),أزرق,أزرق,أزرق,rgb,0,80,255,3,9,line,white,en,,1.1,
4481,ar,Arabic (العربية),وردي غامق,وردي غامق,وردي غامق,rgb,255,0,175,3,10,line,white,en,,1.1,
4481,ar,Arabic (العربية),أصفر,أصفر,أصفر,rgb,229,255,0,3,11,line,white,en,,1.1,
4481,ar,Arabic (العربية),كستنائي,كستنائي,كستنائي,rgb,0,255,233,6,0,line,white,en,,1.1,
4481,ar,Arabic (العربية),فستقي,فستقي,فستقي,rgb,96,255,0,6,1,line,white,en,,1.1,
4481,ar,Arabic (العربية),أزرق,أزرق,أزرق,rgb,0,61,255,6,2,line,white,en,,1.1,
4481,ar,Arabic (العربية),أزرق فاتح,أزرق فاتح,أزرق فاتح,rgb,0,167,255,6,3,line,white,en,,1.1,
4481,ar,Arabic (العربية),فستقي فاتح,فستقي فاتح,فستقي فاتح,rgb,177,255,0,6,4,line,white,en,,1.1,
4481,ar,Arabic (العربية),أخضر,أخضر,أخضر,rgb,0,255,117,6,5,line,white,en,,1.1,
4481,ar,Arabic (العربية),بنفسجي غامق,بنفسجي غامق,بنفسجي غامق,rgb,174,0,255,6,6,line,white,en,,1.1,
4481,ar,Arabic (العربية),أخضر,أخضر,أخضر,rgb,0,255,129,6,7,line,white,en,,1.1,
4481,ar,Arabic (العربية),أصفر,أصفر,أصفر,rgb,255,234,0,6,8,line,white,en,,1.1,
4481,ar,Arabic (العربية),كستنائي,كستنائي,كستنائي,rgb,0,255,179,6,9,line,white,en,,1.1,
4481,ar,Arabic (العربية),أزرق فاتح,أزرق فاتح,أزرق فاتح,rgb,0,153,255,6,10,line,white,en,,1.1,
4481,ar,Arabic (العربية),برتقالي,برتقالي,برتقالي,rgb,255,176,0,6,11,line,white,en,,1.1,
4685,ar,Arabic (العربية),أزرق,أزرق,أزرق,rgb,0,51,255,1,0,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),أزرق فاتح,أزرق فاتح,أزرق فاتح,rgb,0,115,255,1,1,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),أصفر,أصفر,أصفر,rgb,251,255,0,1,2,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),وردي,وردي,وردي,rgb,255,0,141,1,3,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),أزرق سماوي,أزرق سماوي,أزرق سماوي,rgb,0,255,226,1,4,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),نيلي,نيلي,نيلي,rgb,97,0,255,1,5,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),قرمزي,قرمزي,قرمزي,rgb,255,0,197,1,6,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),أخضر زيتوني,أخضر زيتوني,أخضر زيتوني,rgb,211,255,0,1,7,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),برتقالي محمر,برتقالي محمر,برتقالي محمر,rgb,255,72,0,1,8,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),برتقالي,برتقالي,برتقالي,rgb,255,112,0,1,9,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),أخضر,أخضر,أخضر,rgb,0,255,146,1,10,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),أزرق مخضر,أزرق مخضر,أزرق مخضر,rgb,0,255,216,1,11,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),لازوردي,لازوردي,لازوردي,rgb,0,199,255,3,0,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),ورق,ورق,ورق,rgb,0,84,255,3,1,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),نيلي,نيلي,نيلي,rgb,240,0,255,3,2,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),أخضر مصفر,أخضر مصفر,أخضر مصفر,rgb,171,255,0,3,3,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),وردي,وردي,وردي,rgb,255,0,150,3,4,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),أحمر,أحمر,أحمر,rgb,255,0,52,3,5,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),أزرق فاتح,أزرق فاتح,أزرق فاتح,rgb,0,165,255,3,6,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),ذهبي,ذهبي,ذهبي,rgb,255,200,0,3,7,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),برتقالي,برتقالي,برتقالي,rgb,255,157,0,3,8,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),أخضر,أخضر,أخضر,rgb,0,255,90,3,9,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),بنفسجي,بنفسجي,بنفسجي,rgb,169,0,255,3,10,line,white,en,,1.1.2,
4685,ar,Arabic (العربية),قرمزي,قرمزي,قرمزي,rgb,255,0,244,3,11,line,white,en,,1.1.2,
5742,ar,Arabic (العربية),أخضر,أخضر,أخضر,rgb,0,255,148,1,0,line,white,en,,1.1.2,
5742,ar,Arabic (العربية),وردي,وردي,وردي,rgb,255,0,132,1,1,line,white,en,,1.1.2,
