participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
0,az,Azerbaijani (azərbaycan dili),qirmizi,qirmizi,Qirmizi,rgb,255,0,57,1,0,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),aciqyasil,aciq yasil,Aciq yasil,rgb,58,255,0,1,1,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),narinci,narinci,Narinci,rgb,255,130,0,1,2,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),tundgoy,tund goy,Tund goy,rgb,0,65,255,1,3,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),mavi,mavi,Mavi,rgb,0,239,255,1,4,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),cehrayi,cehrayi,Cehrayi,rgb,255,0,235,1,5,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),aciqyasil,aciq yasil,Aciq yasil,rgb,0,255,95,1,6,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),sari,sari,Sari,rgb,255,231,0,1,7,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),mavi,mavi,Mavi,rgb,0,165,255,1,8,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),goy,goy,Goy,rgb,0,121,255,1,9,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),tundnarinci,tund narinci,Tund narinci,rgb,255,73,0,1,10,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),tundgoy,tund goy,Tund goy,rgb,0,81,255,1,11,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),benovseyi,benovseyi,Benovseyi,rgb,174,0,255,3,0,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),mavi,mavi,Mavi,rgb,0,255,247,3,1,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),sari,sari,Sari,rgb,255,182,0,3,2,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),goy,goy,Goy,rgb,0,148,255,3,3,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),cehrayi,cehrayi,Cehrayi,rgb,255,0,172,3,4,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),cehrayi,cehrayi,cehrayi,rgb,255,0,135,3,5,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),yasil,yasil,yasil,rgb,0,255,193,3,6,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),mavi,mavi,Mavi,rgb,0,229,255,3,7,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),mavi,mavi,Mavi,rgb,0,197,255,3,8,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),yasil,yasil,yasil,rgb,0,255,30,3,9,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),benovseyi,benovseyi,benovseyi,rgb,116,0,255,3,10,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),goy,goy,goy,rgb,0,94,255,3,11,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),yasil,yasil,Yasil,rgb,0,255,186,6,0,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),goy,goy,Goy,rgb,0,17,255,6,1,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),narinci,narinci,Narinci,rgb,255,82,0,6,2,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),sari,sari,Sari,rgb,255,193,0,6,3,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),yashil,yashil,yashil,rgb,157,255,0,6,4,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),cehrayi,cehrayi,Cehrayi,rgb,255,0,94,6,5,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),sari,sari,Sari,rgb,210,255,0,6,6,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),cehrayi,cehrayi,Cehrayi,rgb,255,0,187,6,7,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),cehrayi,cehrayi,cehrayi,rgb,232,0,255,6,8,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),sari,sari,sari,rgb,255,246,0,6,9,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),yasil,yasil,Yasil,rgb,0,255,145,6,10,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),qirmizi,qirmizi,Qirmizi,rgb,255,0,40,6,11,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),qırmızı,qırmızı,Qırmızı,rgb,255,0,102,1,1,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),goy,göy,Göy,rgb,0,129,255,1,2,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),mavi,mavi,Mavi,rgb,0,212,255,1,3,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),sarı,sarı,Sarı,rgb,255,253,0,1,4,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),cəhrayı,çəhrayı,Çəhrayı,rgb,255,0,123,1,5,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),tundmavi,tünd mavi,Tünd mavi,rgb,0,166,255,1,6,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),acıqyasıl,açıq yaşıl,Açıq yaşıl,rgb,0,255,121,1,7,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),tundsarı,tünd sarı,Tünd sarı,rgb,255,224,0,1,8,line,white,en,1.1.5,
0,az,Azerbaijani (azərbaycan dili),otyasılı,ot yaşılı,Ot yaşılı,rgb,114,255,0,1,10,line,white,en,1.1.5,
