participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
af3d5424-0fa5-4aa6-9026-79a93433bf74,ch,Chamorro (Chamoru),maroon,maroon,Maroon,p3,0.455296,0.206245,0.252168,1,0,full,white,en,en,2.1.2,
af3d5424-0fa5-4aa6-9026-79a93433bf74,ch,Chamorro (Chamoru),hotpink,hot pink,Hot pink,p3,0.999713,0.158423,0.787634,1,1,full,white,en,en,2.1.2,
af3d5424-0fa5-4aa6-9026-79a93433bf74,ch,Chamorro (Chamoru),green,green,Green,p3,0.612435,0.706441,0.390062,1,2,full,white,en,en,2.1.2,
af3d5424-0fa5-4aa6-9026-79a93433bf74,ch,Chamorro (Chamoru),brown,brown,Brown,p3,0.747647,0.502737,0.427274,1,3,full,white,en,en,2.1.2,
af3d5424-0fa5-4aa6-9026-79a93433bf74,ch,Chamorro (Chamoru),olivegreen,olive green,Olive green,p3,0.548249,0.559712,0.348788,1,4,full,white,en,en,2.1.2,
af3d5424-0fa5-4aa6-9026-79a93433bf74,ch,Chamorro (Chamoru),brown,brown,Brown,p3,0.495813,0.373022,0.351281,1,5,full,white,en,en,2.1.2,
af3d5424-0fa5-4aa6-9026-79a93433bf74,ch,Chamorro (Chamoru),violet,violet,Violet,p3,0.409773,0.198748,0.972059,1,6,full,white,en,en,2.1.2,
af3d5424-0fa5-4aa6-9026-79a93433bf74,ch,Chamorro (Chamoru),pink,pink,Pink,p3,0.869558,0.402327,0.842649,1,7,full,white,en,en,2.1.2,
af3d5424-0fa5-4aa6-9026-79a93433bf74,ch,Chamorro (Chamoru),beige,beige,Beige,p3,0.828668,0.781586,0.780141,1,8,full,white,en,en,2.1.2,
af3d5424-0fa5-4aa6-9026-79a93433bf74,ch,Chamorro (Chamoru),red,red,Red,p3,0.751053,0.050084,0.206524,1,9,full,white,en,en,2.1.2,
af3d5424-0fa5-4aa6-9026-79a93433bf74,ch,Chamorro (Chamoru),darkbrown,dark brown,Dark brown,p3,0.252402,0.103086,0.095022,1,10,full,white,en,en,2.1.2,
af3d5424-0fa5-4aa6-9026-79a93433bf74,ch,Chamorro (Chamoru),majenda,majenda,Majenda,p3,0.721664,0.216684,0.612826,1,11,full,white,en,en,2.1.2,
