participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
12198,cy,Welsh (Cymraeg),porffor,porffor,porffor,rgb,255,0,109,3,0,line,white,en,,1.1.3,
12198,cy,Welsh (Cymraeg),glassgolau,glass golau,glass golau,rgb,0,181,255,3,1,line,white,en,,1.1.3,
12198,cy,Welsh (Cymraeg),pinc,pinc,pinc,rgb,255,0,180,3,2,line,white,en,,1.1.3,
12198,cy,Welsh (Cymraeg),melyn,melyn,melyn,rgb,255,178,0,3,3,line,white,en,,1.1.3,
12198,cy,Welsh (Cymraeg),melyn,melyn,melyn,rgb,255,188,0,3,4,line,white,en,,1.1.3,
12198,cy,Welsh (Cymraeg),coch,coch,coch,rgb,255,0,31,3,5,line,white,en,,1.1.3,
12198,cy,Welsh (Cymraeg),glasstywyll,glass tywyll,glass tywyll,rgb,0,67,255,3,6,line,white,en,,1.1.3,
12198,cy,Welsh (Cymraeg),gwyrdd,gwyrdd,gwyrdd,rgb,187,255,0,3,7,line,white,en,,1.1.3,
12198,cy,Welsh (Cymraeg),glasstywyll,glass tywyll,glass tywyll,rgb,0,96,255,3,8,line,white,en,,1.1.3,
12198,cy,Welsh (Cymraeg),glassgolau,glass golau,glass golau,rgb,0,213,255,3,9,line,white,en,,1.1.3,
12198,cy,Welsh (Cymraeg),gwyrdd,gwyrdd,gwyrdd,rgb,170,255,0,3,10,line,white,en,,1.1.3,
12198,cy,Welsh (Cymraeg),pinc,pinc,pinc,rgb,255,0,220,3,11,line,white,en,,1.1.3,
