participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
4897,et,"Estonian (eesti, eesti keel)",sinine,sinine,Sinine,rgb,0,162,255,1,0,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",roosa,roosa,Roosa,rgb,255,0,153,1,1,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",oranz,oranz,Oranz,rgb,255,167,0,1,2,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",kollane,kollane,Kollane,rgb,255,255,0,1,3,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",tumekollane,tumekollane,Tumekollane,rgb,255,227,0,1,4,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",roheline,roheline,Roheline,rgb,0,255,172,1,5,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",roheline,roheline,Roheline,rgb,178,255,0,1,6,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",lilla,lilla,Lilla,rgb,200,0,255,1,7,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",punane,punane,Punane,rgb,255,0,17,1,8,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",roheline,roheline,Roheline,rgb,0,255,197,1,9,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",roosa,roosa,Roosa,rgb,255,0,100,1,10,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",roheline,roheline,Roheline,rgb,40,255,0,1,11,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",oranz,oran,Oran,rgb,255,92,0,3,0,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",punane,punane,Punane,rgb,255,53,0,3,1,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",roosa,roosa,Roosa,rgb,255,0,66,3,2,line,white,en,,1.1.2,
4897,et,"Estonian (eesti, eesti keel)",sinine,sisine,Sisine,rgb,0,205,255,3,3,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",sinine,sinine,sinine,rgb,0,59,255,1,0,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",kollane,kollane,kollane,rgb,255,208,0,1,1,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",helesinine,hele sinine,HELE SININE,rgb,0,110,255,1,2,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",kollane,kollane,KOLLANE,rgb,255,214,0,1,3,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",helesinineroheline,hele sinine roheline,hele sinine roheline,rgb,0,255,179,1,4,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",sinine,sinine,sinine,rgb,0,157,255,1,5,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",helesinine,hele sinine,hele sinine,rgb,0,248,255,1,6,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",punane,punane,punane,rgb,255,0,11,1,7,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",erkroheline,erk roheline,erk roheline,rgb,130,255,0,1,8,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",erkroosa,erk roosa,erk roosa,rgb,255,0,99,1,9,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",oranz,oranz,oranz,rgb,255,86,0,1,10,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",sinine,sinine,sinine,rgb,0,125,255,1,11,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",punane,punane,punane,rgb,255,0,65,3,0,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",erkroheline,erk roheline,erk roheline,rgb,0,255,68,3,1,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",roosalilla,roosa lilla,roosa lilla,rgb,255,0,154,3,2,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",heleroosalilla,hele roosa lilla,hele roosa lilla,rgb,255,0,183,3,3,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",kollane,kollane,kollane,rgb,228,255,0,3,4,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",helerohelinesinine,hele roheline sinine,hele roheline sinine,rgb,0,255,129,3,5,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",lilla,lilla,lilla,rgb,207,0,255,3,6,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",sinine,sinine,sinine,rgb,0,82,255,3,7,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",helesinine,hele sinine,hele sinine,rgb,0,189,255,3,8,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",kollaneroheline,kollane roheline,kollane roheline,rgb,182,255,0,3,9,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",tumeoranz,tume oranz,tume oranz,rgb,255,50,0,3,10,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",lilla,lilla,lilla,rgb,255,0,121,3,11,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",kollane,kollane,kollane,rgb,254,255,0,6,0,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",heleroheline,hele roheline,hele roheline,rgb,0,255,116,6,1,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",helesinine,hele sinine,hele sinine,rgb,0,173,255,6,2,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",helerohelinesinine,hele roheline sinine,hele roheline sinine,rgb,0,255,196,6,3,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",erklilla,erk lilla,erk lilla,rgb,255,0,224,6,4,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",tumeoranzkollane,tume oranz kollane,tume oranz kollane,rgb,255,156,0,6,5,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",roosa,roosa,roosa,rgb,254,0,255,6,6,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",turkiissinine,turkiis sinine,turkiis sinine,rgb,0,16,255,6,7,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",lilla,lilla,lilla,rgb,96,0,255,6,8,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",helesinakasroheline,hele sinakas roheline,hele sinakas roheline,rgb,0,255,229,6,9,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",helesinine,hele sinine,hele sinine,rgb,0,223,255,6,10,line,white,en,,1.1.2,
5643,et,"Estonian (eesti, eesti keel)",oranz,oranz,oranz,rgb,255,146,0,6,11,line,white,en,,1.1.2,
5653,et,"Estonian (eesti, eesti keel)",lilla,lilla,lilla,rgb,218,0,255,1,0,line,white,en,,1.1.2,
5653,et,"Estonian (eesti, eesti keel)",oranz,oranž,oranž,rgb,255,156,0,1,1,line,white,en,,1.1.2,
