participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
7102,ga,Irish (Gaeilge),blue,blue,blue,rgb,0,130,255,1,0,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),lime,lime,lime,rgb,119,255,0,1,1,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),red,red,red,rgb,255,48,0,1,2,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),turquoise,turquoise,turquoise,rgb,0,255,177,1,3,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),lightblue,light blue,light blue,rgb,0,195,255,1,4,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),darkblue,dark blue,dark blue,rgb,79,0,255,1,5,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),pink,pink,pink,rgb,255,0,215,1,6,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),green,green,green,rgb,0,255,91,1,7,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),yellow,yellow,yellow,rgb,255,239,0,1,8,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),megenta,megenta,megenta,rgb,255,0,95,1,9,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),orange,orange,orange,rgb,255,121,0,1,10,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),purple,purple,purple,rgb,136,0,255,1,11,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),orange,orange,orange,rgb,255,156,0,3,0,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),red,red,red,rgb,255,0,18,3,1,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),cerise,cerise,cerise,rgb,255,0,80,3,2,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),green,green,green,rgb,0,255,134,3,3,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),purple,purple,purple,rgb,210,0,255,3,4,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),gold,gold,gold,rgb,255,191,0,3,5,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),blue,blue,blue,rgb,0,101,255,3,6,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),yellow,yellow,yellow,rgb,255,247,0,3,7,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),lightblue,light blue,light blue,rgb,0,161,255,3,8,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),magenta,magenta,magenta,rgb,255,0,115,3,9,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),lime,lime,lime,rgb,158,255,0,3,10,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),pink,pink,pink,rgb,255,0,250,3,11,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),skyblue,sky blue,sky blue,rgb,0,255,255,6,0,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),green,green,green,rgb,0,255,58,6,1,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),turquoise,turquoise,turquoise,rgb,0,255,205,6,2,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),fluorescentyellow,fluorescent yellow,fluorescent yellow,rgb,209,255,0,6,3,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),magenta,magenta,magenta,rgb,255,0,162,6,4,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),darkblue,dark blue,dark blue,rgb,0,69,255,6,5,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),skyblue,sky blue,sky blue,rgb,0,255,250,6,6,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),babyblue,baby blue,baby blue,rgb,0,229,255,6,7,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),paleblue,pale blue,pale blue,rgb,0,148,255,6,8,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),cerisepink,cerise pink,cerise pink,rgb,255,0,179,6,9,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),darkblue,dark blue,dark blue,rgb,0,50,255,6,10,line,white,en,1.1.2,
7102,ga,Irish (Gaeilge),orange,orange,orange,rgb,255,108,0,6,11,line,white,en,1.1.2,
