participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
0,gu,Gujarati (ગુજરાતી),darkpink,dark pink,dark pink,rgb,255,0,162,1,0,line,white,en,,1.1.5,
0,gu,Gujarati (ગુજરાતી),purple,purple,purple,rgb,164,0,255,1,1,line,white,en,,1.1.5,
0,gu,Gujarati (ગુજરાતી),fluorescent,fluorescent,fluorescent,rgb,177,255,0,1,2,line,white,en,,1.1.5,
0,gu,Gujarati (ગુજરાતી),brightyellow,bright yellow,bright yellow,rgb,255,247,0,1,3,line,white,en,,1.1.5,
0,gu,Gujarati (ગુજરાતી),pink,pink,pink,rgb,255,0,249,1,4,line,white,en,,1.1.5,
0,gu,Gujarati (ગુજરાતી),green,green,green,rgb,0,255,61,1,5,line,white,en,,1.1.5,
0,gu,Gujarati (ગુજરાતી),mediumdarkpink,medium dark pink,medium dark pink,rgb,255,0,214,1,6,line,white,en,,1.1.5,
0,gu,Gujarati (ગુજરાતી),mediumpink,medium pink,medium pink,rgb,255,0,186,1,7,line,white,en,,1.1.5,
0,gu,Gujarati (ગુજરાતી),blue,blue,blue,rgb,0,98,255,1,8,line,white,en,,1.1.5,
0,gu,Gujarati (ગુજરાતી),yellow,yellow,yellow,rgb,255,234,0,1,9,line,white,en,,1.1.5,
0,gu,Gujarati (ગુજરાતી),mediumblue,medium blue,medium blue,rgb,0,59,255,1,10,line,white,en,,1.1.5,
0,gu,Gujarati (ગુજરાતી),darkpurple,dark purple,dark purple,rgb,113,0,255,1,11,line,white,en,,1.1.5,
d15ee782-5210-4417-aafe-df2dc0fb93b3,gu,Gujarati (ગુજરાતી),teal,teal,Teal,p3,0.102343,0.572375,0.55759,1,0,full,white,en,en,2.1.2,
d15ee782-5210-4417-aafe-df2dc0fb93b3,gu,Gujarati (ગુજરાતી),lavender,lavender,Lavender,p3,0.636309,0.627432,0.825149,1,1,full,white,en,en,2.1.2,
d15ee782-5210-4417-aafe-df2dc0fb93b3,gu,Gujarati (ગુજરાતી),fuschiapink,fuschia pink,Fuschia Pink,p3,0.978535,0.181997,0.642986,1,3,full,white,en,en,2.1.2,
d15ee782-5210-4417-aafe-df2dc0fb93b3,gu,Gujarati (ગુજરાતી),deepwine,deep wine,Deep Wine,p3,0.421459,0.145326,0.304842,1,4,full,white,en,en,2.1.2,
d15ee782-5210-4417-aafe-df2dc0fb93b3,gu,Gujarati (ગુજરાતી),fluorescentgreen,fluorescent green,Fluorescent Green,p3,0.252694,0.924065,0.449066,1,5,full,white,en,en,2.1.2,
d15ee782-5210-4417-aafe-df2dc0fb93b3,gu,Gujarati (ગુજરાતી),greyblack,grey black,Grey Black,p3,0.478406,0.50483,0.579148,1,6,full,white,en,en,2.1.2,
d15ee782-5210-4417-aafe-df2dc0fb93b3,gu,Gujarati (ગુજરાતી),yelllow,yelllow,Yelllow,p3,0.934581,0.925231,0.149319,1,7,full,white,en,en,2.1.2,
d15ee782-5210-4417-aafe-df2dc0fb93b3,gu,Gujarati (ગુજરાતી),darkgreen,dark green,Dark Green,p3,0.111144,0.198016,0.175462,1,9,full,white,en,en,2.1.2,
d15ee782-5210-4417-aafe-df2dc0fb93b3,gu,Gujarati (ગુજરાતી),violet,violet,Violet,p3,0.429349,0.142657,0.682601,1,10,full,white,en,en,2.1.2,
d15ee782-5210-4417-aafe-df2dc0fb93b3,gu,Gujarati (ગુજરાતી),red,red,Red,p3,0.773342,0.192538,0.163309,1,11,full,white,en,en,2.1.2,
2f2e8667-78b2-477a-8284-b571105d1b85,gu,Gujarati (ગુજરાતી),જાંબલી,jambli,Jambli,rgb,129,67,151,1,0,full,white,en,en,2.1.2,
2f2e8667-78b2-477a-8284-b571105d1b85,gu,Gujarati (ગુજરાતી),chikni,chikni,Chikni,rgb,206,126,46,1,1,full,white,en,en,2.1.2,
2f2e8667-78b2-477a-8284-b571105d1b85,gu,Gujarati (ગુજરાતી),ગુલાબી,gulabi,Gulabi,rgb,199,48,155,1,2,full,white,en,en,2.1.2,
2f2e8667-78b2-477a-8284-b571105d1b85,gu,Gujarati (ગુજરાતી),કાળો,kalo,Kalo,rgb,4,19,34,1,3,full,white,en,en,2.1.2,
2f2e8667-78b2-477a-8284-b571105d1b85,gu,Gujarati (ગુજરાતી),રીંગણ,ringni,Ringni,rgb,194,1,233,1,4,full,white,en,en,2.1.2,
2f2e8667-78b2-477a-8284-b571105d1b85,gu,Gujarati (ગુજરાતી),વાદળી,vadli,Vadli,rgb,48,122,225,1,8,full,white,en,en,2.1.2,
2f2e8667-78b2-477a-8284-b571105d1b85,gu,Gujarati (ગુજરાતી),લીલો,lilo,Lilo,rgb,183,254,134,1,9,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),darkpink,dark pink,Dark pink,rgb,155,63,128,1,0,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),green,green,Green,rgb,143,215,132,1,1,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),yellow,yellow,Yellow,rgb,249,239,35,1,2,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),lightpurple,light purple,Light purple,rgb,215,174,250,1,3,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),black,black,Black,rgb,12,33,3,1,4,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),brownish,brownish,Brownish,rgb,136,101,126,1,5,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),lightestgrey,lightest grey,Lightest grey,rgb,220,227,242,1,6,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),lightershadeofgreen,lighter shade of green,Lighter shade of green,rgb,166,226,233,1,7,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),darkblue,dark blue,Dark blue,rgb,17,35,168,1,8,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),darkgreen,dark green,Dark green,rgb,44,87,72,1,9,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),orange,orange,Orange,rgb,231,119,51,1,10,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),lighterblue,lighter blue,Lighter blue,rgb,78,130,222,1,11,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),greenish,greenish,Greenish,rgb,150,181,153,3,0,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),orangepluspink,orange plus pink,Orange plus pink,rgb,235,157,160,3,1,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),yellowish,yellowish,Yellowish,rgb,227,211,94,3,2,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),darkergreen,darker green,Darker green,rgb,149,206,127,3,3,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),lightgreen,light green,Light green,rgb,93,226,169,3,4,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),darkblue,dark blue,Dark blue,rgb,30,51,71,3,5,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),yellowlight,yellow light,Yellow light,rgb,215,215,99,3,6,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),lightergreen,lighter green,Lighter green,rgb,124,198,178,3,7,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),green,green,Green,rgb,82,137,60,3,8,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),greenshade,green shade,Green shade,rgb,111,175,186,3,9,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),darkpurple,dark purple,Dark purple,rgb,30,0,20,3,10,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),pink,pink,Pink,rgb,201,108,205,3,11,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),darkpink,dark pink,Dark pink,rgb,205,15,143,5,0,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),mehendicolour,mehendi colour,Mehendi colour,rgb,151,151,95,5,1,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),darkpurple,dark purple,Dark purple,rgb,146,100,212,5,2,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),lightgreen,light green,Light green,rgb,162,203,144,5,3,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),blue,blue,Blue,rgb,67,136,232,5,4,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),darkorange,dark orange,Dark Orange,rgb,205,99,39,5,5,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),reddishbrown,reddish brown,Reddish brown,rgb,159,60,26,5,6,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),darkpurple,dark purple,Dark purple,rgb,178,47,175,5,7,full,white,en,en,2.1.2,
35e03be3-2129-4e55-995e-af1fe665512b,gu,Gujarati (ગુજરાતી),greenish,greenish,Greenish,rgb,92,115,117,5,8,full,white,en,en,2.1.2,
