participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
3958,he,Hebrew (modern) (עברית),ירוק,ירוק,ירוק,rgb,143,255,0,1,0,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),כחול,כחול,כחול,rgb,0,48,255,1,1,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),ירוק,ירוק,ירוק,rgb,127,255,0,1,2,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),תכלת,תכלת,תכלת,rgb,0,177,255,1,3,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),ירוק,ירוק,ירוק,rgb,0,255,148,1,4,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),פוקסיה,פוקסיה,פוקסיה,rgb,255,0,203,1,5,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),תכלת,תכלת,תכלת,rgb,0,182,255,1,6,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),ירוק,ירוק,ירוק,rgb,0,255,56,1,7,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),כחול,כחול,כחול,rgb,0,99,255,1,8,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),כחולבהיר,כחול בהיר,כחול בהיר,rgb,0,129,255,1,9,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),פוקסיה,פוקסיה,פוקסיה,rgb,255,0,216,1,10,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),פוקסיה,פוקסיה,פוקסיה,rgb,255,0,82,1,11,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),תכלת,תכלת,תכלת,rgb,0,255,234,3,0,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),כחולבהיר,כחול בהיר,כחול בהיר,rgb,0,152,255,3,1,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),כתום,כתום,כתום,rgb,255,135,0,3,2,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),טורקיז,טורקיז,טורקיז,rgb,0,255,218,3,3,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),אדום,אדום,אדום,rgb,255,0,22,3,4,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),פוקסיה,פוקסיה,פוקסיה,rgb,255,0,252,3,5,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),צהוב,צהוב,צהוב,rgb,255,197,0,3,6,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),סגולבהיר,סגול בהיר,סגול בהיר,rgb,199,0,255,3,7,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),כתום,כתום,כתום,rgb,255,119,0,3,8,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),כחול,כחול,כחול,rgb,33,0,255,3,9,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),צהוב,צהוב,צהוב,rgb,255,219,0,3,10,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),סגול,סגול,סגול,rgb,155,0,255,3,11,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),תכלת,תכלת,תכלת,rgb,0,214,255,6,0,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),טורקיז,טורקיז,טורקיז,rgb,0,255,186,6,1,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),ירוק,ירוק,ירוק,rgb,0,255,115,6,2,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),צהוב,צהוב,צהוב,rgb,255,246,0,6,3,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),כחול,כחול,כחול,rgb,0,75,255,6,4,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),אדום,אדום,אדום,rgb,255,0,51,6,5,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),כתום,כתום,כתום,rgb,255,166,0,6,6,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),צהוב,צהוב,צהוב,rgb,227,255,0,6,7,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),כתום,כתום,כתום,rgb,255,77,0,6,8,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),תכלת,תכלת,תכלת,rgb,0,249,255,6,9,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),פוקסיה,פוקסיה,פוקסיה,rgb,255,0,141,6,10,line,white,en,,pilot,
3958,he,Hebrew (modern) (עברית),פוקסיה,פוקסיה,פוקסיה,rgb,255,0,151,6,11,line,white,en,,pilot,
4343,he,Hebrew (modern) (עברית),צהובחרדל,צהוב חרדל,צהוב חרדל,rgb,255,215,0,1,0,line,white,en,,pilot,
