participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
6054,kn,Kannada (ಕನ್ನಡ),liteblue,lite blue,Lite blue,rgb,0,255,197,1,0,line,white,en,,1.1.2,
6054,kn,Kannada (ಕನ್ನಡ),navy,navy,Navy,rgb,0,145,255,1,1,line,white,en,,1.1.2,
6054,kn,Kannada (ಕನ್ನಡ),greenblue,green blue,green blue,rgb,0,255,167,1,2,line,white,en,,1.1.2,
6054,kn,Kannada (ಕನ್ನಡ),pinklite,pink lite,pink lite,rgb,255,0,193,1,3,line,white,en,,1.1.2,
6054,kn,Kannada (ಕನ್ನಡ),safrron,safrron,safrron,rgb,255,43,0,1,4,line,white,en,,1.1.2,
6054,kn,Kannada (ಕನ್ನಡ),jambli,jambli,jambli,rgb,159,0,255,1,5,line,white,en,,1.1.2,
6054,kn,Kannada (ಕನ್ನಡ),darknavy,dark navy,Dark navy,rgb,0,116,255,1,6,line,white,en,,1.1.2,
6054,kn,Kannada (ಕನ್ನಡ),pinkdark,pink dark,pink Dark,rgb,255,0,222,1,7,line,white,en,,1.1.2,
6054,kn,Kannada (ಕನ್ನಡ),gilihasiru,gili hasiru,gili hasiru,rgb,0,255,85,1,8,line,white,en,,1.1.2,
6054,kn,Kannada (ಕನ್ನಡ),blue,blue,blue,rgb,0,255,244,1,9,line,white,en,,1.1.2,
6054,kn,Kannada (ಕನ್ನಡ),haladi,haladi,haladi,rgb,255,186,0,1,10,line,white,en,,1.1.2,
6054,kn,Kannada (ಕನ್ನಡ),pinkkempu,pink kempu,pink kempu,rgb,255,0,87,1,11,line,white,en,,1.1.2,
