participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",نیٖل,نیٖل,نیٖل,rgb,89,163,182,3,0,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",سبز,سبز,سبز,rgb,78,228,117,3,1,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",نیٖل,نیٖل,نیٖل,rgb,81,167,152,3,2,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",کرٛہن,کرٛہُن,کرٛہُن,rgb,67,67,75,3,3,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",نیٖل,نیٖل,نیٖل,rgb,85,98,182,3,4,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",سانگتر,سانگتَر,سانگتَر,rgb,233,167,79,3,5,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",نیٖل,نیٖل,نیٖل,rgb,40,35,192,3,6,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",سانگتر,سانگتَر,سانگتَر,rgb,226,188,39,3,7,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",کرٛہن,کرٛہُن,کرٛہُن,rgb,34,24,60,3,8,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",سبز,سبز,سبز,rgb,89,148,101,3,9,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",نیٖل,نیٖل,نیٖل,rgb,93,76,174,3,10,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",نیٖل,نیٖل,نیٖل,rgb,14,77,177,3,11,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",نیٖل,نیٖل,نیٖل,rgb,106,150,241,5,0,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",کور,کوٗر,کوٗر,rgb,121,97,83,5,1,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",کرٛہن,کرٛہُن,کرٛہُن,rgb,27,31,41,5,2,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",سبز,سبز,سبز,rgb,39,239,151,5,3,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",سبز,سبز,سبز,rgb,114,174,112,5,4,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",کرٛہن,کرٛہُن,کرٛہُن,rgb,21,12,72,5,5,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",کور,کوٗر,کوٗر,rgb,135,62,41,5,6,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",سانگتر,سانگتَر,سانگتَر,rgb,230,218,128,5,9,full,white,en,en,2.1.2,
8a26b243-ed09-45e6-b095-c17a8668c451,ks,"Kashmiri (कश्मीरी, كشميري‎)",سانگتر,سانگتَر,سانگتَر,rgb,185,156,123,5,11,full,white,en,en,2.1.2,
