participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
5622,lt,Lithuanian (lietuvių kalba),melsva,melsva,Melsva,rgb,0,179,255,1,0,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),geltona,geltona,Geltona,rgb,115,255,0,1,1,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),oranzine,oranžinė,Oranžinė,rgb,255,185,0,1,2,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),melyna,mėlyna,Mėlyna,rgb,0,98,255,1,3,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),oranzine,oranžinė,Oranžinė,rgb,255,141,0,1,4,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),oranzine,oranžinė,Oranžinė,rgb,255,162,0,1,5,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),raudona,raudona,Raudona,rgb,255,18,0,1,6,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),rozine,rožinė,Rožinė,rgb,255,0,254,1,7,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),zydra,žydra,Žydra,rgb,0,223,255,1,8,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),vysnine,vyšninė,Vyšninė,rgb,255,0,161,1,9,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),zalsva,žalsva,Žalsva,rgb,0,255,230,1,10,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),melyna,mėlyna,Mėlyna,rgb,0,40,255,1,11,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),zydra,žydra,Žydra,rgb,0,187,255,3,0,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),raudona,raudona,Raudona,rgb,255,0,19,3,1,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),vysnine,vyšninė,Vyšninė,rgb,255,0,106,3,2,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),salotine,salotinė,Salotinė,rgb,0,255,89,3,3,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),melyna,mėlyna,Mėlyna,rgb,0,33,255,3,4,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),melsva,melsva,Melsva,rgb,0,116,255,3,5,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),oranzine,oranžinė,Oranžinė,rgb,255,110,0,3,6,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),zalsva,žalsva,Žalsva,rgb,0,255,147,3,7,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),zalsva,žalsva,Žalsva,rgb,0,255,193,3,8,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),zalsva,žalsva,Žalsva,rgb,0,255,157,3,9,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),rozine,rožinė,Rožinė,rgb,255,0,131,3,10,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),salotine,salotinė,Salotinė,rgb,214,255,0,3,11,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),rozine,rožinė,Rožinė,rgb,255,0,195,6,0,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),raudona,raudona,Raudona,rgb,255,0,79,6,1,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),melyna,mėlyna,Mėlyna,rgb,134,0,255,6,2,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),rozine,rožinė,Rožinė,rgb,255,0,223,6,3,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),zalsva,žalsva,Žalsva,rgb,0,255,255,6,4,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),geltona,geltona,Geltona,rgb,255,246,0,6,5,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),zalia,žalia,Žalia,rgb,24,255,0,6,6,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),violetine,violetinė,Violetinė,rgb,214,0,255,6,7,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),melyna,mėlyna,Mėlyna,rgb,0,66,255,6,8,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),salotine,salotinė,Salotinė,rgb,146,255,0,6,9,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),oranzine,oranžinė,Oranžinė,rgb,255,238,0,6,10,line,white,en,1.1.2,
5622,lt,Lithuanian (lietuvių kalba),melyna,mėlyna,Mėlyna,rgb,0,158,255,6,11,line,white,en,1.1.2,
6455,lt,Lithuanian (lietuvių kalba),melyna,mėlyna,Mėlyna,rgb,0,89,255,1,0,line,white,en,1.1.2,
6455,lt,Lithuanian (lietuvių kalba),dangauszydrumo,dangaus žydrumo,Dangaus žydrumo,rgb,0,176,255,1,1,line,white,en,1.1.2,
6455,lt,Lithuanian (lietuvių kalba),rozine,rožinė,rožinė,rgb,255,0,90,1,2,line,white,en,1.1.2,
6455,lt,Lithuanian (lietuvių kalba),purpurine,purpurinė,purpurinė,rgb,254,0,255,1,3,line,white,en,1.1.2,
6455,lt,Lithuanian (lietuvių kalba),smaragdo,smaragdo,smaragdo,rgb,0,130,255,1,4,line,white,en,1.1.2,
6455,lt,Lithuanian (lietuvių kalba),oranzine,oranžinė,oranžinė,rgb,255,101,0,1,5,line,white,en,1.1.2,
6455,lt,Lithuanian (lietuvių kalba),turkio,turkio,turkio,rgb,0,156,255,1,6,line,white,en,1.1.2,
6455,lt,Lithuanian (lietuvių kalba),ryskiaizydra,ryškiai žydra,ryškiai žydra,rgb,0,205,255,1,7,line,white,en,1.1.2,
6455,lt,Lithuanian (lietuvių kalba),saulesgeltonumo,saules geltonumo,saules geltonumo,rgb,255,238,0,1,8,line,white,en,1.1.2,
