participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
6533,lv,Latvian (latviešu valoda),laims,laims,Laims,rgb,120,255,0,1,2,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),dzeltens,dzeltens,Dzeltens,rgb,255,253,0,3,0,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),kosizils,koši zils,koši zils,rgb,0,206,255,3,1,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),violetroza,violet rozā,Violet rozā,rgb,255,0,255,3,2,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),tumsizils,tumši zils,Tumši zils,rgb,0,82,255,3,3,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),spilgtizals,spilgti zaļš,Spilgti zaļš,rgb,0,255,37,3,4,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),debesszils,debess zils,debess zils,rgb,0,186,255,3,5,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),sarkans,sarkans,Sarkans,rgb,255,44,0,3,6,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),lapuzals,lapu zaļš,lapu zaļš,rgb,174,255,0,3,7,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),zalganzils,zaļganzils,Zaļganzils,rgb,0,255,146,3,8,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),tumsizils,tumši zils,Tumši zils,rgb,0,64,255,3,9,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),zilgans,zilgans,Zilgans,rgb,0,136,255,3,10,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),kosizils,koši zils,Koši zils,rgb,0,232,255,3,11,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),roziviolets,rozi violets,Rozi Violets,rgb,192,0,255,6,0,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),gaisizils,gaiši zils,Gaiši zils,rgb,0,255,251,6,1,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),zils,zils,Zils,rgb,0,34,255,6,2,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),roza,roza,Roza,rgb,255,0,148,6,3,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),violetiroza,violeti rozā,Violeti Rozā,rgb,255,0,221,6,4,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),zalganizils,zaļgani zils,Zaļgani zils,rgb,0,255,191,6,5,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),dzeltens,dzeltens,Dzeltens,rgb,193,255,0,6,6,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),zils,zils,Zils,rgb,0,94,255,6,7,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),zalganizils,zaļgani zils,Zaļgani zils,rgb,0,255,187,6,8,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),violets,violets,Violets,rgb,139,0,255,6,9,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),sarkans,sarkans,Sarkans,rgb,255,0,42,6,10,line,white,en,,1.1.2,
6533,lv,Latvian (latviešu valoda),tumsakidzeltens,tumšāki dzeltens,Tumšāki dzeltens,rgb,255,185,0,6,11,line,white,en,,1.1.2,
0,lv,Latvian (latviešu valoda),oranzs,oranžs,oranžs,rgb,255,112,0,1,0,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),zals,zaļš,zaļš,rgb,0,255,109,1,1,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),sarkans,sarkans,sarkans,rgb,255,0,95,1,2,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),zils,zils,zils,rgb,0,99,255,1,3,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),zils,zils,zils,rgb,0,133,255,1,4,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),gaisizals,gaiši zaļš,gaiši zaļš,rgb,117,255,0,1,5,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),sarkans,sarkans,sarkans,rgb,255,0,129,1,6,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),violets,violets,violets,rgb,159,0,255,1,7,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),oranzs,oranžs,oranžs,rgb,255,157,0,1,8,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),dzeltens,dzeltens,dzeltens,rgb,255,248,0,1,9,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),zils,zils,zils,rgb,0,140,255,1,10,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),gaisizals,gaiši zaļš,gaiši zaļš,rgb,182,255,0,1,11,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),gaisizals,gaiši zaļš,gaiši zaļš,rgb,197,255,0,3,0,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),sarkans,sarkans,sarkans,rgb,255,0,68,3,1,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),gaisizals,gaiši zaļš,gaiši zaļš,rgb,0,255,44,3,2,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),gaisizals,gaiši zaļš,gaiši zaļš,rgb,0,255,139,3,3,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),gaisizals,gaiši zaļš,gaiši zaļš,rgb,0,255,213,3,4,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),violets,violets,violets,rgb,255,0,228,3,5,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),oranzs,oranžs,oranžs,rgb,255,210,0,3,6,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),sarkans,sarkans,sarkans,rgb,255,0,25,3,7,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),gaisizils,gaiši zils,gaiši zils,rgb,0,220,255,3,8,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),sarkans,sarkans,sarkans,rgb,255,0,158,3,9,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),violets,violets,violets,rgb,255,0,255,3,10,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),gaisizals,gaiši zaļš,gaiši zaļš,rgb,0,255,190,3,11,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),gaisizils,gaiši zils,gaiši zils,rgb,0,255,231,6,0,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),sarkans,sarkans,sarkans,rgb,255,30,0,6,1,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),violets,violets,violets,rgb,198,0,255,6,2,line,white,en,,1.1.5,
0,lv,Latvian (latviešu valoda),gaisizils,gaiši zils,gaiši zils,rgb,0,196,255,6,3,line,white,en,,1.1.5,
