participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
4607,ml,Malayalam (മലയാളം),neela,neela,neela,rgb,0,136,255,1,0,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),violet,violet,violet,rgb,191,0,255,1,1,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),akashaneelam,akashaneelam,akashaneelam,rgb,0,229,255,1,2,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),rosa,rosa,rosa,rgb,255,0,149,1,3,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),pachha,pachha,pachha,rgb,67,255,0,1,4,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),kadumneela,kadumneela,kadumneela,rgb,158,0,255,1,5,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),ilamneela,ilamneela,ilamneela,rgb,0,255,255,1,6,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),pinku,pinku,pinku,rgb,255,0,216,1,7,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),magentha,magentha,magentha,rgb,247,0,255,1,8,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),chuvappu,chuvappu,chuvappu,rgb,255,0,98,1,9,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),orange,orange,orange,rgb,255,127,0,1,10,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),kadumchuvappu,kadumchuvappu,kadumchuvappu,rgb,255,0,31,1,11,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),samudraneelam,samudraneelam,samudraneelam,rgb,0,255,192,3,0,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),ilampachha,ilampachha,ilampachha,rgb,0,255,133,3,1,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),neela,neela,neela,rgb,0,100,255,3,2,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),manja,manja,manja,rgb,255,214,0,3,3,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),neelam,neelam,neelam,rgb,69,0,255,3,4,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),ilamneela,ilamneela,ilamneela,rgb,0,161,255,3,5,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),orange,orange,orange,rgb,255,79,0,3,6,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),chuvappu,chuvappu,chuvappu,rgb,255,0,58,3,7,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),kandummanha,kandummanha,kandummanha,rgb,255,188,0,3,8,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),akashaneelam,akashaneelam,akashaneelam,rgb,0,241,255,3,9,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),ilammanja,ilammanja,ilammanja,rgb,248,255,0,3,10,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),kadumneela,kadumneela,kadumneela,rgb,0,44,255,3,11,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),akashaneelam,akashaneelam,akashaneelam,rgb,0,189,255,6,0,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),flourescentmanja,flourescent manja,flourescent manja,rgb,211,255,0,6,1,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),flourescentpachha,flourescent pachha,flourescent pachha,rgb,142,255,0,6,2,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),neela,neela,neela,rgb,0,126,255,6,3,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),kadummanja,kadummanja,kadummanja,rgb,255,154,0,6,4,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),pinku,pinku,pinku,rgb,255,0,123,6,5,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),pachha,pachha,pachha,rgb,0,255,119,6,6,line,white,en,1.1.2,
4607,ml,Malayalam (മലയാളം),ilampachha,ilampachha,ilampachha,rgb,0,255,25,6,7,line,white,en,1.1.2,
