participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
0,na,Nauruan (Dorerin Naoero),蓝色,蓝色,蓝色,rgb,0,44,255,1,0,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),黄色,黄色,黄色,rgb,239,255,0,1,1,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),粉色,粉色,粉色,rgb,255,0,117,1,2,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),紫色,紫色,紫色,rgb,217,0,255,1,3,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),蓝色,蓝色,蓝色,rgb,0,165,255,1,4,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),绿色,绿色,绿色,rgb,0,255,177,1,5,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),蓝色,蓝色,蓝色,rgb,0,91,255,1,6,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),黄色,黄色,黄色,rgb,255,233,0,1,7,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),橙色,橙色,橙色,rgb,255,189,0,1,8,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),红色,红色,红色,rgb,255,43,0,1,9,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),绿色,绿色,绿色,rgb,60,255,0,1,10,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),绿色,绿色,绿色,rgb,0,255,88,1,11,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),蓝色,蓝色,蓝色,rgb,0,243,255,3,0,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),紫色,紫色,紫色,rgb,243,0,255,3,1,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),蓝色,蓝色,蓝色,rgb,0,128,255,3,2,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),粉色,粉色,粉色,rgb,255,0,194,3,3,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),天蓝,天蓝,天蓝,rgb,0,255,228,3,4,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),蓝色,蓝色,蓝色,rgb,0,148,255,3,5,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),橙色,橙色,橙色,rgb,255,147,0,3,6,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),红色,红色,红色,rgb,255,0,60,3,7,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),粉红,粉红,粉红,rgb,255,0,86,3,8,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),绿色,绿色,绿色,rgb,0,255,39,3,9,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),绿色,绿色,绿色,rgb,0,255,191,3,10,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),橙色,橙色,橙色,rgb,255,181,0,3,11,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),蓝色,蓝色,蓝色,rgb,0,198,255,6,0,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),蓝色,蓝色,蓝色,rgb,0,32,255,6,1,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),蓝色,蓝色,蓝色,rgb,0,220,255,6,2,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),红色,红色,红色,rgb,255,0,30,6,3,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),蓝色,蓝色,蓝色,rgb,0,71,255,6,4,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),粉色,粉色,粉色,rgb,255,0,145,6,5,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),绿色,绿色,绿色,rgb,0,255,145,6,6,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),橙色,橙色,橙色,rgb,255,93,0,6,7,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),紫色,紫色,紫色,rgb,113,0,255,6,8,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),粉色,粉色,粉色,rgb,255,0,229,6,9,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),绿色,绿色,绿色,rgb,154,255,0,6,10,line,white,zh,1.1.5,
0,na,Nauruan (Dorerin Naoero),黄色,黄色,黄色,rgb,225,255,0,6,11,line,white,zh,1.1.5,
