participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
3582,nb,Norwegian Bokmål (Norsk bokmål),turkis,turkis,turkis,rgb,0,251,255,1,0,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),bla,blå,blå,rgb,0,70,255,1,1,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),oransje,oransje,oransje,rgb,255,91,0,1,2,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),turkis,turkis,turkis,rgb,0,255,195,1,3,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),fiolett,fiolett,fiolett,rgb,168,0,255,1,4,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),rød,rød,rød,rgb,255,0,81,1,5,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),gul,gul,gul,rgb,255,210,0,1,6,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),rød,rød,rød,rgb,255,0,71,1,7,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),rosa,rosa,rosa,rgb,255,0,173,1,8,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),mørkebla,mørkeblå,mørkeblå,rgb,0,34,255,1,9,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),rosa,rosa,rosa,rgb,255,0,250,1,10,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),grønn,grønn,grønn,rgb,0,255,57,1,11,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),gull,gull,gull,rgb,255,180,0,3,0,line,white,en,,pilot,
3582,nb,Norwegian Bokmål (Norsk bokmål),bla,blå,blå,rgb,0,22,255,3,1,line,white,en,,pilot,
