participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
0c0a4bdf-a6d7-4ec1-ae6e-52413c7a575c,,Odia,sabuja,sabuja,Sabuja,rgb,0,255,39,1,0,line,white,en,en,2.1.2,
0c0a4bdf-a6d7-4ec1-ae6e-52413c7a575c,,Odia,neela,neela,Neela,rgb,0,1,255,1,1,line,white,en,en,2.1.2,
0c0a4bdf-a6d7-4ec1-ae6e-52413c7a575c,,Odia,baigani,baigani,Baigani,rgb,146,0,255,1,2,line,white,en,en,2.1.2,
0c0a4bdf-a6d7-4ec1-ae6e-52413c7a575c,,Odia,golapi,golapi,Golapi,rgb,255,0,164,1,3,line,white,en,en,2.1.2,
0c0a4bdf-a6d7-4ec1-ae6e-52413c7a575c,,Odia,haladia,haladia,Haladia,rgb,235,255,0,1,4,line,white,en,en,2.1.2,
0c0a4bdf-a6d7-4ec1-ae6e-52413c7a575c,,Odia,lal,lal,Lal,rgb,255,41,0,1,5,line,white,en,en,2.1.2,
0c0a4bdf-a6d7-4ec1-ae6e-52413c7a575c,,Odia,neela,neela,Neela,rgb,0,105,255,1,6,line,white,en,en,2.1.2,
0c0a4bdf-a6d7-4ec1-ae6e-52413c7a575c,,Odia,narangi,narangi,Narangi,rgb,255,124,0,1,7,line,white,en,en,2.1.2,
0c0a4bdf-a6d7-4ec1-ae6e-52413c7a575c,,Odia,piajia,piajia,Piajia,rgb,255,0,196,1,8,line,white,en,en,2.1.2,
0c0a4bdf-a6d7-4ec1-ae6e-52413c7a575c,,Odia,ghananeela,ghana neela,Ghana neela,rgb,0,131,255,1,9,line,white,en,en,2.1.2,
0c0a4bdf-a6d7-4ec1-ae6e-52413c7a575c,,Odia,saabuja,saabuja,Saabuja,rgb,135,255,0,1,10,line,white,en,en,2.1.2,
0c0a4bdf-a6d7-4ec1-ae6e-52413c7a575c,,Odia,haladia,haladia,Haladia,rgb,240,255,0,1,11,line,white,en,en,2.1.2,
