participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਲਾਲ,lal,LAL,rgb,255,65,0,1,0,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",sungtari,sungtari,SUNGTARI,rgb,255,152,0,1,1,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਹਰਾ,hara,HARA,rgb,135,255,0,1,2,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਜਾਮਣੀ,jamnee,JAMNEE,rgb,255,0,185,1,3,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਨੀਲਾ,neela,NEELA,rgb,0,66,255,1,4,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਲਾਲ,lal,LAL,rgb,255,0,59,1,5,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",peela,peela,PEELA,rgb,217,255,0,1,6,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਗੁਲਾਬੀ,gulabi,GULABI,rgb,255,0,221,1,7,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਲਾਲ,lal,LAL,rgb,255,0,81,1,8,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਗੁਲਾਬੀ,gulabi,GULABI,rgb,255,0,148,1,9,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਜਾਮਣੀ,jamani,JAMANI,rgb,0,255,177,1,10,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",narangi,narangi,NARANGI,rgb,255,240,0,1,11,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਹਰਾ,hara,HARA,rgb,52,255,0,3,0,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਗੁਲਾਬੀ,gulabi,GULABI,rgb,244,0,255,3,1,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਨੀਲਾ,neeala,NEEALA,rgb,0,255,255,3,2,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਜਾਮਣੀ,jamnee,JAMNEE,rgb,186,0,255,3,3,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਨੀਲਾ,neela,NEELA,rgb,0,160,255,3,4,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਨੀਲਾ,neela,NEELA,rgb,0,140,255,3,5,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਨੀਲਾ,neela,NEELA,rgb,102,0,255,3,6,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",sungtari,sungtari,SUNGTARI,rgb,255,202,0,3,7,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਨੀਲਾ,neela,NEELA,rgb,0,20,255,3,8,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਹਰਾ,hara,HARA,rgb,0,255,76,3,9,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਲਾਲ,lal,LAL,rgb,255,0,115,3,10,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਹਰਾ,hara,HARA,rgb,0,255,77,3,11,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਨੀਲਾ,neela,NEELA,rgb,0,198,255,6,0,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",peela,peela,PEELA,rgb,240,255,0,6,1,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",sungtari,sungtari,SUNGTARI,rgb,255,117,0,6,2,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਜਾਮਣੀ,jamnee,JAMNEE,rgb,0,255,220,6,3,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਜਾਮਣੀ,jamnee,JAMNEE,rgb,0,255,250,6,4,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",sungtari,sungtari,SUNGTARI,rgb,255,128,0,6,5,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਲਾਲ,lal,LAL,rgb,255,0,4,6,6,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਨੀਲਾ,neela,NEELA,rgb,0,91,255,6,7,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਨੀਲਾ,neela,NEELA,rgb,0,67,255,6,8,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਨੀਲਾ,neela,NEELA,rgb,0,118,255,6,9,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਨੀਲਾ,neela,NEELA,rgb,0,227,255,6,10,line,white,en,,1.1.2,
7527,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਹਰਾ,hara,HARA,rgb,0,255,120,6,11,line,white,en,,1.1.2,
30326a03-b2e5-437e-85ca-c5628eb653b9,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਪੀਲਾ,ਪੀਲਾ,ਪੀਲਾ,p3,0.95139,0.929257,0.313963,1,0,full,white,en,en,2.1.2,
30326a03-b2e5-437e-85ca-c5628eb653b9,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਮੋਰਰੰਗੀ,ਮੋਰ ਰੰਗੀ,ਮੋਰ-ਰੰਗੀ,p3,0.34628,0.769009,0.500799,1,1,full,white,en,en,2.1.2,
30326a03-b2e5-437e-85ca-c5628eb653b9,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਕਰੀਮ,ਕਰੀਮ,ਕਰੀਮ,p3,0.928798,0.889839,0.667068,1,2,full,white,en,en,2.1.2,
30326a03-b2e5-437e-85ca-c5628eb653b9,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਗੂੜਹਾਲਾਲ,ਗੂੜ੍ਹਾ ਲਾਲ,ਗੂੜ੍ਹਾ ਲਾਲ,p3,0.433203,0.119331,0.074932,1,3,full,white,en,en,2.1.2,
30326a03-b2e5-437e-85ca-c5628eb653b9,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਭੂਰਾ,ਭੂਰਾ,ਭੂਰਾ,p3,0.209112,0.169825,0.160537,1,4,full,white,en,en,2.1.2,
30326a03-b2e5-437e-85ca-c5628eb653b9,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਤੇਲਭਿੱਜਿਆ,ਤੇਲ ਭਿੱਜਿਆ,ਤੇਲ ਭਿੱਜਿਆ,p3,0.735435,0.66098,0.355037,1,5,full,white,en,en,2.1.2,
30326a03-b2e5-437e-85ca-c5628eb653b9,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਜਾਮਣੀ,ਜਾਮਣੀ,ਜਾਮਣੀ,p3,0.360256,0.135572,0.568749,1,6,full,white,en,en,2.1.2,
30326a03-b2e5-437e-85ca-c5628eb653b9,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਗੂੜਹਾਸੰਤਰੀ,ਗੂੜ੍ਹਾ ਸੰਤਰੀ,ਗੂੜ੍ਹਾ ਸੰਤਰੀ,p3,0.633439,0.404357,0.058113,1,7,full,white,en,en,2.1.2,
30326a03-b2e5-437e-85ca-c5628eb653b9,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਮਜੈਂਟਾ,ਮਜੈਂਟਾ,ਮਜੈਂਟਾ,p3,0.589108,0.188046,0.715365,1,8,full,white,en,en,2.1.2,
30326a03-b2e5-437e-85ca-c5628eb653b9,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਤੋਤੇਰੰਗਾ,ਤੋਤੇ ਰੰਗਾ,ਤੋਤੇ ਰੰਗਾ,p3,0.515537,0.876667,0.382639,1,9,full,white,en,en,2.1.2,
30326a03-b2e5-437e-85ca-c5628eb653b9,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਹਰਾ,ਹਰਾ,ਹਰਾ,p3,0.25784,0.635828,0.120657,1,10,full,white,en,en,2.1.2,
30326a03-b2e5-437e-85ca-c5628eb653b9,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਗਾਜਰੀ,ਗਾਜਰੀ,ਗਾਜਰੀ,p3,0.654586,0.484297,0.434406,1,11,full,white,en,en,2.1.2,
53fc49a7-f52e-4dea-83a7-a02a51c1de91,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਕਾਲਾ,kala,Kala,p3,0.0124647,0.161009,0.219061,1,0,full,white,en,en,2.1.2,
53fc49a7-f52e-4dea-83a7-a02a51c1de91,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਹਰਾ,hara,Hara,p3,0.658024,0.95296,0.820053,1,1,full,white,en,en,2.1.2,
53fc49a7-f52e-4dea-83a7-a02a51c1de91,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਲਾਲ,laal,laal,p3,0.811152,0.154224,0.266637,1,2,full,white,en,en,2.1.2,
53fc49a7-f52e-4dea-83a7-a02a51c1de91,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਨੀਲਾ,neela,neela,p3,0.183196,0.306213,0.489932,1,3,full,white,en,en,2.1.2,
53fc49a7-f52e-4dea-83a7-a02a51c1de91,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਹਰਾ,hara,hara,p3,0.452529,0.943673,0.424117,1,5,full,white,en,en,2.1.2,
53fc49a7-f52e-4dea-83a7-a02a51c1de91,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਬੈਂਗਣੀ,baingani,baingani,p3,0.691365,0.559831,0.811636,1,7,full,white,en,en,2.1.2,
53fc49a7-f52e-4dea-83a7-a02a51c1de91,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ghudaਹਰਾ,ghuda hara,ghuda hara,p3,0.240954,0.518937,0.0284814,1,8,full,white,en,en,2.1.2,
53fc49a7-f52e-4dea-83a7-a02a51c1de91,pa,"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",ਗੁਲਾਬੀ,gulabi,gulabi,p3,0.976533,0.241152,0.935372,1,9,full,white,en,en,2.1.2,
