participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
3604,pl,"Polish (język polski, polszczyzna)",trawiastazielen,trawiasta zieleń,Trawiasta zieleń,rgb,157,255,0,1,0,line,white,en,pilot,
3604,pl,"Polish (język polski, polszczyzna)",fiolet,fiolet,Fiolet,rgb,110,0,255,1,1,line,white,en,pilot,
3604,pl,"Polish (język polski, polszczyzna)",jaskrawazielen,jaskrawa zieleń,Jaskrawa zieleń,rgb,128,255,0,1,2,line,white,en,pilot,
3604,pl,"Polish (język polski, polszczyzna)",pomaranczowy,pomarańczowy,Pomarańczowy,rgb,255,149,0,1,3,line,white,en,pilot,
3604,pl,"Polish (język polski, polszczyzna)",zimnyroz,zimny róż,Zimny róż,rgb,231,0,255,1,4,line,white,en,pilot,
3604,pl,"Polish (język polski, polszczyzna)",błekit,błękit,Błękit,rgb,0,194,255,1,5,line,white,en,pilot,
3604,pl,"Polish (język polski, polszczyzna)",niebieski,niebieski,Niebieski,rgb,0,109,255,1,6,line,white,en,pilot,
3604,pl,"Polish (język polski, polszczyzna)",zołc,żółć,Żółć,rgb,232,255,0,1,7,line,white,en,pilot,
3604,pl,"Polish (język polski, polszczyzna)",ciemmoniebieski,ciemmoniebieski,Ciemmoniebieski,rgb,31,0,255,1,8,line,white,en,pilot,
3604,pl,"Polish (język polski, polszczyzna)",roz,róż,Róż,rgb,255,0,159,1,9,line,white,en,pilot,
3604,pl,"Polish (język polski, polszczyzna)",jaskrawaczerwien,jaskrawa czerwień,Jaskrawa czerwień,rgb,255,0,81,1,10,line,white,en,pilot,
3604,pl,"Polish (język polski, polszczyzna)",fuksja,fuksja,Fuksja,rgb,255,0,236,1,11,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",czerwony,czerwony,czerwony,rgb,255,0,64,1,0,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",zielony,zielony,zielony,rgb,0,255,107,1,1,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",rozowy,różowy,różowy,rgb,255,0,92,1,2,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",rozowy,różowy,różowy,rgb,255,0,156,1,3,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",pomaranczowy,pomarańczowy,pomarańczowy,rgb,255,141,0,1,4,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",turkusowy,turkusowy,turkusowy,rgb,0,255,182,1,5,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",fioletowy,fioletowy,fioletowy,rgb,255,0,221,1,6,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",błekitny,błękitny,błękitny,rgb,0,255,253,1,7,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",zołty,żółty,żółty,rgb,255,186,0,1,8,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",zołty,żółty,żółty,rgb,255,246,0,1,9,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",fioletowy,fioletowy,fioletowy,rgb,127,0,255,1,10,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",pomaranczowy,pomarańczowy,pomarańczowy,rgb,255,77,0,1,11,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",granatowy,granatowy,granatowy,rgb,81,0,255,3,0,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",fioletowy,fioletowy,fioletowy,rgb,208,0,255,3,1,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",zołty,żółty,żółty,rgb,255,215,0,3,2,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",jasnoniebieski,jasnoniebieski,jasnoniebieski,rgb,0,139,255,3,3,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",błekitny,błękitny,błękitny,rgb,0,242,255,3,4,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",błekitny,błękitny,błękitny,rgb,0,225,255,3,5,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",turkusowy,turkusowy,turkusowy,rgb,0,255,214,3,6,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",ciemnoniebieski,ciemnoniebieski,ciemnoniebieski,rgb,0,113,255,3,7,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",czerwony,czerwony,czerwony,rgb,255,0,18,3,8,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",miodowy,miodowy,miodowy,rgb,255,153,0,3,9,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",seledynowy,seledynowy,seledynowy,rgb,115,255,0,3,10,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",rozowy,różowy,różowy,rgb,255,0,190,3,11,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",pomaranczowy,pomarańczowy,pomarańczowy,rgb,255,110,0,6,0,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",granatowy,granatowy,granatowy,rgb,0,70,255,6,1,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",granatowy,granatowy,granatowy,rgb,0,59,255,6,2,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",seledynowy,seledynowy,seledynowy,rgb,188,255,0,6,3,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",rozowy,różowy,różowy,rgb,255,0,250,6,4,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",błekitny,błękitny,błękitny,rgb,0,204,255,6,5,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",rozowy,różowy,różowy,rgb,255,0,135,6,6,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",turkusowy,turkusowy,turkusowy,rgb,0,255,144,6,7,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",jasnoniebieski,jasnoniebieski,jasnoniebieski,rgb,0,177,255,6,8,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",zielony,zielony,zielony,rgb,0,255,38,6,9,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",niebieski,niebieski,niebieski,rgb,0,115,255,6,10,line,white,en,pilot,
3607,pl,"Polish (język polski, polszczyzna)",jasnozielony,jasnozielony,jasnozielony,rgb,149,255,0,6,11,line,white,en,pilot,
3647,pl,"Polish (język polski, polszczyzna)",turkusowy,turkusowy,turkusowy,rgb,0,239,255,1,0,line,white,en,pilot,
3647,pl,"Polish (język polski, polszczyzna)",błekitny,błękitny,błękitny,rgb,0,172,255,1,1,line,white,en,pilot,
3647,pl,"Polish (język polski, polszczyzna)",jasnoniebieski,jasnoniebieski,jasnoniebieski,rgb,0,220,255,1,2,line,white,en,pilot,
3647,pl,"Polish (język polski, polszczyzna)",niebieski,niebieski,niebieski,rgb,0,132,255,1,3,line,white,en,pilot,
3647,pl,"Polish (język polski, polszczyzna)",granatowy,granatowy,granatowy,rgb,71,0,255,1,4,line,white,en,pilot,
3647,pl,"Polish (język polski, polszczyzna)",czerwony,czerwony,czerwony,rgb,255,67,0,1,5,line,white,en,pilot,
3647,pl,"Polish (język polski, polszczyzna)",ciemnoniebieski,ciemnoniebieski,ciemnoniebieski,rgb,0,53,255,1,6,line,white,en,pilot,
3647,pl,"Polish (język polski, polszczyzna)",purpurowy,purpurowy,purpurowy,rgb,255,0,219,1,7,line,white,en,pilot,
3647,pl,"Polish (język polski, polszczyzna)",karminalizarynowy,karmin alizarynowy,karmin alizarynowy,rgb,255,0,149,1,8,line,white,en,pilot,
3647,pl,"Polish (język polski, polszczyzna)",morski,morski,morski,rgb,0,189,255,1,9,line,white,en,pilot,
3647,pl,"Polish (język polski, polszczyzna)",limonkowy,limonkowy,limonkowy,rgb,0,255,90,1,10,line,white,en,pilot,
3647,pl,"Polish (język polski, polszczyzna)",zołtozielony,żółto zielony,żółto-zielony,rgb,147,255,0,1,11,line,white,en,pilot,
