participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
0,ps,"Pashto, Pushto (پښتو)",surkh,surkh,Surkh,rgb,255,0,54,1,0,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",jar,jar,Jar,rgb,255,252,0,1,1,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",zarghun,zarghun,Zarghun,rgb,90,255,0,1,2,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",maltae,maltae,Maltae,rgb,255,85,0,1,3,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",sherchae,sherchae,Sherchae,rgb,255,0,160,1,4,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",asmani,asmani,Asmani,rgb,0,119,255,1,7,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",tezasmani,tez asmani,Tez Asmani,rgb,0,85,255,3,4,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",surkh,surkh,Surkh,rgb,255,29,0,3,5,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",jar,jar,Jar,rgb,255,236,0,3,6,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",banjari,banjari,Banjari,rgb,150,0,255,3,9,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",maltae,maltae,Maltae,rgb,255,155,0,3,10,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",asmani,asmani,Asmani,rgb,0,192,255,3,11,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",jar,jar,Jar,rgb,255,194,0,6,0,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",sur,sur,Sur,rgb,255,0,32,6,2,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",asmani,asmani,Asmani,rgb,0,213,255,6,4,line,white,en,,1.1.5,
0,ps,"Pashto, Pushto (پښتو)",maltae,maltae,Maltae,rgb,255,151,0,6,7,line,white,en,,1.1.5,
bea20b29-ebc8-4faf-b6c4-104df422a61e,ps,"Pashto, Pushto (پښتو)",batigani,batigani,Batigani,rgb,63,30,73,1,0,full,white,en,en,2.1.2,
bea20b29-ebc8-4faf-b6c4-104df422a61e,ps,"Pashto, Pushto (پښتو)",sheen,sheen,Sheen,rgb,92,246,155,1,1,full,white,en,en,2.1.2,
bea20b29-ebc8-4faf-b6c4-104df422a61e,ps,"Pashto, Pushto (پښتو)",halkasheen,halka sheen,Halka sheen,rgb,184,246,160,1,2,full,white,en,en,2.1.2,
bea20b29-ebc8-4faf-b6c4-104df422a61e,ps,"Pashto, Pushto (پښتو)",gwalapi,gwalapi,Gwalapi,rgb,205,109,160,1,3,full,white,en,en,2.1.2,
bea20b29-ebc8-4faf-b6c4-104df422a61e,ps,"Pashto, Pushto (پښتو)",nakreza,nakreza,Nakreza,rgb,130,140,119,1,4,full,white,en,en,2.1.2,
bea20b29-ebc8-4faf-b6c4-104df422a61e,ps,"Pashto, Pushto (پښتو)",asmani,asmani,Asmani,rgb,115,199,235,1,5,full,white,en,en,2.1.2,
bea20b29-ebc8-4faf-b6c4-104df422a61e,ps,"Pashto, Pushto (پښتو)",sheen,sheen,Sheen,rgb,92,167,120,1,6,full,white,en,en,2.1.2,
bea20b29-ebc8-4faf-b6c4-104df422a61e,ps,"Pashto, Pushto (پښتو)",narangi,narangi,Narangi,rgb,238,114,37,1,7,full,white,en,en,2.1.2,
bea20b29-ebc8-4faf-b6c4-104df422a61e,ps,"Pashto, Pushto (پښتو)",halkakhar,halka khar,Halka khar,rgb,233,198,124,1,8,full,white,en,en,2.1.2,
