participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
3696,pt,Portuguese (português),rosa,rosa,Rosa,rgb,255,0,253,1,0,line,white,en,,pilot,
3696,pt,Portuguese (português),verdevivo,verde vivo,Verde vivo,rgb,0,255,18,1,1,line,white,en,,pilot,
3696,pt,Portuguese (português),laranjaclaro,laranja claro,Laranja claro,rgb,255,165,0,1,2,line,white,en,,pilot,
3696,pt,Portuguese (português),azulclaro,azul claro,Azul claro,rgb,0,150,255,1,3,line,white,en,,pilot,
3696,pt,Portuguese (português),salmao,salmão,Salmão,rgb,255,0,93,1,4,line,white,en,,pilot,
3696,pt,Portuguese (português),vermelho,vermelho,Vermelho,rgb,255,0,25,1,5,line,white,en,,pilot,
3696,pt,Portuguese (português),verdepiscina,verde piscina,Verde piscina,rgb,0,255,170,1,6,line,white,en,,pilot,
3696,pt,Portuguese (português),azulclaro,azul claro,Azul claro,rgb,0,159,255,1,7,line,white,en,,pilot,
3696,pt,Portuguese (português),rosaescuro,rosa escuro,Rosa escuro,rgb,255,0,245,1,8,line,white,en,,pilot,
3696,pt,Portuguese (português),verde,verde,Verde,rgb,129,255,0,1,9,line,white,en,,pilot,
3696,pt,Portuguese (português),laranja,laranja,Laranja,rgb,255,105,0,1,10,line,white,en,,pilot,
3696,pt,Portuguese (português),azulclaro,azul claro,Azul claro,rgb,0,119,255,3,0,line,white,en,,pilot,
3696,pt,Portuguese (português),laranja,laranja,Laranja,rgb,255,130,0,3,1,line,white,en,,pilot,
3696,pt,Portuguese (português),azulpiscina,azul piscina,Azul piscina,rgb,0,219,255,3,2,line,white,en,,pilot,
3696,pt,Portuguese (português),verdeamarelado,verde amarelado,Verde amarelado,rgb,214,255,0,3,3,line,white,en,,pilot,
3696,pt,Portuguese (português),verde,verde,Verde,rgb,0,255,92,3,4,line,white,en,,pilot,
3696,pt,Portuguese (português),azulagua,azul água,Azul água,rgb,0,255,245,3,5,line,white,en,,pilot,
3696,pt,Portuguese (português),verdeclaro,verde claro,Verde claro,rgb,170,255,0,3,6,line,white,en,,pilot,
3696,pt,Portuguese (português),azulclaro,azul claro,Azul claro,rgb,0,113,255,3,7,line,white,en,,pilot,
3696,pt,Portuguese (português),roxo,roxo,Roxo,rgb,177,0,255,3,8,line,white,en,,pilot,
3696,pt,Portuguese (português),laranjaclaro,laranja claro,Laranja claro,rgb,255,184,0,3,10,line,white,en,,pilot,
3696,pt,Portuguese (português),azulescuro,azul escuro,Azul escuro,rgb,104,0,255,3,11,line,white,en,,pilot,
3696,pt,Portuguese (português),azulescuro,azul escuro,Azul escuro,rgb,73,0,255,6,0,line,white,en,,pilot,
3696,pt,Portuguese (português),vermelho,vermelho,Vermelho,rgb,255,61,0,6,1,line,white,en,,pilot,
3696,pt,Portuguese (português),azulagua,azul água,Azul água,rgb,0,237,255,6,2,line,white,en,,pilot,
3696,pt,Portuguese (português),azul,azul,Azul,rgb,0,50,255,6,3,line,white,en,,pilot,
3696,pt,Portuguese (português),verdepiscina,verde piscina,Verde piscina,rgb,0,255,215,6,4,line,white,en,,pilot,
3696,pt,Portuguese (português),amareloclaro,amarelo claro,Amarelo claro,rgb,253,255,0,6,5,line,white,en,,pilot,
3696,pt,Portuguese (português),rosa,rosa,Rosa,rgb,255,0,204,6,6,line,white,en,,pilot,
3696,pt,Portuguese (português),azulclaro,azul claro,Azul claro,rgb,0,195,255,6,7,line,white,en,,pilot,
3696,pt,Portuguese (português),vermelho,vermelho,Vermelho,rgb,255,0,50,6,8,line,white,en,,pilot,
3696,pt,Portuguese (português),verdeclaro,verde claro,Verde claro,rgb,0,255,144,6,9,line,white,en,,pilot,
3696,pt,Portuguese (português),azulescuro,azul escuro,Azul escuro,rgb,0,89,255,6,10,line,white,en,,pilot,
3696,pt,Portuguese (português),amarelo,amarelo,Amarelo,rgb,255,241,0,6,11,line,white,en,,pilot,
3755,pt,Portuguese (português),rosa,rosa,Rosa,rgb,255,0,134,1,0,line,white,en,,pilot,
3755,pt,Portuguese (português),ciano,ciano,Ciano,rgb,0,250,255,1,1,line,white,en,,pilot,
3755,pt,Portuguese (português),violeta,violeta,Violeta,rgb,196,0,255,1,2,line,white,en,,pilot,
