participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
5957,sr,Serbian (српски језик),малотамнијажута,мало тамнија жута,Мало тамнија жута,rgb,255,209,0,3,0,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),плава,плава,Плава,rgb,0,162,255,3,1,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),жута,žuta,Žuta,rgb,255,218,0,3,2,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),тамнанаранџаста,тамна наранџаста,Тамна наранџаста,rgb,255,147,0,3,3,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),малосветиласветлоплава,мало светила светло плава,Мало светила светло плава,rgb,0,222,255,3,4,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),тамноцрвена,тамно црвена,Тамно Црвена,rgb,255,0,1,3,5,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),црвена,црвена,Црвена,rgb,255,56,0,3,6,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),светлоплава,светло плава,Светло Плава,rgb,0,243,255,3,7,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),љубичаста,љубичаста,Љубичаста,rgb,110,0,255,3,8,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),розе,розе,Розе,rgb,255,0,214,3,9,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),зелена,зелена,Зелена,rgb,0,255,86,3,10,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),малоблеђажута,мало блеђа жута,Мало блеђа жута,rgb,255,244,0,3,11,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),црвена,црвена,Црвена,rgb,255,103,0,6,0,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),плава,плава,Плава,rgb,0,255,210,6,1,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),розе,розе,Розе,rgb,255,0,183,6,2,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),црвена,црвена,Црвена,rgb,255,0,79,6,3,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),зеленоплава,зелено плава,Зелено-плава,rgb,0,255,156,6,4,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),розе,розе,Розе,rgb,242,0,255,6,5,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),црвенорозе,црвено розе,Црвено-розе,rgb,255,0,100,6,6,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),тамноплава,тамно плава,Тамно плава,rgb,0,36,255,6,7,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),розецрвена,розе црвена,Розе-црвена,rgb,255,0,112,6,8,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),зелена,зелена,Зелена,rgb,0,255,51,6,9,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),зеленоплаванумеродуо,зелено плава нумеро дуо,Зелено-плава нумеро дуо,rgb,0,255,162,6,10,line,white,en,,1.1.2,
5957,sr,Serbian (српски језик),флорјесцентна,флорјесцентна,Флорјесцентна,rgb,213,255,0,6,11,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),зелена,zelena,Zelena,rgb,152,255,0,1,0,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),љубичаста,ljubičasta,Ljubičasta,rgb,255,0,255,1,1,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),плава,plava,Plava,rgb,0,70,255,1,2,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),љубичаста,ljubičasta,Ljubičasta,rgb,255,0,226,1,3,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),розе,roza,Roza,rgb,255,0,118,1,4,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),тиркизна,tirkizna,Tirkizna,rgb,0,255,197,1,5,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),наранџаста,narandžasta,Narandžasta,rgb,255,164,0,1,6,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),жута,žuta,Žuta,rgb,255,217,0,1,7,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),зелена,zelena,Zelena,rgb,0,255,53,1,8,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),љубичаста,ljubičasta,Ljubičasta,rgb,255,0,169,1,9,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),жута,žuta,Žuta,rgb,255,243,0,1,10,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),наранџаста,narandžasta,Narandžasta,rgb,255,77,0,1,11,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),тиркизна,tirkizna,Tirkizna,rgb,0,255,173,3,0,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),светлоплава,svetlo plava,Svetlo plava,rgb,0,224,255,3,1,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),светлоплава,svetlo plava,Svetlo plava,rgb,0,205,255,3,2,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),црвена,crvena,Crvena,rgb,255,0,58,3,3,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),тиркизна,tirkizna,Tirkizna,rgb,0,242,255,3,4,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),наранџаста,narandžasta,Narandžasta,rgb,255,136,0,3,5,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),љубичаста,ljubičasta,Ljubičasta,rgb,207,0,255,3,6,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),плава,plava,Plava,rgb,0,42,255,3,7,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),zutoзелена,žuto zelena,Žuto zelena,rgb,219,255,0,3,8,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),наранџаста,narandžasta,Narandžasta,rgb,255,116,0,3,9,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),црвена,crvena,Crvena,rgb,255,0,39,3,10,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),плава,plava,Plava,rgb,0,31,255,3,11,line,white,en,,1.1.2,
6409,sr,Serbian (српски језик),bordo,bordo,Bordo,rgb,255,0,93,6,0,line,white,en,,1.1.2,
