participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
0,ta,Tamil (தமிழ்),aagayaneelam,aagaya neelam,AAGAYA NEELAM,rgb,0,255,228,1,0,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),neelam,neelam,NEELAM,rgb,0,56,255,1,1,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),manjal,manjal,MANJAL,rgb,232,255,0,1,2,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),sigappu,sigappu,SIGAPPU,rgb,255,0,20,1,3,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),velirneelam,velir neelam,velir neelam,rgb,0,171,255,1,4,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),ilansivappu,ilansivappu,ilansivappu,rgb,255,0,188,1,5,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),ootha,ootha,OOTHA,rgb,204,0,255,1,6,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),sunnambupachai,sunnambu pachai,sunnambu pachai,rgb,0,255,193,1,7,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),kilipachai,kili pachai,KILI PACHAI,rgb,0,255,125,1,8,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),neelam,neelam,NEELAM,rgb,0,70,255,1,9,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),thuru,thuru,thuru,rgb,255,134,0,1,10,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),sunnambupachai,sunnambu pachai,sunnambu pachai,rgb,0,255,183,1,11,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),manjal,manjal,manjal,rgb,255,213,0,3,2,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),ilansivappu,ilansivappu,ilansivappu,rgb,255,0,158,3,3,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),ilansivappu,ilansivappu,ilansivappu,rgb,255,0,129,3,4,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),skyblue,sky blue,Sky blue,rgb,0,245,255,1,0,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),cyan,cyan,Cyan,rgb,0,198,255,1,1,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),magenta,magenta,Magenta,rgb,255,0,211,1,2,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),royalblue,royal blue,Royal blue,rgb,165,0,255,1,3,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),blue,blue,Blue,rgb,0,42,255,1,4,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),blue,blue,Blue,rgb,0,25,255,1,5,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),red,red,Red,rgb,255,61,0,1,6,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),cyan,cyan,Cyan,rgb,0,155,255,1,7,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),kaavi,kaavi,Kaavi,rgb,255,0,80,1,8,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),cyan,cyan,Cyan,rgb,0,211,255,1,9,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),magenta,magenta,Magenta,rgb,255,0,157,1,10,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),yellow,yellow,Yellow,rgb,94,255,0,1,11,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),magenta,magenta,Magenta,rgb,255,0,201,3,0,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),green,green,Green,rgb,0,255,189,3,1,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),cyan,cyan,Cyan,rgb,0,135,255,3,2,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),lightgreen,light green,Light green,rgb,255,204,0,3,3,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),green,green,Green,rgb,255,119,0,3,4,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),blue,blue,Blue,rgb,140,0,255,3,5,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),yellow,yellow,Yellow,rgb,255,222,0,3,6,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),blue,blue,Blue,rgb,0,80,255,3,7,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),gray,gray,Gray,rgb,0,255,241,3,8,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),pink,pink,Pink,rgb,255,0,123,3,9,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),green,green,Green,rgb,0,255,193,3,10,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),red,red,Red,rgb,255,0,48,3,11,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),yellow,yellow,Yellow,rgb,218,255,0,6,0,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),cyan,cyan,Cyan,rgb,0,170,255,6,1,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),blue,blue,Blue,rgb,255,0,246,6,2,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),yellow,yellow,Yellow,rgb,235,255,0,6,3,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),green,green,Green,rgb,0,255,31,6,4,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),yellow,yellow,Yellow,rgb,146,255,0,6,5,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),lightgreen,light green,Light green,rgb,0,255,91,6,6,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),blue,blue,Blue,rgb,0,96,255,6,7,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),orenge,orenge,Orenge,rgb,255,155,0,6,8,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),red,red,Red,rgb,255,124,0,6,9,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),kaavi,kaavi,Kaavi,rgb,255,0,90,6,10,line,white,en,,1.1.5,
0,ta,Tamil (தமிழ்),lgreen,l green,L green,rgb,0,255,141,6,11,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),நீலம,நீலம்,நீலம்,rgb,0,76,255,1,0,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),ஆரஞசு,ஆரஞ்சு,ஆரஞ்சு,rgb,255,182,0,1,1,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),மஞசள,மஞ்சள்,மஞ்சள்,rgb,216,255,0,1,2,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),வெளிரநீலம,வெளிர் நீலம்,வெளிர் நீலம்,rgb,0,196,255,1,3,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),ஊதா,ஊதா,ஊதா,rgb,168,0,255,1,4,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),இளஞசிவபபு,இளஞ்சிவப்பு,இளஞ்சிவப்பு,rgb,255,0,162,1,5,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),சிவபபு,சிவப்பு,சிவப்பு,rgb,255,0,96,1,6,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),பசசை,பச்சை,பச்சை,rgb,120,255,0,1,7,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),டீலநீலம,டீல் நீலம்,டீல் நீலம்,rgb,0,255,208,1,8,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),வெளிரநீலம,வெளிர் நீலம்,வெளிர் நீலம்,rgb,0,169,255,1,9,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),பசசை,பச்சை,பச்சை,rgb,160,255,0,1,10,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),ஆரஞசு,ஆரஞ்சு,ஆரஞ்சு,rgb,255,140,0,1,11,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),மஞசள,மஞ்சள்,மஞ்சள்,rgb,255,254,0,3,0,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),சிவபபு,சிவப்பு,சிவப்பு,rgb,255,0,67,3,1,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),சிவபபு,சிவப்பு,சிவப்பு,rgb,255,7,0,3,2,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),இளஞசிவபபு,இளஞ்சிவப்பு,இளஞ்சிவப்பு,rgb,255,0,127,3,3,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),இளஞசிவபபு,இளஞ்சிவப்பு,இளஞ்சிவப்பு,rgb,250,0,255,3,4,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),நீலம,நீலம்,நீலம்,rgb,84,0,255,3,5,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),சிவபபு,சிவப்பு,சிவப்பு,rgb,255,0,21,3,6,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),மஞசள,மஞ்சள்,மஞ்சள்,rgb,255,194,0,3,7,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),வெளிரநீலம,வெளிர் நீலம்,வெளிர் நீலம்,rgb,0,245,255,3,8,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),நீலம,நீலம்,நீலம்,rgb,0,108,255,3,9,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),நீலம,நீலம்,நீலம்,rgb,0,54,255,3,10,line,white,en,,1.1.5,
18270,ta,Tamil (தமிழ்),ஆரஞசு,ஆரஞ்சு,ஆரஞ்சு,rgb,255,119,0,3,11,line,white,en,,1.1.5,
