participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
10835,tl,Tagalog (Wikang Tagalog),berde,berde,berde,rgb,0,255,179,1,0,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),pula,pula,pula,rgb,255,0,18,1,1,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),berde,berde,berde,rgb,156,255,0,1,2,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),pink,pink,pink,rgb,255,0,127,1,3,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),pula,pula,pula,rgb,255,55,0,1,4,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),berde,berde,berde,rgb,0,255,196,1,5,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,0,201,255,1,6,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),pink,pink,pink,rgb,255,0,172,1,7,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,0,42,255,1,8,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),berde,berde,berde,rgb,0,255,94,1,9,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,72,0,255,1,10,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,0,127,255,1,11,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,0,255,227,3,0,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),berde,berde,berde,rgb,0,255,41,3,1,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),lila,lila,lila,rgb,255,0,193,3,2,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,0,82,255,3,3,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),luntian,luntian,luntian,rgb,118,255,0,3,4,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),kahel,kahel,kahel,rgb,255,94,0,3,5,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,126,0,255,3,6,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,0,225,255,3,7,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),lila,lila,lila,rgb,248,0,255,3,8,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,0,94,255,3,9,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),berde,berde,berde,rgb,0,255,147,3,10,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),dilaw,dilaw,dilaw,rgb,244,255,0,3,11,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),pula,pula,pula,rgb,255,0,98,6,0,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),dilaw,dilaw,dilaw,rgb,255,205,0,6,1,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),dilaw,dilaw,dilaw,rgb,255,226,0,6,2,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),dilaw,dilaw,dilaw,rgb,219,255,0,6,3,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),pink,pink,pink,rgb,255,0,218,6,4,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),kahel,kahel,kahel,rgb,255,172,0,6,5,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),lila,lila,lila,rgb,176,0,255,6,6,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,0,162,255,6,7,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,0,149,255,6,8,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,0,244,255,6,9,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),kahel,kahel,kahel,rgb,255,123,0,6,10,line,white,en,,1.1.2,
10835,tl,Tagalog (Wikang Tagalog),pula,pula,pula,rgb,255,0,78,6,11,line,white,en,,1.1.2,
0,tl,Tagalog (Wikang Tagalog),skygrey,sky grey,sky grey,rgb,0,225,255,1,0,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),azul,azul,azul,rgb,0,74,255,1,1,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),dilaw,dilaw,dilaw,rgb,229,255,0,1,2,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),berde,berde,berde,rgb,138,255,0,1,3,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),pula,pula,pula,rgb,255,32,0,1,4,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),dilaw,dilaw,dilaw,rgb,255,186,0,1,5,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),lila,lila,lila,rgb,255,0,115,1,6,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),lightblue,light blue,light blue,rgb,0,255,200,1,7,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),berde,berde,berde,rgb,102,255,0,1,8,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),azul,azul,azul,rgb,0,150,255,1,9,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),dilaw,dilaw,dilaw,rgb,255,175,0,1,10,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),dilaw,dilaw,dilaw,rgb,255,249,0,1,11,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),rosas,rosas,rosas,rgb,255,0,91,3,0,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,0,66,255,3,1,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),dilaw,dilaw,dilaw,rgb,255,129,0,3,2,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,37,0,255,3,3,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),asul,asul,asul,rgb,0,110,255,3,4,line,white,en,,1.1.5,
0,tl,Tagalog (Wikang Tagalog),lila,lila,lila,rgb,215,0,255,3,5,line,white,en,,1.1.5,
