participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
9356,uk,Ukrainian (Українська),фіолетовии,фіолетовий,фіолетовий,rgb,255,0,184,3,0,line,white,en,,1.1.2,
9356,uk,Ukrainian (Українська),зелении,зелений,зелений,rgb,0,255,117,3,1,line,white,en,,1.1.2,
9356,uk,Ukrainian (Українська),жовтии,жовтий,жовтий,rgb,224,255,0,3,2,line,white,en,,1.1.2,
9356,uk,Ukrainian (Українська),синіи,синій,синій,rgb,0,255,176,3,3,line,white,en,,1.1.2,
9356,uk,Ukrainian (Українська),жовтии,жовтий,жовтий,rgb,255,249,0,3,4,line,white,en,,1.1.2,
9356,uk,Ukrainian (Українська),голубии,голубий,голубий,rgb,0,100,255,3,5,line,white,en,,1.1.2,
9356,uk,Ukrainian (Українська),розовии,розовий,розовий,rgb,255,0,249,3,6,line,white,en,,1.1.2,
9356,uk,Ukrainian (Українська),червонии,червоний,червоний,rgb,255,0,44,3,7,line,white,en,,1.1.2,
9356,uk,Ukrainian (Українська),синіи,синій,синій,rgb,0,245,255,3,8,line,white,en,,1.1.2,
9356,uk,Ukrainian (Українська),червонии,червоний,червоний,rgb,255,0,59,3,9,line,white,en,,1.1.2,
9356,uk,Ukrainian (Українська),розовии,розовий,розовий,rgb,255,0,233,3,10,line,white,en,,1.1.2,
9356,uk,Ukrainian (Українська),синіи,синій,синій,rgb,0,60,255,3,11,line,white,en,,1.1.2,
14397,uk,Ukrainian (Українська),темноблакитнии,темно блакитний,темно-блакитний,rgb,0,173,255,1,0,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),синіи,синій,синій,rgb,0,117,255,1,1,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),світлоблакитнии,світло блакитний,світло-блакитний,rgb,0,240,255,1,2,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),світлозелении,світло зелений,світло-зелений,rgb,0,255,172,1,3,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),жовтии,жовтий,жовтий,rgb,255,242,0,1,4,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),салатовии,салатовий,салатовий,rgb,0,255,73,1,5,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),яскраворожевии,яскраво рожевий,яскраво-рожевий,rgb,255,0,170,1,6,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),темносиніи,темно синій,темно-синій,rgb,0,59,255,1,7,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),фуксія,фуксія,фуксія,rgb,233,0,255,1,8,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),світлоблакитнии,світло блакитний,світло-блакитний,rgb,0,226,255,1,9,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),фіолетовии,фіолетовий,фіолетовий,rgb,52,0,255,1,10,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),жовтосалатовии,жовто салатовий,жовто-салатовий,rgb,146,255,0,1,11,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),жовтогарячии,жовто гарячий,жовто-гарячий,rgb,255,162,0,3,0,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),салатовозелении,салатово зелений,салатово-зелений,rgb,0,255,136,3,1,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),салатовии,салатовий,салатовий,rgb,103,255,0,3,2,line,white,en,,1.1.4,
14397,uk,Ukrainian (Українська),фуксія,фуксія,фуксія,rgb,255,0,195,3,3,line,white,en,,1.1.4,
