participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
18863,,,,fuchsia,fuchsia,rgb,255,0,213,1,0,line,white,en,1.1.5,
18863,,,,műtős zöld,műtős-zöld,rgb,0,255,205,1,1,line,white,en,1.1.5,
18863,,,,gablezöld,gablezöld,rgb,61,255,0,1,2,line,white,en,1.1.5,
18863,,,,zöldebbrozsaszin,zöldebbrozsaszin,rgb,255,0,111,1,3,line,white,en,1.1.5,
18863,,,,rozsaszin,rozsaszin,rgb,255,0,129,1,4,line,white,en,1.1.5,
18863,,,,cián,cián,rgb,0,253,255,1,5,line,white,en,1.1.5,
18863,,,,ezretekebb,ezretekebb,rgb,0,255,70,1,6,line,white,en,1.1.5,
18863,,,,veres,veres,rgb,255,0,31,1,7,line,white,en,1.1.5,
18863,,,,4,4,rgb,255,160,0,1,8,line,white,en,1.1.5,
18863,,,,lila,lila,rgb,203,0,255,1,9,line,white,en,1.1.5,
18863,,,,rrrretek,rrrretek,rgb,0,166,255,1,10,line,white,en,1.1.5,
18863,,,,troll szeme,troll szeme,rgb,0,255,99,1,11,line,white,en,1.1.5,
