participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
6850,aa,Afar (Afaraf),,aaa,AAA,rgb,0,255,13,1,0,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaa,AAA,rgb,0,255,95,1,1,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaa,AAAA,rgb,222,255,0,1,2,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaa,AAAA,rgb,255,0,159,1,3,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaa,AAAA,rgb,255,0,37,1,4,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaa,AAA,rgb,255,0,84,1,5,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaa,AAA,rgb,255,252,0,1,6,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaa,AAA,rgb,0,255,211,1,7,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaa,AAAA,rgb,0,170,255,1,8,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaa,AAAA,rgb,171,255,0,1,9,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaa,AAAA,rgb,255,211,0,1,10,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaa,AAAA,rgb,255,0,246,1,11,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaa,AAA,rgb,255,0,134,3,0,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaa,AAA,rgb,255,0,183,3,1,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaa,AAAA,rgb,255,69,0,3,2,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaa,AAAA,rgb,135,0,255,3,3,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaaaa,AAAAAA,rgb,70,255,0,3,4,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaaa,AAAAA,rgb,0,53,255,3,5,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaa,aAAA,rgb,0,186,255,3,6,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaa,AAAA,rgb,255,119,0,3,7,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaaa,AAAAA,rgb,255,223,0,3,8,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaa,AAAA,rgb,0,209,255,3,9,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaaa,AAAAA,rgb,0,91,255,3,10,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,aaaaa,AAAAA,rgb,255,155,0,3,11,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,111,111,rgb,0,157,255,6,0,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,11,11,rgb,0,126,255,6,1,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,1,1,rgb,0,255,244,6,2,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,1,1,rgb,0,255,128,6,3,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,1,1,rgb,0,102,255,6,4,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,1,1,rgb,0,254,255,6,5,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,1,1,rgb,0,255,158,6,6,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,1,1,rgb,0,27,255,6,7,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,1,1,rgb,255,0,243,6,8,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,1,1,rgb,255,0,65,6,9,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,1,1,rgb,180,0,255,6,10,line,white,en,1.1.2,
6850,aa,Afar (Afaraf),,1,1,rgb,255,150,0,6,11,line,white,en,1.1.2,
7583,aa,Afar (Afaraf),,r,r,rgb,255,0,251,1,0,line,white,ko,1.1.2,
7583,aa,Afar (Afaraf),,s,s,rgb,255,0,159,1,1,line,white,ko,1.1.2,
7583,aa,Afar (Afaraf),,e,e,rgb,0,76,255,1,2,line,white,ko,1.1.2,
7583,aa,Afar (Afaraf),,f,f,rgb,0,255,74,1,3,line,white,ko,1.1.2,
7583,aa,Afar (Afaraf),,f,f,rgb,0,255,87,1,4,line,white,ko,1.1.2,
7583,aa,Afar (Afaraf),,f,f,rgb,255,94,0,1,5,line,white,ko,1.1.2,
7583,aa,Afar (Afaraf),,d,d,rgb,206,255,0,1,6,line,white,ko,1.1.2,
7583,aa,Afar (Afaraf),,a,a,rgb,0,52,255,1,7,line,white,ko,1.1.2,
7583,aa,Afar (Afaraf),,f,f,rgb,255,174,0,1,8,line,white,ko,1.1.2,
7583,aa,Afar (Afaraf),,f,f,rgb,0,123,255,1,9,line,white,ko,1.1.2,
7583,aa,Afar (Afaraf),,f,f,rgb,0,255,251,1,10,line,white,ko,1.1.2,
7583,aa,Afar (Afaraf),,f,f,rgb,0,188,255,1,11,line,white,ko,1.1.2,
15724,aa,Afar (Afaraf),,q,q,rgb,0,255,241,1,0,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,0,133,255,1,1,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,255,220,0,1,2,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,0,255,196,1,3,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,144,255,0,1,4,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,255,0,102,1,5,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,255,0,247,1,6,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,0,24,255,1,7,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,qq,qq,rgb,0,149,255,1,8,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,0,255,168,1,9,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,255,0,122,1,10,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,136,0,255,1,11,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,0,113,255,3,0,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,0,255,141,3,1,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,225,255,0,3,2,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,qq,qq,rgb,0,167,255,3,3,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,255,0,68,3,4,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,207,0,255,3,5,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,0,255,63,3,6,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,255,161,0,3,7,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,0,66,255,3,8,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,255,202,0,3,9,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,255,0,8,3,10,line,white,en,1.1.5,
15724,aa,Afar (Afaraf),,q,q,rgb,104,255,0,3,11,line,white,en,1.1.5,
