participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,a,a,rgb,0,255,126,1,0,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,b,b,rgb,0,255,108,1,1,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,c,c,rgb,255,0,209,1,2,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,d,d,rgb,0,42,255,1,3,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,e,e,rgb,0,187,255,1,4,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,f,f,rgb,0,255,200,1,5,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,g,g,rgb,255,0,147,1,6,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,h,h,rgb,255,0,24,1,7,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,i,i,rgb,0,80,255,1,8,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,j,j,rgb,0,255,168,1,9,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,k,k,rgb,0,170,255,1,10,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,l,l,rgb,255,68,0,1,11,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,a,a,rgb,255,143,0,3,0,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,b,b,rgb,255,209,0,3,1,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,c,c,rgb,0,99,255,3,2,line,white,en,,1.1.2,
4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",,d,d,rgb,0,126,255,3,3,line,white,en,,1.1.2,
