participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,255,71,1,0,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,149,255,1,1,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,182,255,0,1,2,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,35,255,1,3,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,254,255,1,4,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,232,0,255,1,5,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,255,153,1,6,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,63,0,1,7,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,82,255,1,8,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,249,0,1,9,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,102,255,1,10,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,255,97,1,11,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,188,0,3,0,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,167,0,3,1,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,226,255,0,3,2,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,0,37,3,3,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,255,218,3,4,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,0,231,3,5,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,135,0,3,6,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,194,255,3,7,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,223,255,3,8,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,0,172,3,9,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,91,0,3,10,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,86,255,0,3,11,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,176,255,6,0,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,0,87,6,1,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,131,255,6,2,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,255,184,6,3,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,0,56,6,4,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,0,255,247,6,5,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,153,0,255,6,6,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,214,0,6,7,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,194,0,255,6,8,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,0,188,6,9,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,255,0,140,6,10,line,white,en,1.1.2,
8844,af,Afrikaans (Afrikaans),,test,test,rgb,87,0,255,6,11,line,white,en,1.1.2,
