participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
9ea3a12e-2099-450e-9472-a4277ff45f4b,bn,"Bengali, Bangla (বাংলা)",,pink,Pink,rgb,227,179,206,1,0,full,white,en,en,2.1.2,
9ea3a12e-2099-450e-9472-a4277ff45f4b,bn,"Bengali, Bangla (বাংলা)",,green,Green,rgb,112,176,44,1,1,full,white,en,en,2.1.2,
9ea3a12e-2099-450e-9472-a4277ff45f4b,bn,"Bengali, Bangla (বাংলা)",,b,B,rgb,96,41,57,3,0,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,90,160,198,1,0,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,243,212,56,1,1,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,153,250,117,1,2,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,148,154,104,1,3,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,211,85,44,1,4,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,188,127,211,1,5,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,176,82,79,1,6,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,164,61,239,1,7,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,252,103,173,1,8,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,118,12,62,1,9,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,17,7,34,1,10,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,237,87,94,1,11,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,88,78,209,3,0,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,188,78,222,3,1,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,0,0,0,3,2,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,48,147,245,3,3,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,234,61,29,3,4,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,149,169,86,3,5,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,143,6,238,3,6,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,76,82,154,3,7,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,92,40,77,3,8,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,143,234,142,3,9,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,156,131,189,3,10,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,61,110,118,3,11,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,82,170,131,5,0,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,236,195,209,5,1,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,216,170,228,5,2,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,215,52,226,5,3,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,231,102,176,5,4,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,88,238,64,5,5,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,205,136,121,5,6,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,144,64,72,5,7,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,43,182,133,5,8,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,191,23,185,5,9,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,73,154,246,5,10,full,white,en,en,2.1.2,
e9643678-4b43-410c-be9e-cf9015c2ad49,bn,"Bengali, Bangla (বাংলা)",,মনকে,মনকে,rgb,171,221,182,5,11,full,white,en,en,2.1.2,
