participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
5393,da,Danish (dansk),,blue,blue,rgb,0,141,255,3,10,line,white,en,1.1.2,
8688,da,Danish (dansk),,pinkl,pinkl,rgb,255,0,65,1,9,line,white,en,1.1.2,
11740,da,Danish (dansk),,red,red,rgb,255,0,62,3,0,line,white,en,1.1.3,
11740,da,Danish (dansk),,yellow,yellow,rgb,255,221,0,3,1,line,white,en,1.1.3,
11740,da,Danish (dansk),,blue,blue,rgb,74,0,255,3,2,line,white,en,1.1.3,
11740,da,Danish (dansk),,green,green,rgb,0,255,34,3,3,line,white,en,1.1.3,
11740,da,Danish (dansk),,blue,blue,rgb,0,211,255,3,4,line,white,en,1.1.3,
11740,da,Danish (dansk),,blue,blue,rgb,0,89,255,3,5,line,white,en,1.1.3,
11740,da,Danish (dansk),,red,red,rgb,255,0,1,3,7,line,white,en,1.1.3,
11740,da,Danish (dansk),,green,green,rgb,0,255,135,3,8,line,white,en,1.1.3,
11740,da,Danish (dansk),,green,green,rgb,112,255,0,3,9,line,white,en,1.1.3,
11740,da,Danish (dansk),,green,green,rgb,0,255,184,3,10,line,white,en,1.1.3,
11743,da,Danish (dansk),,red,red,rgb,255,75,0,3,8,line,white,en,1.1.3,
11743,da,Danish (dansk),,red,red,rgb,255,0,52,6,1,line,white,en,1.1.3,
11743,da,Danish (dansk),,red,red,rgb,255,0,5,6,9,line,white,en,1.1.3,
11744,da,Danish (dansk),,hot pink,hot pink,rgb,255,0,99,3,6,line,white,en,1.1.3,
11744,da,Danish (dansk),,hot pink,hot pink,rgb,255,0,130,3,11,line,white,en,1.1.3,
11744,da,Danish (dansk),,hot pink,hot pink,rgb,255,0,170,6,4,line,white,en,1.1.3,
11744,da,Danish (dansk),,hot pink,hot pink,rgb,255,0,181,6,5,line,white,en,1.1.3,
0,da,Danish (dansk),,hot pink,Hot pink,rgb,225,0,255,3,0,line,white,en,1.1.5,
0,da,Danish (dansk),,hot pink,Hot pink,rgb,255,0,124,3,6,line,white,en,1.1.5,
0,da,Danish (dansk),,hot pink,Hot pink,rgb,255,0,149,3,9,line,white,en,1.1.5,
