participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
7538,el,Greek (modern) (ελληνικά),,purple,Purple,rgb,224,0,255,1,0,line,white,en,1.1.2,
7538,el,Greek (modern) (ελληνικά),,light blue,Light blue,rgb,0,197,255,1,1,line,white,en,1.1.2,
7538,el,Greek (modern) (ελληνικά),,blue,Blue,rgb,0,84,255,1,2,line,white,en,1.1.2,
7538,el,Greek (modern) (ελληνικά),,orange,Orange,rgb,255,203,0,1,3,line,white,en,1.1.2,
7538,el,Greek (modern) (ελληνικά),,light green,Light green,rgb,187,255,0,1,4,line,white,en,1.1.2,
7538,el,Greek (modern) (ελληνικά),,green,Green,rgb,0,255,98,1,5,line,white,en,1.1.2,
7538,el,Greek (modern) (ελληνικά),,yellow,Yellow,rgb,255,225,0,1,6,line,white,en,1.1.2,
7538,el,Greek (modern) (ελληνικά),,blue,Blue,rgb,0,5,255,1,7,line,white,en,1.1.2,
7538,el,Greek (modern) (ελληνικά),,light blue,Light blue,rgb,0,175,255,1,8,line,white,en,1.1.2,
7538,el,Greek (modern) (ελληνικά),,pink,Pink,rgb,255,0,222,1,9,line,white,en,1.1.2,
7538,el,Greek (modern) (ελληνικά),,purple,Purple,rgb,195,0,255,1,10,line,white,en,1.1.2,
7538,el,Greek (modern) (ελληνικά),,blue,Blue,rgb,0,36,255,1,11,line,white,en,1.1.2,
10966,el,Greek (modern) (ελληνικά),,red,Red,rgb,255,0,55,1,0,line,white,en,1.1.2,
10966,el,Greek (modern) (ελληνικά),,cyan,Cyan,rgb,0,255,229,1,1,line,white,en,1.1.2,
10966,el,Greek (modern) (ελληνικά),,orange,Orange,rgb,255,154,0,1,2,line,white,en,1.1.2,
10966,el,Greek (modern) (ελληνικά),,green,Green,rgb,154,255,0,1,3,line,white,en,1.1.2,
10966,el,Greek (modern) (ελληνικά),,red,Red,rgb,255,0,38,1,4,line,white,en,1.1.2,
10966,el,Greek (modern) (ελληνικά),,blue,Blue,rgb,0,111,255,1,5,line,white,en,1.1.2,
10966,el,Greek (modern) (ελληνικά),,yellow,Yellow,rgb,246,255,0,1,6,line,white,en,1.1.2,
10966,el,Greek (modern) (ελληνικά),,blue,Blue,rgb,0,160,255,1,7,line,white,en,1.1.2,
10966,el,Greek (modern) (ελληνικά),,purple,Purple,rgb,255,0,142,1,8,line,white,en,1.1.2,
10966,el,Greek (modern) (ελληνικά),,purple,Purple,rgb,255,0,222,1,9,line,white,en,1.1.2,
10966,el,Greek (modern) (ελληνικά),,green,Green,rgb,0,255,48,1,10,line,white,en,1.1.2,
10966,el,Greek (modern) (ελληνικά),,purple,Purple,rgb,255,0,186,1,11,line,white,en,1.1.2,
0,el,Greek (modern) (ελληνικά),,green,Green,rgb,73,255,0,1,0,line,white,en,1.1.5,
0,el,Greek (modern) (ελληνικά),,yellow,Yellow,rgb,255,225,0,1,1,line,white,en,1.1.5,
0,el,Greek (modern) (ελληνικά),,lime,Lime,rgb,157,255,0,1,2,line,white,en,1.1.5,
0,el,Greek (modern) (ελληνικά),,magenta,Magenta,rgb,247,0,255,1,3,line,white,en,1.1.5,
0,el,Greek (modern) (ελληνικά),,blue,Blue,rgb,0,154,255,1,4,line,white,en,1.1.5,
0,el,Greek (modern) (ελληνικά),,dark orange,Dark Orange,rgb,255,106,0,1,5,line,white,en,1.1.5,
0,el,Greek (modern) (ελληνικά),,green,GREEN,rgb,0,255,30,1,6,line,white,en,1.1.5,
0,el,Greek (modern) (ελληνικά),,cyan,cYAN,rgb,0,247,255,1,7,line,white,en,1.1.5,
0,el,Greek (modern) (ελληνικά),,turqoise,Turqoise,rgb,0,193,255,1,8,line,white,en,1.1.5,
0,el,Greek (modern) (ελληνικά),,purple,Purple,rgb,125,0,255,1,9,line,white,en,1.1.5,
0,el,Greek (modern) (ελληνικά),,orange,Orange,rgb,255,127,0,1,10,line,white,en,1.1.5,
0,el,Greek (modern) (ελληνικά),,pink,Pink,rgb,255,0,193,1,11,line,white,en,1.1.5,
