participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
8480,es,Spanish (español),,light blue,light blue,rgb,0,185,255,1,3,line,white,en,,1.1.2,
8480,es,Spanish (español),,orange,orange,rgb,255,84,0,1,4,line,white,en,,1.1.2,
8480,es,Spanish (español),,green,green,rgb,138,255,0,1,6,line,white,en,,1.1.2,
8480,es,Spanish (español),,red,red,rgb,255,0,83,1,8,line,white,en,,1.1.2,
8480,es,Spanish (español),,purple,purple,rgb,140,0,255,1,9,line,white,en,,1.1.2,
8480,es,Spanish (español),,blue,blue,rgb,0,164,255,1,10,line,white,en,,1.1.2,
8480,es,Spanish (español),,dark blue,dark blue,rgb,0,9,255,1,11,line,white,en,,1.1.2,
8741,es,Spanish (español),,blue,blue,rgb,0,81,255,1,0,line,white,en,,1.1.2,
8741,es,Spanish (español),,orange,orange,rgb,255,142,0,1,3,line,white,en,,1.1.2,
8741,es,Spanish (español),,red,red,rgb,255,44,0,1,4,line,white,en,,1.1.2,
8741,es,Spanish (español),,green,green,rgb,0,255,164,1,7,line,white,en,,1.1.2,
8741,es,Spanish (español),,green,green,rgb,0,255,147,1,9,line,white,en,,1.1.2,
9737,es,Spanish (español),,red,Red,rgb,255,0,6,1,1,line,white,en,,1.1.2,
9737,es,Spanish (español),,yellow,Yellow,rgb,255,251,0,1,2,line,white,en,,1.1.2,
9737,es,Spanish (español),,blue,Blue,rgb,0,255,242,1,3,line,white,en,,1.1.2,
9737,es,Spanish (español),,yellow,Yellow,rgb,255,241,0,1,6,line,white,en,,1.1.2,
9737,es,Spanish (español),,blue,Blue,rgb,0,255,198,1,7,line,white,en,,1.1.2,
9737,es,Spanish (español),,blue,Blue,rgb,0,186,255,1,8,line,white,en,,1.1.2,
9810,es,Spanish (español),,blue,blue,rgb,0,124,255,1,7,line,white,en,,1.1.2,
11033,es,Spanish (español),,lime green,Lime green,rgb,72,255,0,1,0,line,white,en,,1.1.2,
11033,es,Spanish (español),,red,Red,rgb,255,0,72,1,1,line,white,en,,1.1.2,
11033,es,Spanish (español),,neon green,Neon green,rgb,140,255,0,1,2,line,white,en,,1.1.2,
11033,es,Spanish (español),,blue,Blue,rgb,0,136,255,1,3,line,white,en,,1.1.2,
11033,es,Spanish (español),,teal,Teal,rgb,0,255,237,1,4,line,white,en,,1.1.2,
11033,es,Spanish (español),,dark blue,Dark blue,rgb,61,0,255,1,5,line,white,en,,1.1.2,
11033,es,Spanish (español),,fuchsia,Fuchsia,rgb,242,0,255,1,6,line,white,en,,1.1.2,
11033,es,Spanish (español),,sky blue,Sky blue,rgb,0,176,255,1,7,line,white,en,,1.1.2,
11033,es,Spanish (español),,orange,Orange,rgb,255,171,0,1,8,line,white,en,,1.1.2,
11033,es,Spanish (español),,light blue,Light blue,rgb,0,201,255,1,9,line,white,en,,1.1.2,
11033,es,Spanish (español),,aqua,Aqua,rgb,0,206,255,1,10,line,white,en,,1.1.2,
11033,es,Spanish (español),,blue,Blue,rgb,0,50,255,1,11,line,white,en,,1.1.2,
11033,es,Spanish (español),,verde florente,Verde Florente,rgb,0,255,70,3,0,line,white,en,,1.1.2,
11033,es,Spanish (español),,azul,Azul,rgb,0,130,255,3,1,line,white,en,,1.1.2,
11033,es,Spanish (español),,amarillo,Amarillo,rgb,237,255,0,3,2,line,white,en,,1.1.2,
11033,es,Spanish (español),,rosado  oscuro,Rosado  oscuro,rgb,255,0,91,3,3,line,white,en,,1.1.2,
11033,es,Spanish (español),,amorío oscuro,Amorío oscuro,rgb,255,239,0,3,4,line,white,en,,1.1.2,
11033,es,Spanish (español),,morado,Morado,rgb,120,0,255,3,5,line,white,en,,1.1.2,
11033,es,Spanish (español),,azul de mar,Azul de mar,rgb,0,243,255,3,6,line,white,en,,1.1.2,
11033,es,Spanish (español),,rosado,Rosado,rgb,255,0,150,3,7,line,white,en,,1.1.2,
11033,es,Spanish (español),,rojo,Rojo,rgb,255,8,0,3,8,line,white,en,,1.1.2,
11033,es,Spanish (español),,verde flórense,Verde Flórense,rgb,0,255,143,3,9,line,white,en,,1.1.2,
11033,es,Spanish (español),,rojo,Rojo,rgb,255,0,23,3,10,line,white,en,,1.1.2,
11033,es,Spanish (español),,naranja,Naranja,rgb,255,111,0,3,11,line,white,en,,1.1.2,
11033,es,Spanish (español),,amarillo,Amarillo,rgb,255,189,0,6,0,line,white,en,,1.1.2,
11033,es,Spanish (español),,rosado,Rosado,rgb,255,0,122,6,1,line,white,en,,1.1.2,
11033,es,Spanish (español),,fusha,Fusha,rgb,255,0,218,6,2,line,white,en,,1.1.2,
11033,es,Spanish (español),,azul,Azul,rgb,0,71,255,6,3,line,white,en,,1.1.2,
11033,es,Spanish (español),,verde florente,Verde Florente,rgb,201,255,0,6,4,line,white,en,,1.1.2,
11033,es,Spanish (español),,naranja,Naranja,rgb,255,143,0,6,5,line,white,en,,1.1.2,
11033,es,Spanish (español),,verde claro,Verde claro,rgb,0,255,179,6,6,line,white,en,,1.1.2,
11033,es,Spanish (español),,morado,Morado,rgb,200,0,255,6,7,line,white,en,,1.1.2,
11033,es,Spanish (español),,rosado,Rosado,rgb,255,0,180,6,8,line,white,en,,1.1.2,
11033,es,Spanish (español),,verde  florente,Verde  Florente,rgb,0,255,86,6,9,line,white,en,,1.1.2,
11033,es,Spanish (español),,azul,Azul,rgb,0,104,255,6,10,line,white,en,,1.1.2,
11033,es,Spanish (español),,aqua,Aqua,rgb,0,255,207,6,11,line,white,en,,1.1.2,
11226,es,Spanish (español),,purple,Purple,rgb,120,11,252,1,0,full,white,en,,1.1.2,
11226,es,Spanish (español),,green,Green,rgb,50,172,52,1,3,full,white,en,,1.1.2,
11226,es,Spanish (español),,pink,Pink,rgb,229,54,206,1,7,full,white,en,,1.1.2,
11226,es,Spanish (español),,light blue,Light blue,rgb,155,134,247,1,9,full,white,en,,1.1.2,
0,es,Spanish (español),,blue,Blue,rgb,57,0,255,1,0,line,white,en,,1.1.5,
0,es,Spanish (español),,green,Green,rgb,0,255,179,1,1,line,white,en,,1.1.5,
0,es,Spanish (español),,orange,Orange,rgb,255,141,0,1,2,line,white,en,,1.1.5,
0,es,Spanish (español),,purple,Purple,rgb,144,0,255,1,8,line,white,en,,1.1.5,
0,es,Spanish (español),,light blue,Light Blue,rgb,0,205,255,1,9,line,white,en,,1.1.5,
0,es,Spanish (español),,red,Red,rgb,156,28,40,1,0,full,white,en,,1.1.5,
0,es,Spanish (español),,blue,Blue,rgb,48,106,191,1,3,full,white,en,,1.1.5,
0,es,Spanish (español),,red,Red,rgb,182,55,96,1,6,full,white,en,,1.1.5,
0,es,Spanish (español),,green,Green,rgb,56,219,8,1,7,full,white,en,,1.1.5,
0,es,Spanish (español),,green,Green,rgb,11,232,112,1,3,full,white,en,,1.1.5,
0,es,Spanish (español),,purple,Purple,rgb,161,112,220,1,5,full,white,en,,1.1.5,
0,es,Spanish (español),,red,Red,rgb,208,62,43,1,8,full,white,en,,1.1.5,
0,es,Spanish (español),,dark blue,Dark blue,rgb,37,92,133,1,9,full,white,en,,1.1.5,
0,es,Spanish (español),,blue,Blue,rgb,55,142,163,1,0,full,white,en,,1.1.5,
0,es,Spanish (español),,red,Red,rgb,200,47,37,1,2,full,white,en,,1.1.5,
