participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
af735a84-3e07-45e6-b6da-d55e2c47d4e8,hi,"Hindi (हिन्दी, हिंदी)",,brown,BROWN,rgb,170,150,147,5,1,full,white,en,en,2.1.2,
af735a84-3e07-45e6-b6da-d55e2c47d4e8,hi,"Hindi (हिन्दी, हिंदी)",,brown,BROWN,rgb,137,114,45,5,5,full,white,en,en,2.1.2,
af735a84-3e07-45e6-b6da-d55e2c47d4e8,hi,"Hindi (हिन्दी, हिंदी)",,brown,BROWN,rgb,123,92,48,5,8,full,white,en,en,2.1.2,
af735a84-3e07-45e6-b6da-d55e2c47d4e8,hi,"Hindi (हिन्दी, हिंदी)",,pink,PINK,rgb,196,135,217,5,10,full,white,en,en,2.1.2,
af735a84-3e07-45e6-b6da-d55e2c47d4e8,hi,"Hindi (हिन्दी, हिंदी)",,pink,PINK,rgb,147,93,203,5,11,full,white,en,en,2.1.2,
00691fe2-e653-4cdd-aef6-d2867845201c,hi,"Hindi (हिन्दी, हिंदी)",,blue,blue,p3,0.0390543,0.0128088,0.264863,1,1,full,white,en,en,2.1.2,
00691fe2-e653-4cdd-aef6-d2867845201c,hi,"Hindi (हिन्दी, हिंदी)",,green,green,p3,0.457619,0.531505,0.526938,1,2,full,white,en,en,2.1.2,
00691fe2-e653-4cdd-aef6-d2867845201c,hi,"Hindi (हिन्दी, हिंदी)",,pink,pink,p3,0.834687,0.419949,0.964333,1,3,full,white,en,en,2.1.2,
00691fe2-e653-4cdd-aef6-d2867845201c,hi,"Hindi (हिन्दी, हिंदी)",,pink,pink,p3,0.652302,0.013529,0.570208,1,5,full,white,en,en,2.1.2,
00691fe2-e653-4cdd-aef6-d2867845201c,hi,"Hindi (हिन्दी, हिंदी)",,pink,pink,p3,0.972892,0.171281,0.974687,1,6,full,white,en,en,2.1.2,
00691fe2-e653-4cdd-aef6-d2867845201c,hi,"Hindi (हिन्दी, हिंदी)",,pink,pink,p3,0.766129,0.275768,0.534598,1,7,full,white,en,en,2.1.2,
00691fe2-e653-4cdd-aef6-d2867845201c,hi,"Hindi (हिन्दी, हिंदी)",,green,green,p3,0.466254,0.985004,0.646329,1,8,full,white,en,en,2.1.2,
00691fe2-e653-4cdd-aef6-d2867845201c,hi,"Hindi (हिन्दी, हिंदी)",,pink,pink,p3,0.724253,0.24048,0.827659,1,9,full,white,en,en,2.1.2,
00691fe2-e653-4cdd-aef6-d2867845201c,hi,"Hindi (हिन्दी, हिंदी)",,pink,pink,p3,0.930167,0.780557,0.845843,1,10,full,white,en,en,2.1.2,
02f7662b-0b5e-4985-8153-b83421a98592,hi,"Hindi (हिन्दी, हिंदी)",,grey,Grey,rgb,112,121,108,3,0,full,white,en,en,2.1.2,
443dbd9a-4ee7-4b6c-bb72-43ddf6772588,hi,"Hindi (हिन्दी, हिंदी)",,green,Green,p3,0.377005,0.430198,0.359417,1,3,full,white,en,en,2.1.2,
58826973-a3e9-4a22-bb1f-d4573b627afd,hi,"Hindi (हिन्दी, हिंदी)",,pink,pink,rgb,131,43,90,1,0,full,white,en,en,2.1.2,
58826973-a3e9-4a22-bb1f-d4573b627afd,hi,"Hindi (हिन्दी, हिंदी)",,grey,grey,rgb,67,73,76,1,2,full,white,en,en,2.1.2,
58826973-a3e9-4a22-bb1f-d4573b627afd,hi,"Hindi (हिन्दी, हिंदी)",,purple,purple,rgb,125,55,148,1,3,full,white,en,en,2.1.2,
58826973-a3e9-4a22-bb1f-d4573b627afd,hi,"Hindi (हिन्दी, हिंदी)",,brown,brown,rgb,91,43,48,1,6,full,white,en,en,2.1.2,
79f172cb-bb19-4067-be44-3c7b93bd6013,hi,"Hindi (हिन्दी, हिंदी)",,purple,Purple,rgb,158,44,213,3,10,full,white,en,en,2.1.2,
829e8f23-6326-4748-9c84-fdae971728df,hi,"Hindi (हिन्दी, हिंदी)",,blue,blue,rgb,55,63,238,1,0,full,white,en,en,2.1.2,
829e8f23-6326-4748-9c84-fdae971728df,hi,"Hindi (हिन्दी, हिंदी)",,pink,Pink,rgb,252,37,179,1,2,full,white,en,en,2.1.2,
829e8f23-6326-4748-9c84-fdae971728df,hi,"Hindi (हिन्दी, हिंदी)",,brown,Brown,rgb,139,68,89,1,5,full,white,en,en,2.1.2,
829e8f23-6326-4748-9c84-fdae971728df,hi,"Hindi (हिन्दी, हिंदी)",,brown,Brown,rgb,140,97,60,3,1,full,white,en,en,2.1.2,
829e8f23-6326-4748-9c84-fdae971728df,hi,"Hindi (हिन्दी, हिंदी)",,pink,Pink,rgb,217,148,232,3,9,full,white,en,en,2.1.2,
829e8f23-6326-4748-9c84-fdae971728df,hi,"Hindi (हिन्दी, हिंदी)",,green,Green,rgb,53,111,62,3,10,full,white,en,en,2.1.2,
829e8f23-6326-4748-9c84-fdae971728df,hi,"Hindi (हिन्दी, हिंदी)",,green,Green,rgb,58,81,94,5,1,full,white,en,en,2.1.2,
829e8f23-6326-4748-9c84-fdae971728df,hi,"Hindi (हिन्दी, हिंदी)",,blue,Blue,rgb,90,93,235,5,4,full,white,en,en,2.1.2,
8e8be8c5-2ac5-4839-bbd6-cd69de748822,hi,"Hindi (हिन्दी, हिंदी)",,blue,blue,rgb,58,18,199,1,1,full,white,en,en,2.1.2,
8e8be8c5-2ac5-4839-bbd6-cd69de748822,hi,"Hindi (हिन्दी, हिंदी)",,purple,purple,rgb,158,33,186,1,9,full,white,en,en,2.1.2,
8e8be8c5-2ac5-4839-bbd6-cd69de748822,hi,"Hindi (हिन्दी, हिंदी)",,pink,pink,rgb,222,109,148,1,10,full,white,en,en,2.1.2,
8e8be8c5-2ac5-4839-bbd6-cd69de748822,hi,"Hindi (हिन्दी, हिंदी)",,purple,purple,rgb,142,48,198,3,1,full,white,en,en,2.1.2,
