participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
8638,it,Italian (italiano),,blue,blue,rgb,0,125,255,1,3,line,white,en,,1.1.2,
8638,it,Italian (italiano),,blue,blue,rgb,0,110,255,1,6,line,white,en,,1.1.2,
8638,it,Italian (italiano),,blue,blue,rgb,0,82,255,1,9,line,white,en,,1.1.2,
8638,it,Italian (italiano),,blue,blue,rgb,44,0,255,3,3,line,white,en,,1.1.2,
8638,it,Italian (italiano),,blue,blue,rgb,0,40,255,6,3,line,white,en,,1.1.2,
9438,it,Italian (italiano),,blue,Blue,rgb,0,95,255,1,4,line,white,en,,1.1.2,
9438,it,Italian (italiano),,blue,Blue,rgb,0,35,255,6,6,line,white,en,,1.1.2,
9438,it,Italian (italiano),,blue,Blue,rgb,0,78,255,6,9,line,white,en,,1.1.2,
9438,it,Italian (italiano),,blue,Blue,rgb,0,132,255,6,10,line,white,en,,1.1.2,
9474,it,Italian (italiano),,blue,Blue,rgb,0,61,255,1,2,line,white,en,,1.1.2,
9474,it,Italian (italiano),,blue,Blue,rgb,0,113,255,1,3,line,white,en,,1.1.2,
9474,it,Italian (italiano),,blue,Blue,rgb,0,5,255,6,3,line,white,en,,1.1.2,
9474,it,Italian (italiano),,blue,Blue,rgb,0,127,255,6,6,line,white,en,,1.1.2,
9474,it,Italian (italiano),,blue,Blue,rgb,0,157,255,6,9,line,white,en,,1.1.2,
9474,it,Italian (italiano),,blue,Blue,rgb,0,73,255,6,11,line,white,en,,1.1.2,
0,it,Italian (italiano),,blue,blue,rgb,0,78,255,1,2,line,white,en,,1.1.5,
0,it,Italian (italiano),,blue,blue,rgb,0,52,255,1,4,line,white,en,,1.1.5,
0,it,Italian (italiano),,blue,blue,rgb,0,103,255,1,10,line,white,en,,1.1.5,
0,it,Italian (italiano),,blue,blue,rgb,0,114,255,1,11,line,white,en,,1.1.5,
0,it,Italian (italiano),,blue,Blue,rgb,0,17,255,3,9,line,white,en,,1.1.5,
0,it,Italian (italiano),,blue,Blue,rgb,0,94,255,1,0,line,white,en,,1.1.5,
0,it,Italian (italiano),,blue,Blue,rgb,0,68,255,1,10,line,white,en,,1.1.5,
0,it,Italian (italiano),,blue,Blue,rgb,0,80,255,6,0,line,white,en,,1.1.5,
0,it,Italian (italiano),,blue,blue,rgb,0,110,255,1,3,line,white,en,,1.1.5,
0,it,Italian (italiano),,blue,blue,rgb,0,50,255,3,1,line,white,en,,1.1.5,
0,it,Italian (italiano),,blue,blue,rgb,0,126,255,6,0,line,white,en,,1.1.5,
0,it,Italian (italiano),,blue,blue,rgb,108,0,255,6,6,line,white,en,,1.1.5,
0,it,Italian (italiano),,blue,blue,rgb,0,81,255,6,10,line,white,en,,1.1.5,
18256,it,Italian (italiano),,blue,Blue,rgb,0,198,255,1,7,line,white,en,,1.1.5,
66da2dfe-ebf9-4eea-a055-c8cab39dd850,it,Italian (italiano),,blue,blue,rgb,83,110,204,1,4,full,white,en,it,2.1.2,
