participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
4422,nl,"Dutch (Nederlands, Vlaams)",,fuchsia,Fuchsia,rgb,255,0,229,1,2,line,white,en,,1,
4422,nl,"Dutch (Nederlands, Vlaams)",,fuchsia,Fuchsia,rgb,255,0,208,3,4,line,white,en,,1,
4422,nl,"Dutch (Nederlands, Vlaams)",,fuchsia,Fuchsia,rgb,255,0,163,6,4,line,white,en,,1,
5481,nl,"Dutch (Nederlands, Vlaams)",,blue,blue,rgb,0,157,255,1,9,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,dark pink,dark pink,rgb,255,0,87,1,0,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,pastel green,pastel green,rgb,0,255,193,1,1,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,light green,light green,rgb,81,255,0,1,2,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,dark blue,dark blue,rgb,0,84,255,1,3,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,orange,orange,rgb,255,196,0,1,4,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,purple,purple,rgb,255,0,209,1,5,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,turqose,turqose,rgb,0,252,255,1,7,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,light blue,light blue,rgb,0,176,255,1,8,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,dark purple,dark purple,rgb,255,0,128,1,9,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,grass green,grass green,rgb,0,255,90,1,10,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,lime green,lime green,rgb,145,255,0,1,11,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,yellow,yellow,rgb,255,239,0,3,0,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,very light green,very light green,rgb,195,255,0,3,1,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,light red,light red,rgb,255,0,64,3,2,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,blue,blue,rgb,0,92,255,3,3,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,bright red,bright red,rgb,255,0,27,3,4,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,pastel green,pastel green,rgb,0,255,172,3,5,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,light yellow,light yellow,rgb,254,255,0,3,6,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,purple,purple,rgb,218,0,255,3,7,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,light blue,light blue,rgb,0,211,255,3,8,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,dark pastel green,dark pastel green,rgb,0,255,147,3,9,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,dark orange,dark orange,rgb,255,133,0,3,10,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,light brown,light brown,rgb,255,170,0,3,11,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,ret,ret,rgb,0,56,255,6,0,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,ret,ret,rgb,255,115,0,6,1,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,ret,ret,rgb,0,156,255,6,2,line,white,en,,1.1.2,
7454,nl,"Dutch (Nederlands, Vlaams)",,ret,ret,rgb,0,255,225,6,3,line,white,en,,1.1.2,
