participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
6002,sv,Swedish (svenska),,magenta,magenta,rgb,255,0,255,1,11,line,white,en,,1.1.2,
6565,sv,Swedish (svenska),,magenta,magenta,rgb,255,0,156,6,5,line,white,en,,1.1.2,
6746,sv,Swedish (svenska),,magenta,Magenta,rgb,255,0,138,1,0,line,white,en,,1.1.2,
6746,sv,Swedish (svenska),,magenta,Magenta,rgb,255,0,102,3,9,line,white,en,,1.1.2,
6757,sv,Swedish (svenska),,cyan,CYAN,rgb,0,255,254,1,5,line,white,en,,1.1.2,
6996,sv,Swedish (svenska),,cyan,cyan,rgb,255,0,180,1,6,line,white,en,,1.1.2,
6996,sv,Swedish (svenska),,cyan,cyan,rgb,255,0,213,6,6,line,white,en,,1.1.2,
6996,sv,Swedish (svenska),,cyan,cyan,rgb,255,0,249,6,11,line,white,en,,1.1.2,
7340,sv,Swedish (svenska),,magenta,magenta,rgb,255,0,225,3,1,line,white,en,,1.1.2,
7340,sv,Swedish (svenska),,magenta,magenta,rgb,255,0,151,6,2,line,white,en,,1.1.2,
9018,sv,Swedish (svenska),,magenta,magenta,rgb,255,0,241,3,6,line,white,en,,1.1.2,
9018,sv,Swedish (svenska),,magenta,magenta,rgb,232,0,255,6,11,line,white,en,,1.1.2,
9507,sv,Swedish (svenska),,magenta,magenta,rgb,222,0,255,3,8,line,white,en,,1.1.2,
9507,sv,Swedish (svenska),,magenta,magenta,rgb,255,0,237,6,10,line,white,en,,1.1.2,
9546,sv,Swedish (svenska),,magenta,Magenta,rgb,255,0,205,1,1,line,white,en,,1.1.2,
9546,sv,Swedish (svenska),,magenta,Magenta,rgb,255,0,250,3,3,line,white,en,,1.1.2,
9553,sv,Swedish (svenska),,magenta,magenta,rgb,255,0,89,3,5,line,white,en,,1.1.2,
9553,sv,Swedish (svenska),,cyan,cyan,rgb,0,250,255,3,6,line,white,en,,1.1.2,
9553,sv,Swedish (svenska),,cyan,cyan,rgb,0,255,225,6,0,line,white,en,,1.1.2,
9751,sv,Swedish (svenska),,cyan,Cyan,rgb,0,255,188,1,6,line,white,en,,1.1.2,
9751,sv,Swedish (svenska),,magenta,Magenta,rgb,255,0,68,1,10,line,white,en,,1.1.2,
9751,sv,Swedish (svenska),,magenta,Magenta,rgb,255,0,146,6,5,line,white,en,,1.1.2,
9751,sv,Swedish (svenska),,magenta,Magenta,rgb,255,0,113,6,8,line,white,en,,1.1.2,
9751,sv,Swedish (svenska),,magenta,Magenta,rgb,255,0,87,6,9,line,white,en,,1.1.2,
9963,sv,Swedish (svenska),,magenta,magenta,rgb,213,0,255,1,11,line,white,en,,1.1.2,
9963,sv,Swedish (svenska),,magenta,magenta,rgb,255,0,221,3,5,line,white,en,,1.1.2,
9963,sv,Swedish (svenska),,magenta,magenta,rgb,255,0,177,3,8,line,white,en,,1.1.2,
9963,sv,Swedish (svenska),,magenta,magenta,rgb,255,0,249,6,8,line,white,en,,1.1.2,
12297,sv,Swedish (svenska),,magenta,Magenta,rgb,194,30,116,3,7,full,white,en,,1.1.3,
14370,sv,Swedish (svenska),,magenta,Magenta,rgb,125,33,127,1,10,full,white,en,,1.1.4,
14370,sv,Swedish (svenska),,magenta,Magenta,rgb,187,27,113,3,6,full,white,en,,1.1.4,
14374,sv,Swedish (svenska),,magenta,Magenta,rgb,211,21,117,1,8,full,white,en,,1.1.4,
0,sv,Swedish (svenska),,magenta,Magenta,rgb,218,60,154,6,3,full,white,en,,1.1.5,
0,sv,Swedish (svenska),,magenta,Magenta,rgb,183,60,212,1,9,full,white,en,,1.1.5,
0,sv,Swedish (svenska),,blue,blue,rgb,0,15,255,1,1,line,white,en,,1.1.5,
0,sv,Swedish (svenska),,purple,purple,rgb,253,0,255,1,5,line,white,en,,1.1.5,
0,sv,Swedish (svenska),,green,green,rgb,0,255,85,1,6,line,white,en,,1.1.5,
0,sv,Swedish (svenska),,magenta,magenta,rgb,158,56,138,3,5,full,white,en,,1.1.5,
0,sv,Swedish (svenska),,magenta,magenta,rgb,247,54,185,6,9,full,white,en,,1.1.5,
17476,sv,Swedish (svenska),,magenta,magenta,rgb,72,27,31,3,5,full,white,en,,1.1.5,
18721,sv,Swedish (svenska),,magenta,Magenta,rgb,185,34,148,1,0,full,white,en,,1.1.5,
ec96c00b-548a-47e0-8dfc-d9f36e1a3755,sv,Swedish (svenska),,cyan,Cyan,p3,0.550406,0.883186,0.967304,1,7,full,white,en,en,2.1.2,
ec96c00b-548a-47e0-8dfc-d9f36e1a3755,sv,Swedish (svenska),,magenta,Magenta,p3,0.692641,0.272264,0.57948,1,8,full,white,en,en,2.1.2,
ec96c00b-548a-47e0-8dfc-d9f36e1a3755,sv,Swedish (svenska),,magenta,Magenta,p3,0.995791,0.292246,0.432945,3,3,full,white,en,en,2.1.2,
0177fb30-b9b9-4cae-847f-c66f3683ead9,sv,Swedish (svenska),,cyan,cyan,rgb,212,251,229,3,2,full,white,en,en,2.1.2,
0177fb30-b9b9-4cae-847f-c66f3683ead9,sv,Swedish (svenska),,magenta,magenta,rgb,208,55,181,3,10,full,white,en,en,2.1.2,
44eb19eb-ed3b-4ddf-a177-9b97fab0f33c,sv,Swedish (svenska),,magenta,Magenta,p3,0.36999,0.106475,0.44155,1,4,full,white,en,sv,2.1.2,
