participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
f24ad0a1-0ed1-496e-a76a-d382f28c70ab,ta,Tamil (தமிழ்),,--,---,rgb,159,137,180,3,10,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,light green,Light green,p3,0.698894,0.904786,0.586083,1,0,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,dark grean,Dark grean,p3,0.332154,0.398728,0.187164,1,1,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,purple,Purple,p3,0.235882,0.134237,0.825637,1,2,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,light blue,Light blue,p3,0.729699,0.833267,0.885794,1,3,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,red,Red,p3,0.406021,0.114208,0.058815,1,4,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,blue,Blue,p3,0.205537,0.525165,0.855916,1,5,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,green,Green,p3,0.54346,0.562811,0.293666,1,6,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,purple,Purple,p3,0.576745,0.229064,0.620103,1,7,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,magenta,Magenta,p3,0.88802,0.166051,0.687559,1,8,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,green,Green,p3,0.146367,0.984756,0.542944,1,9,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,magenta,Magenta,p3,0.789658,0.129104,0.45352,1,10,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,blue,Blue,p3,0.468322,0.73671,0.830069,1,11,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,pink,Pink,p3,0.986405,0.743176,0.658894,3,0,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,yellow,Yellow,p3,0.863849,0.833347,0.007631,3,1,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,pink,Pink,p3,0.858144,0.577281,0.459607,3,2,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,green,Green,p3,0.713676,0.713809,0.29703,3,3,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,purple,Purple,p3,0.699264,0.172247,0.929484,3,4,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,purple,Purple,p3,0.473987,0.220164,0.926914,3,5,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,blue,Blue,p3,0.083206,0.320929,0.524048,3,6,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,blue,Blue,p3,0.358326,0.99195,0.965712,3,7,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,blue,Blue,p3,0.574426,0.596434,0.82526,3,8,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,purple,Purple,p3,0.869776,0.43628,0.681213,3,9,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,red,Red,p3,0.593358,0.034125,0.21835,3,10,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,blue,Blue,p3,0.31636,0.493315,0.506408,3,11,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,ref,Ref,p3,0.742873,0.372622,0.476173,5,0,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,gree,Gree,p3,0.144938,0.519787,0.078644,5,1,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,magrnta,Magrnta,p3,0.863994,0.340714,0.985832,5,2,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,pink,Pink,p3,0.947131,0.69235,0.96146,5,3,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,brien,Brien,p3,0.559666,0.356117,0.345407,5,4,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,green,Green,p3,0.420995,0.633222,0.587121,5,5,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,btoem,Btoem,p3,0.402093,0.135395,0.371056,5,6,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,purple,Purple,p3,0.238413,0.14172,0.560548,5,7,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,green,Green,p3,0.138579,0.274751,0.292632,5,8,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,black,Black,p3,0.132028,0.045507,0.084116,5,9,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,green,Green,p3,0.363521,0.846169,0.173249,5,10,full,white,en,en,2.1.2,
aa9e63e3-bb12-4b4a-848c-f72f8fda6505,ta,Tamil (தமிழ்),,btowm,Btowm,p3,0.603378,0.515626,0.545289,5,11,full,white,en,en,2.1.2,
