participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
ee766f3d-94c2-4de0-a61e-0f8c92c916bc,te,Telugu (తెలుగు),,pink,Pink,rgb,216,93,222,1,0,full,white,en,en,2.1.2,
ee766f3d-94c2-4de0-a61e-0f8c92c916bc,te,Telugu (తెలుగు),,purple,Purple,rgb,30,13,71,1,1,full,white,en,en,2.1.2,
6f3149b3-52e4-4be2-9a81-1b5dec6c9881,te,Telugu (తెలుగు),,purple,Purple,rgb,79,2,64,1,0,full,white,en,en,2.1.2,
6f3149b3-52e4-4be2-9a81-1b5dec6c9881,te,Telugu (తెలుగు),,purple,Purple,rgb,70,11,119,1,1,full,white,en,en,2.1.2,
6f3149b3-52e4-4be2-9a81-1b5dec6c9881,te,Telugu (తెలుగు),,purple,Purple,rgb,171,137,190,1,8,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,purple,purple,rgb,161,7,145,1,0,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,mustard,mustard,rgb,225,179,83,1,1,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,green,green,rgb,196,223,205,1,2,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,violet,violet,rgb,106,54,148,1,3,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,dark blue,dark blue,rgb,26,16,94,1,4,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,peach,peach,rgb,213,143,140,1,5,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,blue,blue,rgb,124,142,216,1,6,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,skin,skin,rgb,249,217,175,1,7,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,navy blue,navy blue,rgb,10,31,44,1,8,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,maroon,maroon,rgb,117,20,61,1,9,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,pink,pink,rgb,218,123,181,1,10,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,pale,pale,rgb,219,152,185,1,11,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,brick,brick,rgb,169,86,109,3,0,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,grey,grey,rgb,156,165,175,3,1,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,90,57,82,3,2,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,115,106,255,3,3,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,176,87,225,3,4,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,161,109,112,3,5,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,162,191,111,3,6,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,197,67,114,3,7,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,68,16,29,3,8,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,49,158,80,3,9,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,163,168,120,3,10,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,146,82,100,3,11,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,187,179,121,5,0,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,121,59,67,5,1,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,185,85,215,5,2,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,133,165,132,5,3,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,178,160,181,5,5,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,150,148,33,5,6,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,148,119,89,5,7,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,v,V,rgb,250,198,218,5,10,full,white,en,en,2.1.2,
04129097-494e-4f38-98c6-4ad0d40cdc33,te,Telugu (తెలుగు),,na,NA,rgb,184,218,228,5,11,full,white,en,en,2.1.2,
44c38b49-8a4a-47a6-a396-df06223f36bb,te,Telugu (తెలుగు),,purple,Purple,rgb,72,50,105,1,6,full,white,en,en,2.1.2,
44c38b49-8a4a-47a6-a396-df06223f36bb,te,Telugu (తెలుగు),,purple,Purple,rgb,46,35,112,3,4,full,white,en,en,2.1.2,
44c38b49-8a4a-47a6-a396-df06223f36bb,te,Telugu (తెలుగు),,purple,Purple,rgb,102,30,164,5,6,full,white,en,en,2.1.2,
44c38b49-8a4a-47a6-a396-df06223f36bb,te,Telugu (తెలుగు),,pink,Pink,rgb,222,120,147,5,7,full,white,en,en,2.1.2,
44c38b49-8a4a-47a6-a396-df06223f36bb,te,Telugu (తెలుగు),,purple,Purple,rgb,148,95,178,5,8,full,white,en,en,2.1.2,
9b561b26-47bd-4bb5-bc80-56bfe8e2e065,te,Telugu (తెలుగు),,pink,Pink,rgb,244,187,246,1,1,full,white,en,en,2.1.2,
9b561b26-47bd-4bb5-bc80-56bfe8e2e065,te,Telugu (తెలుగు),,purple,Purple,rgb,122,50,212,1,2,full,white,en,en,2.1.2,
0ccd4147-cadb-496b-af13-cf4684894118,te,Telugu (తెలుగు),,pink,Pink,rgb,240,44,236,1,2,full,white,en,en,2.1.2,
5b2505c6-2964-4aae-b729-71374f184959,te,Telugu (తెలుగు),,pink,Pink,rgb,252,116,199,5,6,full,white,en,en,2.1.2,
5b2505c6-2964-4aae-b729-71374f184959,te,Telugu (తెలుగు),,pink,Pink,rgb,218,152,253,5,9,full,white,en,en,2.1.2,
c6f273d9-741f-418a-b846-dd4aad078f7a,te,Telugu (తెలుగు),,pink,Pink,rgb,209,80,188,1,3,full,white,en,en,2.1.2,
c6f273d9-741f-418a-b846-dd4aad078f7a,te,Telugu (తెలుగు),,purple,Purple,rgb,120,35,130,1,7,full,white,en,en,2.1.2,
c6f273d9-741f-418a-b846-dd4aad078f7a,te,Telugu (తెలుగు),,pink,Pink,rgb,244,71,191,1,10,full,white,en,en,2.1.2,
c6f273d9-741f-418a-b846-dd4aad078f7a,te,Telugu (తెలుగు),,purple,Purple,rgb,164,93,170,3,0,full,white,en,en,2.1.2,
c6f273d9-741f-418a-b846-dd4aad078f7a,te,Telugu (తెలుగు),,pink,Pink,rgb,219,63,174,3,3,full,white,en,en,2.1.2,
c6f273d9-741f-418a-b846-dd4aad078f7a,te,Telugu (తెలుగు),,purple,Purple,rgb,113,52,117,3,5,full,white,en,en,2.1.2,
c6f273d9-741f-418a-b846-dd4aad078f7a,te,Telugu (తెలుగు),,pink,Pink,rgb,179,116,133,3,6,full,white,en,en,2.1.2,
c6f273d9-741f-418a-b846-dd4aad078f7a,te,Telugu (తెలుగు),,pink,Pink,rgb,196,61,211,5,2,full,white,en,en,2.1.2,
c6f273d9-741f-418a-b846-dd4aad078f7a,te,Telugu (తెలుగు),,pink,Pink,rgb,230,96,138,5,5,full,white,en,en,2.1.2,
c6f273d9-741f-418a-b846-dd4aad078f7a,te,Telugu (తెలుగు),,pink,Pink,rgb,241,63,185,5,6,full,white,en,en,2.1.2,
