participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,99,255,1,0,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,59,255,1,1,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,255,143,0,1,2,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,255,71,0,1,3,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,255,0,75,1,4,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,123,0,255,1,5,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,255,200,1,6,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,255,165,1,7,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,51,255,0,1,8,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,232,255,1,9,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,167,255,1,10,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,255,154,1,11,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,255,0,42,3,0,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,red,Red,rgb,242,255,0,3,1,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,255,0,185,3,2,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,5,255,0,3,3,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,255,113,3,4,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,255,0,213,3,5,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,228,0,255,3,6,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,255,0,82,3,7,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,poo,Poo,rgb,255,226,0,3,8,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,214,0,255,3,9,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,255,0,160,3,10,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,177,255,0,3,11,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,blue,Blue,rgb,255,209,0,6,0,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,211,255,6,1,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,126,255,6,2,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,255,157,0,6,3,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,203,255,6,4,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,255,82,0,6,5,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,brown,Brown,rgb,228,255,0,6,6,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,255,241,6,7,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,157,255,6,8,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,255,0,127,6,9,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,90,255,6,10,line,white,en,1.1.2,
6759,ur,Urdu (اردو),,yellow,Yellow,rgb,0,29,255,6,11,line,white,en,1.1.2,
