participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
8359,vi,Vietnamese (Tiếng Việt),,colbalt,colbalt,rgb,0,58,255,1,0,line,white,en,1.1.2,
8359,vi,Vietnamese (Tiếng Việt),,true blue,true blue,rgb,0,183,255,1,1,line,white,en,1.1.2,
8359,vi,Vietnamese (Tiếng Việt),,clementine,clementine,rgb,255,180,0,1,2,line,white,en,1.1.2,
8359,vi,Vietnamese (Tiếng Việt),,violet,violet,rgb,185,0,255,1,3,line,white,en,1.1.2,
8359,vi,Vietnamese (Tiếng Việt),,blue,blue,rgb,0,119,255,1,4,line,white,en,1.1.2,
8359,vi,Vietnamese (Tiếng Việt),,indigo,indigo,rgb,112,0,255,1,5,line,white,en,1.1.2,
8359,vi,Vietnamese (Tiếng Việt),,orange,orange,rgb,255,90,0,1,6,line,white,en,1.1.2,
8359,vi,Vietnamese (Tiếng Việt),,aqua,aqua,rgb,0,240,255,1,7,line,white,en,1.1.2,
8359,vi,Vietnamese (Tiếng Việt),,orange,orange,rgb,255,139,0,1,8,line,white,en,1.1.2,
8359,vi,Vietnamese (Tiếng Việt),,green,green,rgb,224,255,0,1,9,line,white,en,1.1.2,
8359,vi,Vietnamese (Tiếng Việt),,fuchsia,Fuchsia,rgb,255,0,93,1,10,line,white,en,1.1.2,
8359,vi,Vietnamese (Tiếng Việt),,teal,teal,rgb,0,255,237,1,11,line,white,en,1.1.2,
