participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
4804,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,da hong s q色,da hong s q,rgb,255,0,43,3,8,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,red色,Red,rgb,255,0,25,1,0,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,light green色,light Green,rgb,0,255,127,1,1,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,blue色,Blue,rgb,0,63,255,1,2,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,purple色,Purple,rgb,0,23,255,1,3,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,yellow green色,Yellow-Green,rgb,134,255,0,1,5,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,blue色,Blue,rgb,0,156,255,1,6,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,orange色,Orange,rgb,255,122,0,1,7,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,pink色,Pink,rgb,255,0,108,1,8,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,light green色,Light Green,rgb,0,255,105,1,9,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,green色,Green,rgb,84,255,0,1,10,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,pink色,pink,rgb,255,0,211,3,0,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,green色,green,rgb,0,255,180,3,1,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,yellow orange色,yellow-orange,rgb,255,202,0,3,2,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,blue色,blue,rgb,0,108,255,3,3,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,blue色,blue,rgb,0,128,255,3,4,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,yellow色,yellow,rgb,255,233,0,3,5,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,red orange色,red-orange,rgb,255,86,0,3,6,line,white,en,,1.1.2,
4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",,light blue色,light blue,rgb,0,237,255,3,7,line,white,en,,1.1.2,
