lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Bulgarian (български език),bg,жълто,жълто,21,"rgb(255, 235, 0)",1,,,,
Bulgarian (български език),bg,зелено,зелено,25,"rgb(0, 255, 33)",7,,,,
Bulgarian (български език),bg,лилаво,лилаво,28,"rgb(195, 0, 255)",15,"rgb(169,62,228)",0.5900972307691089,0.1561706380608747,-0.18349329011156365
Bulgarian (български език),bg,магента,магента,7,"rgb(255, 0, 187)",3,,,,
Bulgarian (български език),bg,оранжев,оранжев,5,"rgb(255, 143, 0)",0,,,,
Bulgarian (български език),bg,оранжево,оранжево,21,"rgb(255, 136, 0)",1,,,,
Bulgarian (български език),bg,розово,розово,18,"rgb(255, 0, 175)",2,,,,
Bulgarian (български език),bg,светло зелено,светлозелено,9,"rgb(0, 255, 47)",5,,,,
Bulgarian (български език),bg,светло синьо,светлосиньо,15,"rgb(0, 215, 255)",1,,,,
Bulgarian (български език),bg,син,син,7,"rgb(0, 129, 255)",0,,,,
Bulgarian (български език),bg,синьо,синьо,52,"rgb(0, 143, 255)",5,,,,
Bulgarian (български език),bg,синьо зелено,синьозелено,5,"rgb(0, 255, 176)",1,,,,
Bulgarian (български език),bg,тъмно оранжево,тъмнооранжево,5,"rgb(255, 115, 0)",1,,,,
Bulgarian (български език),bg,тъмно синьо,тъмносиньо,18,"rgb(0, 60, 255)",4,,,,
Bulgarian (български език),bg,цикламено,цикламено,5,"rgb(255, 0, 166)",2,,,,
Bulgarian (български език),bg,червено,червено,19,"rgb(255, 0, 43)",6,,,,
