lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Catalan (català),ca,blau,blau,51,"rgb(0, 143, 255)",0,,,,
Catalan (català),ca,blau cel,blaucel,23,"rgb(0, 202, 255)",0,,,,
Catalan (català),ca,blau clar,blauclar,10,"rgb(0, 201, 255)",0,,,,
Catalan (català),ca,blau fosc,blaufosc,11,"rgb(0, 82, 255)",0,,,,
Catalan (català),ca,blau marí,blaumari,11,"rgb(0, 50, 255)",0,,,,
Catalan (català),ca,fucsia,fucsia,17,"rgb(255, 0, 179)",0,,,,
Catalan (català),ca,groc,groc,30,"rgb(255, 235, 0)",0,,,,
Catalan (català),ca,lila,lila,22,"rgb(172, 0, 255)",0,,,,
Catalan (català),ca,magenta,magenta,13,"rgb(255, 0, 170)",0,,,,
Catalan (català),ca,rosa,rosa,20,"rgb(255, 0, 174)",0,,,,
Catalan (català),ca,taronja,taronja,30,"rgb(255, 134, 0)",0,,,,
Catalan (català),ca,turquesa,turquesa,11,"rgb(0, 255, 238)",0,,,,
Catalan (català),ca,verd,verd,31,"rgb(0, 255, 77)",0,,,,
Catalan (català),ca,vermell,vermell,25,"rgb(255, 0, 17)",0,,,,
