lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
"Czech (čeština, český jazyk)",cs,červená,cervena,53,"rgb(255, 0, 45)",3,,,,
"Czech (čeština, český jazyk)",cs,fialová,fialova,50,"rgb(200, 0, 255)",12,"rgb(180,43,232)",0.5911807832376397,0.18389657070879875,-0.1919962406775787
"Czech (čeština, český jazyk)",cs,modrá,modra,108,"rgb(0, 140, 255)",10,,,,
"Czech (čeština, český jazyk)",cs,oranžová,oranzova,51,"rgb(255, 142, 0)",3,,,,
"Czech (čeština, český jazyk)",cs,růžová,ruzova,36,"rgb(255, 0, 182)",4,,,,
"Czech (čeština, český jazyk)",cs,světle modrá,svetlemodra,20,"rgb(0, 199, 255)",3,,,,
"Czech (čeština, český jazyk)",cs,světle zelená,svetlezelena,17,"rgb(0, 255, 63)",5,,,,
"Czech (čeština, český jazyk)",cs,tmavě modrá,tmavemodra,15,"rgb(0, 78, 255)",5,,,,
"Czech (čeština, český jazyk)",cs,tyrkysová,tyrkysova,32,"rgb(0, 255, 241)",3,,,,
"Czech (čeština, český jazyk)",cs,zelená,zelena,69,"rgb(0, 255, 73)",6,,,,
"Czech (čeština, český jazyk)",cs,žlutá,zluta,42,"rgb(255, 236, 0)",1,,,,
"Czech (čeština, český jazyk)",cs,žlutozelená,zlutozelena,7,"rgb(199, 255, 0)",1,,,,
