lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
German (Deutsch),de,altrosa,altrosa,0,,22,"rgb(192,122,155)",0.6632464623617076,0.0953918700561903,-0.0157333617164783
German (Deutsch),de,babyblau,babyblau,6,"rgb(0, 198, 255)",9,,,,
German (Deutsch),de,beige,beige,1,,55,"rgb(218,196,147)",0.8256323007136631,0.004317317888782827,0.06899977431794407
German (Deutsch),de,blassgrün,blassgrun,4,,17,"rgb(132,214,137)",0.8030757867377909,-0.10992175860435087,0.07544348407381454
German (Deutsch),de,blau,blau,305,"rgb(0, 120, 255)",267,"rgb(39,117,235)",0.5815123070897966,-0.036101284282693206,-0.19018306754542716
German (Deutsch),de,blaugrau,blaugrau,1,,15,"rgb(112,144,176)",0.6407179900507873,-0.02123712386520568,-0.05633820662157667
German (Deutsch),de,blaugrün,blaugrun,5,"rgb(0, 255, 200)",17,"rgb(47,171,141)",0.6674947132953107,-0.11483452956197839,0.014599587581593338
German (Deutsch),de,braun,braun,0,,154,"rgb(138,90,55)",0.5122890403267504,0.04568766683137749,0.06709056138052867
German (Deutsch),de,dunkelblau,dunkelblau,71,"rgb(0, 55, 255)",115,"rgb(32,59,175)",0.41537816342181894,-0.009174804714369777,-0.1863395042920664
German (Deutsch),de,dunkelbraun,dunkelbraun,0,,39,"rgb(80,44,32)",0.3362130826279428,0.04534386334668697,0.035982524254955954
German (Deutsch),de,dunkelgelb,dunkelgelb,13,"rgb(255, 206, 0)",7,,,,
German (Deutsch),de,dunkelgrau,dunkelgrau,0,,15,"rgb(70,75,76)",0.40822246639137705,-0.005278777058722673,-0.004528141023591743
German (Deutsch),de,dunkelgrün,dunkelgrun,0,,116,"rgb(42,100,53)",0.4511282793166617,-0.08210434465930344,0.051746770452516244
German (Deutsch),de,dunkellila,dunkellila,5,"rgb(123, 0, 255)",36,"rgb(95,47,132)",0.41151605341705344,0.08458083079489796,-0.11019605257632083
German (Deutsch),de,dunkelorange,dunkelorange,16,"rgb(255, 108, 0)",6,,,,
German (Deutsch),de,dunkelrosa,dunkelrosa,1,,14,"rgb(203,93,157)",0.6326236494206553,0.1537572721872111,-0.03655644638714391
German (Deutsch),de,dunkelrot,dunkelrot,4,,36,"rgb(144,34,49)",0.4348219361815067,0.13728432490697634,0.045144274828051625
German (Deutsch),de,dunkeltürkis,dunkelturkis,0,,12,"rgb(57,144,146)",0.6031652367888559,-0.07885857757321986,-0.024372596678426058
German (Deutsch),de,dunkelviolett,dunkelviolett,0,,25,"rgb(84,42,101)",0.36844341156306526,0.07605438966176725,-0.0757941383251554
German (Deutsch),de,flieder,flieder,5,"rgb(251, 0, 255)",37,"rgb(183,128,202)",0.6810189329653339,0.0883647199479236,-0.0821612171195831
German (Deutsch),de,fuchsia,fuchsia,8,"rgb(255, 0, 151)",12,"rgb(215,42,136)",0.5921291696298685,0.2171048552538664,-0.02429145182679167
German (Deutsch),de,gelb,gelb,139,"rgb(255, 238, 0)",66,"rgb(244,229,43)",0.9058153344206651,-0.044863885948641435,0.17719002363281444
German (Deutsch),de,gelbgrün,gelbgrun,18,"rgb(196, 255, 0)",28,"rgb(194,229,61)",0.868325600468511,-0.09731900643906806,0.16135218857019443
German (Deutsch),de,giftgrün,giftgrun,16,"rgb(102, 255, 0)",20,"rgb(114,244,74)",0.8620064050095229,-0.17903132309962155,0.15390292058558072
German (Deutsch),de,grasgrün,grasgrun,9,"rgb(114, 255, 0)",50,"rgb(105,198,72)",0.7424876809835241,-0.13905103290429158,0.12297165637048708
German (Deutsch),de,grau,grau,0,,59,"rgb(135,140,143)",0.6373202568966897,-0.0051395414676106725,-0.005357395032668787
German (Deutsch),de,graublau,graublau,0,,20,"rgb(119,148,179)",0.6548162242565339,-0.018364824548105597,-0.053851379208959285
German (Deutsch),de,graubraun,graubraun,0,,19,"rgb(122,106,93)",0.5350626349117249,0.014072704520480553,0.025190688209407022
German (Deutsch),de,graugrün,graugrun,0,,23,"rgb(114,144,119)",0.6237954834750258,-0.043791436110649104,0.025364000080652423
German (Deutsch),de,grün,grun,182,"rgb(0, 255, 57)",282,"rgb(93,207,88)",0.7636854576730137,-0.15150965059694352,0.11518524244558598
German (Deutsch),de,grüngelb,grungelb,11,"rgb(188, 255, 0)",9,,,,
German (Deutsch),de,grün türkis,grunturkis,6,"rgb(0, 255, 160)",1,,,,
German (Deutsch),de,hautfarben,hautfarben,0,,13,"rgb(239,201,175)",0.8605728734133009,0.031154204805387477,0.04568237467872511
German (Deutsch),de,hellblau,hellblau,131,"rgb(0, 206, 255)",97,"rgb(70,198,244)",0.7763342428104927,-0.08793164392422959,-0.09231287198352256
German (Deutsch),de,hellbraun,hellbraun,2,,31,"rgb(188,138,88)",0.6708174860985228,0.03892499894669256,0.0818050861362382
German (Deutsch),de,hellgrün,hellgrun,86,"rgb(0, 255, 38)",129,"rgb(126,236,106)",0.8483860147232343,-0.15241316110956457,0.12492621189492326
German (Deutsch),de,helllila,helllila,4,,17,"rgb(187,122,233)",0.6904016193385096,0.10730079265952479,-0.12978243557376476
German (Deutsch),de,hellorange,hellorange,6,"rgb(255, 157, 0)",5,,,,
German (Deutsch),de,hellrot,hellrot,7,"rgb(255, 0, 45)",10,,,,
German (Deutsch),de,helltürkis,hellturkis,4,,13,"rgb(135,246,211)",0.8982214779322137,-0.11367618708978698,0.018434835302994147
German (Deutsch),de,himmelblau,himmelblau,38,"rgb(0, 174, 255)",29,"rgb(59,177,246)",0.7266155124441884,-0.07348637194063416,-0.12265414240337744
German (Deutsch),de,königsblau,konigsblau,20,"rgb(0, 54, 255)",18,"rgb(36,60,223)",0.46694736604875936,-0.010920482952078153,-0.2430074719531091
German (Deutsch),de,lavendel,lavendel,1,,22,"rgb(165,133,207)",0.6741373047233659,0.06096207894664283,-0.09310884742045679
German (Deutsch),de,lila,lila,152,"rgb(205, 0, 255)",254,"rgb(164,68,208)",0.5767763669092851,0.1464378305148532,-0.15546665087325176
German (Deutsch),de,lilapink,lilapink,5,"rgb(255, 0, 239)",1,,,,
German (Deutsch),de,limette,limette,5,"rgb(159, 255, 0)",9,,,,
German (Deutsch),de,limettengrün,limettengrun,7,"rgb(115, 255, 0)",7,,,,
German (Deutsch),de,magenta,magenta,60,"rgb(255, 0, 179)",49,"rgb(232,47,173)",0.6378974560583491,0.23526849299095032,-0.0649172949915203
German (Deutsch),de,marineblau,marineblau,11,"rgb(0, 59, 255)",12,"rgb(32,60,190)",0.4317523236477114,-0.011015929180117609,-0.203679804557013
German (Deutsch),de,mint,mint,9,"rgb(0, 255, 195)",10,,,,
German (Deutsch),de,mintgrün,mintgrun,2,,16,"rgb(106,221,161)",0.8132684945465968,-0.12686971985016537,0.049868097373702
German (Deutsch),de,mittelblau,mittelblau,17,"rgb(0, 129, 255)",12,"rgb(32,124,231)",0.5936674723086529,-0.044760002781221116,-0.17629146353961642
German (Deutsch),de,neonblau,neonblau,9,"rgb(0, 217, 255)",0,,,,
German (Deutsch),de,neongelb,neongelb,7,"rgb(217, 255, 0)",2,,,,
German (Deutsch),de,neongrün,neongrun,39,"rgb(0, 255, 32)",45,"rgb(98,245,81)",0.8580534197224852,-0.18697664590027413,0.14816989452597332
German (Deutsch),de,neonpink,neonpink,6,"rgb(255, 0, 208)",9,,,,
German (Deutsch),de,ocker,ocker,7,"rgb(255, 195, 0)",49,"rgb(202,161,61)",0.7297473576229786,0.00841006073978159,0.1248061105639391
German (Deutsch),de,okker,okker,5,"rgb(255, 176, 0)",4,,,,
German (Deutsch),de,olivgrün,olivgrun,0,,27,"rgb(125,146,57)",0.6254678884607044,-0.06167224927387239,0.10097678130595746
German (Deutsch),de,orange,orange,208,"rgb(255, 142, 0)",109,"rgb(248,138,30)",0.738056771657589,0.09163427505832064,0.14293842011343805
German (Deutsch),de,petrol,petrol,0,,25,"rgb(49,133,134)",0.5671501543614762,-0.07631422021128934,-0.02215473776256097
German (Deutsch),de,pink,pink,175,"rgb(255, 0, 173)",171,"rgb(242,56,178)",0.662006739734336,0.2379418465038466,-0.060499274977317885
German (Deutsch),de,pinkrot,pinkrot,7,"rgb(255, 0, 95)",4,,,,
German (Deutsch),de,purpur,purpur,4,,15,"rgb(170,52,128)",0.5231898305835344,0.16706658920412393,-0.04407828596073263
German (Deutsch),de,rosa,rosa,32,"rgb(255, 0, 171)",110,"rgb(236,115,182)",0.7166570383163225,0.16303202565851155,-0.03487877696303982
German (Deutsch),de,rot,rot,178,"rgb(255, 0, 35)",144,"rgb(236,44,55)",0.6112977624149616,0.20353549136045548,0.09375731634156022
German (Deutsch),de,rotbraun,rotbraun,0,,32,"rgb(149,57,54)",0.47171453499984317,0.11363653533906899,0.05254503146567335
German (Deutsch),de,rot orange,rotorange,8,"rgb(255, 76, 0)",3,,,,
German (Deutsch),de,schwarz,schwarz,0,,82,"rgb(29,26,28)",0.22037841364725105,0.00585321346199949,-0.0031555871746270178
