lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
English (English),en,acid green,acidgreen,12,"rgb(152, 255, 0)",14,"rgb(160,242,50)",0.8742566771535893,-0.1466322064650145,0.16861493936296773
English (English),en,amber,amber,19,"rgb(255, 165, 0)",32,"rgb(222,143,42)",0.7143046635640933,0.056446630227776295,0.13261943330468692
English (English),en,amethyst,amethyst,2,,28,"rgb(153,79,196)",0.5676289871491805,0.11983262802445686,-0.1380176192731888
English (English),en,apple green,applegreen,21,"rgb(0, 255, 46)",64,"rgb(108,214,81)",0.7852031927822329,-0.15063099273690286,0.12734248244280647
English (English),en,apricot,apricot,3,,33,"rgb(240,180,119)",0.8121378572591582,0.042514987599859104,0.09577263830081367
English (English),en,aqua,aqua,525,"rgb(0, 255, 253)",756,"rgb(61,221,210)",0.8162934346948955,-0.1279905573032074,-0.01765236004355013
English (English),en,aqua blue,aquablue,48,"rgb(0, 241, 255)",70,"rgb(52,211,227)",0.7967603789489458,-0.11411560106909534,-0.053835389479338615
English (English),en,aqua green,aquagreen,16,"rgb(0, 255, 169)",39,"rgb(66,216,157)",0.788072841265686,-0.14453977718817337,0.04536662084095335
English (English),en,aquamarine,aquamarine,141,"rgb(0, 255, 245)",280,"rgb(58,212,194)",0.7870443834878521,-0.12646728150102649,-0.008443677123950272
English (English),en,army,army,0,,14,"rgb(98,112,50)",0.5197454220111845,-0.04389403447433983,0.07645784227763151
English (English),en,army green,armygreen,0,,382,"rgb(103,122,57)",0.5490746891327722,-0.050566164955018034,0.07820359242854612
English (English),en,asparagus,asparagus,0,,15,"rgb(139,176,87)",0.7094235774463488,-0.07549444152176356,0.09776370366968307
English (English),en,aubergine,aubergine,0,,47,"rgb(94,39,89)",0.3704053980359156,0.09327019999952617,-0.051883342687437585
English (English),en,auburn,auburn,2,,25,"rgb(171,83,52)",0.5442180747888609,0.09583484761345767,0.07914604707650806
English (English),en,avocado,avocado,0,,33,"rgb(150,188,84)",0.7451064936862092,-0.08244497104168394,0.11214349305447843
