lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Spanish (español),es,aguamarina,aguamarina,23,"rgb(0, 255, 237)",19,"rgb(58,219,199)",0.8064142763609974,-0.1314608667293587,-0.006015411721400856
Spanish (español),es,amarillo,amarillo,158,"rgb(255, 240, 0)",86,"rgb(244,229,46)",0.9066787165587991,-0.04627895679228267,0.17656286036090826
Spanish (español),es,amarillo limón,amarillolimon,5,"rgb(250, 255, 0)",2,,,,
Spanish (español),es,amarillo oscuro,amarillooscuro,6,"rgb(255, 204, 0)",1,,,,
Spanish (español),es,amarillo verdoso,amarilloverdoso,5,"rgb(221, 255, 0)",13,"rgb(210,226,76)",0.8726406516042413,-0.07238696031624728,0.15329671436523298
Spanish (español),es,anaranjado,anaranjado,16,"rgb(255, 144, 0)",14,"rgb(244,133,40)",0.725084847628242,0.09687028950836406,0.13549735428271323
Spanish (español),es,aqua,aqua,12,"rgb(0, 255, 219)",7,,,,
Spanish (español),es,azul,azul,324,"rgb(0, 129, 255)",348,"rgb(38,120,226)",0.5818094143369729,-0.04015812084641605,-0.17434851002346421
Spanish (español),es,azul celeste,azulceleste,8,"rgb(0, 182, 255)",11,,,,
Spanish (español),es,azul cielo,azulcielo,30,"rgb(0, 196, 255)",42,"rgb(84,188,239)",0.7547740947266487,-0.07277370663418582,-0.09583801661697079
Spanish (español),es,azul claro,azulclaro,47,"rgb(0, 174, 255)",25,"rgb(61,173,244)",0.7169426737544283,-0.06943689510108451,-0.12430980950753301
Spanish (español),es,azul eléctrico,azulelectrico,14,"rgb(0, 70, 255)",20,"rgb(36,64,225)",0.4767028808157273,-0.01238598225524046,-0.2413905060664718
Spanish (español),es,azul marino,azulmarino,25,"rgb(0, 68, 255)",70,"rgb(30,57,154)",0.39058885088563045,-0.00922178136280202,-0.1607026654746664
Spanish (español),es,azul oscuro,azuloscuro,25,"rgb(0, 61, 255)",53,"rgb(32,59,171)",0.4121421513771439,-0.009760171841172643,-0.18019120609731212
Spanish (español),es,azul rey,azulrey,21,"rgb(0, 70, 255)",22,"rgb(31,75,228)",0.495004166197728,-0.01916498789810905,-0.2340909534018334
Spanish (español),es,azul turquesa,azulturquesa,10,"rgb(0, 255, 252)",9,,,,
Spanish (español),es,azul verdoso,azulverdoso,0,,12,"rgb(87,156,163)",0.6499719401633545,-0.06397429197000613,-0.029039383669407216
Spanish (español),es,beige,beige,1,,27,"rgb(209,197,150)",0.8221152810369343,-0.005785009817117502,0.06327883287009752
Spanish (español),es,cafe,cafe,0,,74,"rgb(133,87,59)",0.5013290279728152,0.04501242608959266,0.05776336672430038
Spanish (español),es,celeste,celeste,73,"rgb(0, 214, 255)",71,"rgb(74,204,239)",0.7882883293627525,-0.09345953471850595,-0.07760370338974286
Spanish (español),es,crema,crema,0,,12,"rgb(233,202,164)",0.856701243026806,0.01796689911006828,0.0585782397233778
Spanish (español),es,cian,cyan,49,"rgb(0, 241, 255)",27,"rgb(51,220,230)",0.817637177656338,-0.12125733707146741,-0.04715968293517552
Spanish (español),es,fucsia,fucsia,97,"rgb(255, 0, 179)",83,"rgb(233,45,173)",0.63783965749804,0.23682608412815737,-0.06345044446204703
Spanish (español),es,granate,granate,0,,16,"rgb(119,31,51)",0.3871433775481888,0.11815311032654824,0.0253117784834086
Spanish (español),es,gris,gris,0,,95,"rgb(139,147,148)",0.6565063264475567,-0.008099952460422773,-0.00420422765178417
Spanish (español),es,gris oscuro,grisoscuro,0,,12,"rgb(93,101,114)",0.503622151032672,-0.00357067236150165,-0.02284121321674873
Spanish (español),es,indigo,indigo,3,,12,"rgb(63,69,192)",0.4645078930043797,0.014151041278810138,-0.18779747182142836
Spanish (español),es,lavanda,lavanda,0,,16,"rgb(177,151,225)",0.7261644607040489,0.054389841170485106,-0.09497804152862954
Spanish (español),es,lila,lila,18,"rgb(227, 0, 255)",105,"rgb(178,114,217)",0.6601403742824893,0.10535417633779123,-0.1198853842749291
Spanish (español),es,lila oscuro,lilaoscuro,0,,13,"rgb(152,103,186)",0.5985539575111427,0.08485014878354152,-0.10016898024181946
Spanish (español),es,lima,lima,12,"rgb(160, 255, 0)",19,"rgb(151,241,77)",0.8699964880317144,-0.14707663892496128,0.1531308770737455
Spanish (español),es,magenta,magenta,72,"rgb(255, 0, 186)",71,"rgb(226,50,172)",0.6298073846219908,0.22769418870995614,-0.0671973704655493
Spanish (español),es,malva,malva,0,,12,"rgb(185,117,186)",0.6570363172604642,0.10392653469668593,-0.06927783436507377
Spanish (español),es,marrón,marron,0,,121,"rgb(130,80,51)",0.48124203436568536,0.05082564499387363,0.060531559928026564
