lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
"Estonian (eesti, eesti keel)",et,erkroheline,erkroheline,7,"rgb(61, 255, 0)",0,,,,
"Estonian (eesti, eesti keel)",et,heleroheline,heleroheline,8,"rgb(15, 255, 0)",1,,,,
"Estonian (eesti, eesti keel)",et,helesinine,helesinine,26,"rgb(0, 202, 255)",1,,,,
"Estonian (eesti, eesti keel)",et,kollane,kollane,18,"rgb(255, 240, 0)",0,,,,
"Estonian (eesti, eesti keel)",et,lilla,lilla,17,"rgb(229, 0, 255)",9,,,,
"Estonian (eesti, eesti keel)",et,oranž,oranz,23,"rgb(255, 136, 0)",0,,,,
"Estonian (eesti, eesti keel)",et,punane,punane,15,"rgb(255, 0, 17)",1,,,,
"Estonian (eesti, eesti keel)",et,roheline,roheline,15,"rgb(0, 255, 87)",5,,,,
"Estonian (eesti, eesti keel)",et,roosa,roosa,13,"rgb(255, 0, 159)",3,,,,
"Estonian (eesti, eesti keel)",et,sinakasroheline,sinakasroheline,6,"rgb(0, 255, 155)",0,,,,
"Estonian (eesti, eesti keel)",et,sinine,sinine,30,"rgb(0, 120, 255)",2,,,,
"Estonian (eesti, eesti keel)",et,tumekollane,tumekollane,7,"rgb(255, 210, 0)",0,,,,
"Estonian (eesti, eesti keel)",et,tumeroosa,tumeroosa,7,"rgb(255, 0, 140)",0,,,,
"Estonian (eesti, eesti keel)",et,tumesinine,tumesinine,6,"rgb(0, 44, 255)",1,,,,
"Estonian (eesti, eesti keel)",et,türkiissinine,turkiissinine,8,"rgb(0, 228, 255)",0,,,,
