lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
"French (français, langue française)",fr,azur,azur,11,"rgb(0, 173, 255)",2,,,,
"French (français, langue française)",fr,beige,beige,3,,43,"rgb(223,191,149)",0.8214607379634024,0.018348478699748035,0.06446108353347337
"French (français, langue française)",fr,bleu,bleu,296,"rgb(0, 136, 255)",262,"rgb(38,127,230)",0.599665510648939,-0.04418935922643014,-0.171469750287429
"French (français, langue française)",fr,bleu azur,bleuazur,5,"rgb(0, 168, 255)",2,,,,
"French (français, langue française)",fr,bleu canard,bleucanard,0,,12,"rgb(60,142,144)",0.5962153986037836,-0.07517878726866813,-0.02353176384261345
"French (français, langue française)",fr,bleu ciel,bleuciel,51,"rgb(0, 200, 255)",47,"rgb(79,198,246)",0.779865032264439,-0.08336510180587772,-0.09355252095993424
"French (français, langue française)",fr,bleu clair,bleuclair,38,"rgb(0, 201, 255)",32,"rgb(77,195,246)",0.7717656238200177,-0.08109777800567447,-0.09713848277868263
"French (français, langue française)",fr,bleu cyan,bleucyan,12,"rgb(0, 224, 255)",2,,,,
"French (français, langue française)",fr,bleu foncé,bleufonce,19,"rgb(0, 85, 255)",30,"rgb(35,68,198)",0.45556584865025246,-0.012713672890746791,-0.20425348616258213
"French (français, langue française)",fr,bleu gris,bleugris,0,,22,"rgb(101,139,170)",0.6211046820121348,-0.029079850332838716,-0.05655153771940488
"French (français, langue française)",fr,bleu marine,bleumarine,36,"rgb(0, 81, 255)",63,"rgb(34,64,175)",0.42688622267166504,-0.011064797183241725,-0.17959222666458508
"French (français, langue française)",fr,bleu nuit,bleunuit,2,,21,"rgb(34,50,119)",0.34761423988353124,-0.0015763658920767384,-0.11905405522729667
"French (français, langue française)",fr,bleu roi,bleuroi,16,"rgb(0, 78, 255)",28,"rgb(43,79,218)",0.49584388558755044,-0.012783145888525345,-0.2158554082617753
"French (français, langue française)",fr,bleu royal,bleuroyal,12,"rgb(0, 61, 255)",5,,,,
"French (français, langue française)",fr,bleu turquoise,bleuturquoise,14,"rgb(0, 240, 255)",15,"rgb(45,213,218)",0.7970753536054411,-0.12184340540170198,-0.039403392581400964
"French (français, langue française)",fr,bleu vert,bleuvert,8,"rgb(0, 255, 204)",10,,,,
