lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
"Hindi (हिन्दी, हिंदी)",hi,आसमानी,आसमानी,4,,26,"rgb(102,174,227)",0.7243406611586817,-0.049037870494321914,-0.09418335227284919
"Hindi (हिन्दी, हिंदी)",hi,kala,काला,0,,86,"rgb(26,23,29)",0.21156920274463628,0.00778554032629095,-0.008581445799451963
"Hindi (हिन्दी, हिंदी)",hi,gehra neela,गहरानीला,0,,23,"rgb(32,39,122)",0.3269886881636605,0.005739264256539483,-0.1394891255936402
"Hindi (हिन्दी, हिंदी)",hi,gehra hara,गहराहरा,0,,21,"rgb(52,106,78)",0.47791156794965983,-0.06852979220553325,0.02525750692102834
"Hindi (हिन्दी, हिंदी)",hi,गाढ़ा हरा,गाढाहरा,0,,16,"rgb(73,126,63)",0.5389139377616062,-0.08376452654741666,0.06873090979038421
"Hindi (हिन्दी, हिंदी)",hi,gulabi,गुलाबी,26,"rgb(255, 0, 203)",148,"rgb(222,98,182)",0.6750165552229959,0.17282531636294748,-0.0563829976813002
"Hindi (हिन्दी, हिंदी)",hi,jamuni,जामुनी,0,,27,"rgb(128,68,162)",0.5012149539154728,0.10178625684277491,-0.11409791272258082
"Hindi (हिन्दी, हिंदी)",hi,narangi,नारंगी,11,"rgb(255, 139, 0)",27,"rgb(229,120,62)",0.6873881236750489,0.10426963721678682,0.11103290476002366
"Hindi (हिन्दी, हिंदी)",hi,neela,नीला,64,"rgb(0, 141, 255)",176,"rgb(62,115,211)",0.5687171373863599,-0.023803280109218783,-0.15763896139672526
"Hindi (हिन्दी, हिंदी)",hi,peela,पीला,17,"rgb(255, 226, 0)",46,"rgb(237,212,78)",0.8657051974294611,-0.02240627871086943,0.14981654370923084
"Hindi (हिन्दी, हिंदी)",hi,firozi,फिरोजी,1,,18,"rgb(79,201,214)",0.7734865633812791,-0.09855520021533509,-0.045532907389452947
"Hindi (हिन्दी, हिंदी)",hi,baingani,बैंगनी,5,,157,"rgb(127,67,170)",0.5040049939339708,0.10238722503503632,-0.12749013616382338
"Hindi (हिन्दी, हिंदी)",hi,bhura,भूरा,0,,102,"rgb(128,79,62)",0.4798592175486822,0.05389906127208658,0.04618255992133604
"Hindi (हिन्दी, हिंदी)",hi,rani,रानी,0,,19,"rgb(190,52,137)",0.5592172316075377,0.18742738163883704,-0.04294179636236175
"Hindi (हिन्दी, हिंदी)",hi,laal,लाल,18,"rgb(255, 0, 44)",43,"rgb(212,52,62)",0.5752849248454668,0.1796989508182367,0.07603838345349317
"Hindi (हिन्दी, हिंदी)",hi,saleti,सलेटी,0,,12,"rgb(132,144,149)",0.6446185159674737,-0.010285020706479206,-0.012040784702947302
"Hindi (हिन्दी, हिंदी)",hi,hara,हरा,35,"rgb(0, 255, 84)",196,"rgb(100,187,106)",0.7168573064943451,-0.11747510663569506,0.08081551963842643
"Hindi (हिन्दी, हिंदी)",hi,halka baingani,हलकाबैंगनी,0,,34,"rgb(168,122,214)",0.6618487192446579,0.08128565652646128,-0.11327567455352966
"Hindi (हिन्दी, हिंदी)",hi,halka hara,हलकाहरा,0,,24,"rgb(142,209,141)",0.7972601165912874,-0.09428918594068793,0.06840262606265889
