lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Indonesian (Bahasa Indonesia),id,biru,biru,57,"rgb(0, 126, 255)",4,,,,
Indonesian (Bahasa Indonesia),id,biru langit,birulangit,11,"rgb(0, 202, 255)",1,,,,
Indonesian (Bahasa Indonesia),id,biru laut,birulaut,6,"rgb(0, 105, 255)",0,,,,
Indonesian (Bahasa Indonesia),id,biru muda,birumuda,72,"rgb(0, 206, 255)",5,,,,
Indonesian (Bahasa Indonesia),id,biru tua,birutua,46,"rgb(0, 72, 255)",9,,,,
Indonesian (Bahasa Indonesia),id,hijau,hijau,44,"rgb(0, 255, 72)",8,,,,
Indonesian (Bahasa Indonesia),id,hijau muda,hijaumuda,38,"rgb(0, 255, 71)",2,,,,
Indonesian (Bahasa Indonesia),id,hijau neon,hijauneon,7,"rgb(0, 255, 75)",0,,,,
Indonesian (Bahasa Indonesia),id,jingga,jingga,11,"rgb(255, 139, 0)",0,,,,
Indonesian (Bahasa Indonesia),id,kuning,kuning,44,"rgb(255, 239, 0)",3,,,,
Indonesian (Bahasa Indonesia),id,magenta,magenta,17,"rgb(255, 0, 156)",2,,,,
Indonesian (Bahasa Indonesia),id,merah,merah,52,"rgb(255, 0, 38)",4,,,,
Indonesian (Bahasa Indonesia),id,merah jambu,merahjambu,12,"rgb(255, 0, 175)",0,,,,
Indonesian (Bahasa Indonesia),id,merah muda,merahmuda,21,"rgb(255, 0, 169)",2,,,,
Indonesian (Bahasa Indonesia),id,nila,nila,5,"rgb(255, 0, 176)",1,,,,
Indonesian (Bahasa Indonesia),id,oranye,oranye,30,"rgb(255, 135, 0)",1,,,,
Indonesian (Bahasa Indonesia),id,oranye muda,oranyemuda,5,"rgb(255, 174, 0)",0,,,,
Indonesian (Bahasa Indonesia),id,oren,oren,6,"rgb(255, 139, 0)",1,,,,
Indonesian (Bahasa Indonesia),id,pink,pink,29,"rgb(255, 0, 186)",5,,,,
Indonesian (Bahasa Indonesia),id,ungu,ungu,39,"rgb(174, 0, 255)",9,,,,
Indonesian (Bahasa Indonesia),id,ungu muda,ungumuda,8,"rgb(255, 0, 245)",5,,,,
