lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Japanese (日本語 (にほんご)),ja,青,あお,22,"rgb(0, 104, 255)",2,,,,
Japanese (日本語 (にほんご)),ja,赤,あか,15,"rgb(255, 0, 36)",0,,,,
Japanese (日本語 (にほんご)),ja,黄色,き,13,"rgb(255, 226, 0)",0,,,,
Japanese (日本語 (にほんご)),ja,きみどり,きみとり,10,"rgb(97, 255, 0)",0,,,,
Japanese (日本語 (にほんご)),ja,空色,そら,6,"rgb(0, 196, 255)",0,,,,
Japanese (日本語 (にほんご)),ja,橙,たいたい,8,"rgb(255, 140, 0)",0,,,,
Japanese (日本語 (にほんご)),ja,ピンク,ヒンク,8,"rgb(255, 0, 182)",1,,,,
Japanese (日本語 (にほんご)),ja,水色,みす,16,"rgb(0, 222, 255)",0,,,,
Japanese (日本語 (にほんご)),ja,緑,みとり,11,"rgb(0, 255, 58)",0,,,,
Japanese (日本語 (にほんご)),ja,紫,むらさき,14,"rgb(176, 0, 255)",1,,,,
