lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,biru,biru,62,"rgb(0, 137, 255)",2,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,biru gelap,birugelap,7,"rgb(0, 58, 255)",0,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,biru langit,birulangit,11,"rgb(0, 195, 255)",0,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,biru muda,birumuda,12,"rgb(0, 200, 255)",0,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,biru terang,biruterang,7,"rgb(0, 190, 255)",0,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,hijau,hijau,50,"rgb(0, 255, 80)",5,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,hijau muda,hijaumuda,9,"rgb(0, 255, 37)",1,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,jingga,jingga,15,"rgb(255, 118, 0)",0,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,kuning,kuning,24,"rgb(255, 234, 0)",1,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,merah,merah,33,"rgb(255, 0, 45)",1,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,merah jambu,merahjambu,30,"rgb(255, 0, 165)",0,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,oren,oren,18,"rgb(255, 137, 0)",1,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,pink,pink,8,"rgb(255, 0, 161)",1,,,,
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,ungu,ungu,19,"rgb(198, 0, 255)",0,,,,
