lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Norwegian Bokmål (Norsk bokmål),nb,blå,bla,81,"rgb(0, 125, 255)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,grønn,grønn,55,"rgb(0, 255, 82)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,gul,gul,37,"rgb(255, 233, 0)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,himmelblå,himmelbla,11,"rgb(0, 181, 255)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,kongeblå,kongebla,8,"rgb(0, 53, 255)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,lilla,lilla,31,"rgb(186, 0, 255)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,lime,lime,9,"rgb(152, 255, 0)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,limegrønn,limegrønn,8,"rgb(121, 255, 0)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,lys blå,lysbla,6,"rgb(0, 215, 255)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,lyseblå,lysebla,17,"rgb(0, 209, 255)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,magenta,magenta,8,"rgb(255, 0, 198)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,marineblå,marinebla,5,"rgb(0, 61, 255)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,mintgrønn,mintgrønn,6,"rgb(0, 255, 179)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,mørkeblå,mørkebla,8,"rgb(0, 64, 255)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,orange,orange,7,"rgb(255, 116, 0)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,oransje,oransje,39,"rgb(255, 134, 0)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,rød,rød,43,"rgb(255, 0, 46)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,rosa,rosa,51,"rgb(255, 0, 181)",0,,,,
Norwegian Bokmål (Norsk bokmål),nb,turkis,turkis,39,"rgb(0, 255, 250)",0,,,,
